weo_subject_code,geo,estimates_start_after
BCA_NGDPD,AFG,2013
BCA_NGDPD,ALB,2012
BCA_NGDPD,DZA,2013
BCA_NGDPD,AGO,2012
BCA_NGDPD,ATG,2013
BCA_NGDPD,ARG,2013
BCA_NGDPD,ARM,2013
BCA_NGDPD,AUS,2013
BCA_NGDPD,AUT,2013
BCA_NGDPD,AZE,2012
BCA_NGDPD,BHS,2013
BCA_NGDPD,BHR,2014
BCA_NGDPD,BGD,2013
BCA_NGDPD,BRB,2013
BCA_NGDPD,BLR,2013
BCA_NGDPD,BEL,2014
BCA_NGDPD,BLZ,2013
BCA_NGDPD,BEN,2012
BCA_NGDPD,BTN,0
BCA_NGDPD,BOL,2013
BCA_NGDPD,BIH,2012
BCA_NGDPD,BWA,2012
BCA_NGDPD,BRA,2014
BCA_NGDPD,BRN,2013
BCA_NGDPD,BGR,2013
BCA_NGDPD,BFA,2012
BCA_NGDPD,BDI,2011
BCA_NGDPD,CPV,2012
BCA_NGDPD,KHM,2013
BCA_NGDPD,CMR,2013
BCA_NGDPD,CAN,2014
BCA_NGDPD,CAF,2012
BCA_NGDPD,TCD,2012
BCA_NGDPD,CHL,2013
BCA_NGDPD,CHN,2013
BCA_NGDPD,COL,2013
BCA_NGDPD,COM,2013
BCA_NGDPD,COD,2006
BCA_NGDPD,COG,2007
BCA_NGDPD,CRI,2013
BCA_NGDPD,CIV,2012
BCA_NGDPD,HRV,2013
BCA_NGDPD,CYP,2014
BCA_NGDPD,CZE,2013
BCA_NGDPD,DNK,2013
BCA_NGDPD,DJI,2014
BCA_NGDPD,DMA,2013
BCA_NGDPD,DOM,2013
BCA_NGDPD,ECU,2013
BCA_NGDPD,EGY,2014
BCA_NGDPD,SLV,2013
BCA_NGDPD,GNQ,2013
BCA_NGDPD,ERI,2006
BCA_NGDPD,EST,2013
BCA_NGDPD,ETH,2014
BCA_NGDPD,FJI,2013
BCA_NGDPD,FIN,2013
BCA_NGDPD,FRA,2014
BCA_NGDPD,GAB,2006
BCA_NGDPD,GMB,2012
BCA_NGDPD,GEO,2013
BCA_NGDPD,DEU,2013
BCA_NGDPD,GHA,2012
BCA_NGDPD,GRC,2014
BCA_NGDPD,GRD,2013
BCA_NGDPD,GTM,2013
BCA_NGDPD,GIN,2009
BCA_NGDPD,GNB,2011
BCA_NGDPD,GUY,2012
BCA_NGDPD,HTI,2013
BCA_NGDPD,HND,2013
BCA_NGDPD,HKG,2013
BCA_NGDPD,HUN,2013
BCA_NGDPD,ISL,2013
BCA_NGDPD,IND,2014
BCA_NGDPD,IDN,2014
BCA_NGDPD,IRN,2013
BCA_NGDPD,IRQ,2012
BCA_NGDPD,IRL,2014
BCA_NGDPD,ISR,2014
BCA_NGDPD,ITA,2013
BCA_NGDPD,JAM,2013
BCA_NGDPD,JPN,2014
BCA_NGDPD,JOR,2013
BCA_NGDPD,KAZ,2013
BCA_NGDPD,KEN,2013
BCA_NGDPD,KIR,2012
BCA_NGDPD,KOR,2014
BCA_NGDPD,UVK,2013
BCA_NGDPD,KWT,2013
BCA_NGDPD,KGZ,2014
BCA_NGDPD,LAO,2013
BCA_NGDPD,LVA,2013
BCA_NGDPD,LBN,2011
BCA_NGDPD,LSO,2012
BCA_NGDPD,LBR,2011
BCA_NGDPD,LBY,2014
BCA_NGDPD,LTU,2013
BCA_NGDPD,LUX,2013
BCA_NGDPD,MKD,2014
BCA_NGDPD,MDG,2013
BCA_NGDPD,MWI,2010
BCA_NGDPD,MYS,2014
BCA_NGDPD,MDV,2013
BCA_NGDPD,MLI,2011
BCA_NGDPD,MLT,2013
BCA_NGDPD,MHL,2013
BCA_NGDPD,MRT,2013
BCA_NGDPD,MUS,2013
BCA_NGDPD,MEX,2014
BCA_NGDPD,FSM,2013
BCA_NGDPD,MDA,2013
BCA_NGDPD,MNG,2013
BCA_NGDPD,MNE,2014
BCA_NGDPD,MAR,2013
BCA_NGDPD,MOZ,2013
BCA_NGDPD,MMR,2013
BCA_NGDPD,NAM,2011
BCA_NGDPD,NPL,2014
BCA_NGDPD,NLD,2014
BCA_NGDPD,NZL,2013
BCA_NGDPD,NIC,2013
BCA_NGDPD,NER,2012
BCA_NGDPD,NGA,2013
BCA_NGDPD,NOR,2014
BCA_NGDPD,OMN,2012
BCA_NGDPD,PAK,2014
BCA_NGDPD,PLW,2013
BCA_NGDPD,PAN,2014
BCA_NGDPD,PNG,2013
BCA_NGDPD,PRY,2013
BCA_NGDPD,PER,2014
BCA_NGDPD,PHL,2014
BCA_NGDPD,POL,2013
BCA_NGDPD,PRT,2014
BCA_NGDPD,QAT,2013
BCA_NGDPD,ROU,2013
BCA_NGDPD,RUS,2013
BCA_NGDPD,RWA,2014
BCA_NGDPD,WSM,2013
BCA_NGDPD,SMR,
BCA_NGDPD,STP,2012
BCA_NGDPD,SAU,2013
BCA_NGDPD,SEN,2011
BCA_NGDPD,SRB,2014
BCA_NGDPD,SYC,2012
BCA_NGDPD,SLE,2013
BCA_NGDPD,SGP,2014
BCA_NGDPD,SVK,2013
BCA_NGDPD,SVN,2014
BCA_NGDPD,SLB,2013
BCA_NGDPD,ZAF,2013
BCA_NGDPD,SSD,2014
BCA_NGDPD,ESP,2013
BCA_NGDPD,LKA,2012
BCA_NGDPD,KNA,2013
BCA_NGDPD,LCA,2013
BCA_NGDPD,VCT,2013
BCA_NGDPD,SDN,2013
BCA_NGDPD,SUR,2011
BCA_NGDPD,SWZ,2010
BCA_NGDPD,SWE,2014
BCA_NGDPD,CHE,2013
BCA_NGDPD,SYR,2009
BCA_NGDPD,TWN,2014
BCA_NGDPD,TJK,2013
BCA_NGDPD,TZA,2011
BCA_NGDPD,THA,2014
BCA_NGDPD,TLS,2012
BCA_NGDPD,TGO,2009
BCA_NGDPD,TON,2012
BCA_NGDPD,TTO,2012
BCA_NGDPD,TUN,2014
BCA_NGDPD,TUR,2013
BCA_NGDPD,TKM,2012
BCA_NGDPD,TUV,2012
BCA_NGDPD,UGA,2013
BCA_NGDPD,UKR,2013
BCA_NGDPD,ARE,2013
BCA_NGDPD,GBR,2013
BCA_NGDPD,USA,2014
BCA_NGDPD,URY,2014
BCA_NGDPD,UZB,2012
BCA_NGDPD,VUT,2013
BCA_NGDPD,VEN,2012
BCA_NGDPD,VNM,2013
BCA_NGDPD,YEM,2008
BCA_NGDPD,ZMB,2013
BCA_NGDPD,ZWE,2012
