weo_subject_code,geo,estimates_start_after
GGR,AFG,2013
GGR,ALB,2012
GGR,DZA,2014
GGR,AGO,2013
GGR,ATG,2013
GGR,ARG,2013
GGR,ARM,2013
GGR,AUS,2014
GGR,AUT,2013
GGR,AZE,2012
GGR,BHS,2014
GGR,BHR,2014
GGR,BGD,2014
GGR,BRB,2014
GGR,BLR,2013
GGR,BEL,2013
GGR,BLZ,2014
GGR,BEN,2013
GGR,BTN,2013
GGR,BOL,2013
GGR,BIH,2013
GGR,BWA,2012
GGR,BRA,2014
GGR,BRN,2014
GGR,BGR,2013
GGR,BFA,2014
GGR,BDI,2013
GGR,CPV,2013
GGR,KHM,2013
GGR,CMR,2013
GGR,CAN,2014
GGR,CAF,2014
GGR,TCD,2012
GGR,CHL,2013
GGR,CHN,2014
GGR,COL,2013
GGR,COM,2013
GGR,COD,2013
GGR,COG,2013
GGR,CRI,2013
GGR,CIV,2014
GGR,HRV,2014
GGR,CYP,2014
GGR,CZE,2013
GGR,DNK,2013
GGR,DJI,2014
GGR,DMA,2013
GGR,DOM,2014
GGR,ECU,2013
GGR,EGY,2014
GGR,SLV,2013
GGR,GNQ,2013
GGR,ERI,2008
GGR,EST,2013
GGR,ETH,2014
GGR,FJI,2013
GGR,FIN,2013
GGR,FRA,2013
GGR,GAB,2013
GGR,GMB,2013
GGR,GEO,2013
GGR,DEU,2014
GGR,GHA,2013
GGR,GRC,2013
GGR,GRD,2013
GGR,GTM,2013
GGR,GIN,2014
GGR,GNB,2011
GGR,GUY,2012
GGR,HTI,2013
GGR,HND,2013
GGR,HKG,2014
GGR,HUN,2013
GGR,ISL,2013
GGR,IND,2013
GGR,IDN,2014
GGR,IRN,2013
GGR,IRQ,2014
GGR,IRL,2014
GGR,ISR,2013
GGR,ITA,2013
GGR,JAM,2014
GGR,JPN,2013
GGR,JOR,2013
GGR,KAZ,2013
GGR,KEN,2014
GGR,KIR,2013
GGR,KOR,2013
GGR,UVK,2013
GGR,KWT,2013
GGR,KGZ,2014
GGR,LAO,2013
GGR,LVA,2013
GGR,LBN,2013
GGR,LSO,2013
GGR,LBR,2012
GGR,LBY,2014
GGR,LTU,2013
GGR,LUX,2013
GGR,MKD,2014
GGR,MDG,2013
GGR,MWI,2015
GGR,MYS,2013
GGR,MDV,2012
GGR,MLI,2013
GGR,MLT,2013
GGR,MHL,2013
GGR,MRT,2014
GGR,MUS,2013
GGR,MEX,2014
GGR,FSM,2013
GGR,MDA,2013
GGR,MNG,2013
GGR,MNE,2014
GGR,MAR,2014
GGR,MOZ,2013
GGR,MMR,2014
GGR,NAM,2012
GGR,NPL,2014
GGR,NLD,2014
GGR,NZL,2014
GGR,NIC,2014
GGR,NER,2013
GGR,NGA,2013
GGR,NOR,2014
GGR,OMN,2013
GGR,PAK,2014
GGR,PLW,2013
GGR,PAN,2013
GGR,PNG,2013
GGR,PRY,2013
GGR,PER,2014
GGR,PHL,2014
GGR,POL,2013
GGR,PRT,2013
GGR,QAT,2014
GGR,ROU,2014
GGR,RUS,2013
GGR,RWA,2014
GGR,WSM,2014
GGR,SMR,2013
GGR,STP,2014
GGR,SAU,2014
GGR,SEN,2011
GGR,SRB,2014
GGR,SYC,2013
GGR,SLE,2013
GGR,SGP,2014
GGR,SVK,2013
GGR,SVN,2014
GGR,SLB,2013
GGR,ZAF,2014
GGR,SSD,2014
GGR,ESP,2014
GGR,LKA,2013
GGR,KNA,2013
GGR,LCA,2013
GGR,VCT,2013
GGR,SDN,2013
GGR,SUR,2013
GGR,SWZ,2013
GGR,SWE,2012
GGR,CHE,2012
GGR,SYR,2009
GGR,TWN,2013
GGR,TJK,2013
GGR,TZA,2013
GGR,THA,2014
GGR,TLS,2012
GGR,TGO,2013
GGR,TON,2012
GGR,TTO,2013
GGR,TUN,2014
GGR,TUR,2013
GGR,TKM,2013
GGR,TUV,2013
GGR,UGA,2013
GGR,UKR,2014
GGR,ARE,2013
GGR,GBR,2014
GGR,USA,2013
GGR,URY,2014
GGR,UZB,2012
GGR,VUT,2014
GGR,VEN,2010
GGR,VNM,2013
GGR,YEM,2013
GGR,ZMB,2013
GGR,ZWE,2013
