weo_subject_code,geo,estimates_start_after
GGR_NGDP,AFG,2013
GGR_NGDP,ALB,2012
GGR_NGDP,DZA,2014
GGR_NGDP,AGO,2013
GGR_NGDP,ATG,2013
GGR_NGDP,ARG,2013
GGR_NGDP,ARM,2013
GGR_NGDP,AUS,2014
GGR_NGDP,AUT,2013
GGR_NGDP,AZE,2012
GGR_NGDP,BHS,2014
GGR_NGDP,BHR,2014
GGR_NGDP,BGD,2014
GGR_NGDP,BRB,2014
GGR_NGDP,BLR,2013
GGR_NGDP,BEL,2013
GGR_NGDP,BLZ,2014
GGR_NGDP,BEN,2013
GGR_NGDP,BTN,2013
GGR_NGDP,BOL,2013
GGR_NGDP,BIH,2013
GGR_NGDP,BWA,2012
GGR_NGDP,BRA,2014
GGR_NGDP,BRN,2014
GGR_NGDP,BGR,2013
GGR_NGDP,BFA,2014
GGR_NGDP,BDI,2013
GGR_NGDP,CPV,2013
GGR_NGDP,KHM,2013
GGR_NGDP,CMR,2013
GGR_NGDP,CAN,2014
GGR_NGDP,CAF,2014
GGR_NGDP,TCD,2012
GGR_NGDP,CHL,2013
GGR_NGDP,CHN,2014
GGR_NGDP,COL,2013
GGR_NGDP,COM,2013
GGR_NGDP,COD,2013
GGR_NGDP,COG,2013
GGR_NGDP,CRI,2013
GGR_NGDP,CIV,2014
GGR_NGDP,HRV,2014
GGR_NGDP,CYP,2014
GGR_NGDP,CZE,2013
GGR_NGDP,DNK,2013
GGR_NGDP,DJI,2014
GGR_NGDP,DMA,2013
GGR_NGDP,DOM,2014
GGR_NGDP,ECU,2013
GGR_NGDP,EGY,2014
GGR_NGDP,SLV,2013
GGR_NGDP,GNQ,2013
GGR_NGDP,ERI,2008
GGR_NGDP,EST,2013
GGR_NGDP,ETH,2014
GGR_NGDP,FJI,2013
GGR_NGDP,FIN,2013
GGR_NGDP,FRA,2013
GGR_NGDP,GAB,2013
GGR_NGDP,GMB,2013
GGR_NGDP,GEO,2013
GGR_NGDP,DEU,2014
GGR_NGDP,GHA,2013
GGR_NGDP,GRC,2013
GGR_NGDP,GRD,2013
GGR_NGDP,GTM,2013
GGR_NGDP,GIN,2014
GGR_NGDP,GNB,2011
GGR_NGDP,GUY,2012
GGR_NGDP,HTI,2013
GGR_NGDP,HND,2013
GGR_NGDP,HKG,2014
GGR_NGDP,HUN,2013
GGR_NGDP,ISL,2013
GGR_NGDP,IND,2013
GGR_NGDP,IDN,2014
GGR_NGDP,IRN,2013
GGR_NGDP,IRQ,2014
GGR_NGDP,IRL,2014
GGR_NGDP,ISR,2013
GGR_NGDP,ITA,2013
GGR_NGDP,JAM,2014
GGR_NGDP,JPN,2013
GGR_NGDP,JOR,2013
GGR_NGDP,KAZ,2013
GGR_NGDP,KEN,2014
GGR_NGDP,KIR,2013
GGR_NGDP,KOR,2013
GGR_NGDP,UVK,2013
GGR_NGDP,KWT,2013
GGR_NGDP,KGZ,2014
GGR_NGDP,LAO,2013
GGR_NGDP,LVA,2013
GGR_NGDP,LBN,2013
GGR_NGDP,LSO,2013
GGR_NGDP,LBR,2012
GGR_NGDP,LBY,2014
GGR_NGDP,LTU,2013
GGR_NGDP,LUX,2013
GGR_NGDP,MKD,2014
GGR_NGDP,MDG,2013
GGR_NGDP,MWI,2015
GGR_NGDP,MYS,2013
GGR_NGDP,MDV,2012
GGR_NGDP,MLI,2013
GGR_NGDP,MLT,2013
GGR_NGDP,MHL,2013
GGR_NGDP,MRT,2014
GGR_NGDP,MUS,2013
GGR_NGDP,MEX,2014
GGR_NGDP,FSM,2013
GGR_NGDP,MDA,2013
GGR_NGDP,MNG,2013
GGR_NGDP,MNE,2014
GGR_NGDP,MAR,2014
GGR_NGDP,MOZ,2013
GGR_NGDP,MMR,2014
GGR_NGDP,NAM,2012
GGR_NGDP,NPL,2014
GGR_NGDP,NLD,2014
GGR_NGDP,NZL,2014
GGR_NGDP,NIC,2014
GGR_NGDP,NER,2013
GGR_NGDP,NGA,2013
GGR_NGDP,NOR,2014
GGR_NGDP,OMN,2013
GGR_NGDP,PAK,2014
GGR_NGDP,PLW,2013
GGR_NGDP,PAN,2013
GGR_NGDP,PNG,2013
GGR_NGDP,PRY,2013
GGR_NGDP,PER,2014
GGR_NGDP,PHL,2014
GGR_NGDP,POL,2013
GGR_NGDP,PRT,2013
GGR_NGDP,QAT,2014
GGR_NGDP,ROU,2014
GGR_NGDP,RUS,2013
GGR_NGDP,RWA,2014
GGR_NGDP,WSM,2014
GGR_NGDP,SMR,2013
GGR_NGDP,STP,2014
GGR_NGDP,SAU,2014
GGR_NGDP,SEN,2011
GGR_NGDP,SRB,2014
GGR_NGDP,SYC,2013
GGR_NGDP,SLE,2013
GGR_NGDP,SGP,2014
GGR_NGDP,SVK,2013
GGR_NGDP,SVN,2014
GGR_NGDP,SLB,2013
GGR_NGDP,ZAF,2014
GGR_NGDP,SSD,2014
GGR_NGDP,ESP,2014
GGR_NGDP,LKA,2013
GGR_NGDP,KNA,2013
GGR_NGDP,LCA,2013
GGR_NGDP,VCT,2013
GGR_NGDP,SDN,2013
GGR_NGDP,SUR,2013
GGR_NGDP,SWZ,2013
GGR_NGDP,SWE,2012
GGR_NGDP,CHE,2012
GGR_NGDP,SYR,2009
GGR_NGDP,TWN,2013
GGR_NGDP,TJK,2013
GGR_NGDP,TZA,2013
GGR_NGDP,THA,2014
GGR_NGDP,TLS,2012
GGR_NGDP,TGO,2013
GGR_NGDP,TON,2012
GGR_NGDP,TTO,2013
GGR_NGDP,TUN,2014
GGR_NGDP,TUR,2013
GGR_NGDP,TKM,2013
GGR_NGDP,TUV,2013
GGR_NGDP,UGA,2013
GGR_NGDP,UKR,2014
GGR_NGDP,ARE,2013
GGR_NGDP,GBR,2014
GGR_NGDP,USA,2013
GGR_NGDP,URY,2014
GGR_NGDP,UZB,2012
GGR_NGDP,VUT,2014
GGR_NGDP,VEN,2010
