weo_subject_code,geo,estimates_start_after
GGXCNL_NGDP,AFG,2013
GGXCNL_NGDP,ALB,2012
GGXCNL_NGDP,DZA,2014
GGXCNL_NGDP,AGO,2013
GGXCNL_NGDP,ATG,2013
GGXCNL_NGDP,ARG,2013
GGXCNL_NGDP,ARM,2013
GGXCNL_NGDP,AUS,2014
GGXCNL_NGDP,AUT,2013
GGXCNL_NGDP,AZE,2012
GGXCNL_NGDP,BHS,2014
GGXCNL_NGDP,BHR,2014
GGXCNL_NGDP,BGD,2014
GGXCNL_NGDP,BRB,2014
GGXCNL_NGDP,BLR,2013
GGXCNL_NGDP,BEL,2013
GGXCNL_NGDP,BLZ,2014
GGXCNL_NGDP,BEN,2013
GGXCNL_NGDP,BTN,2013
GGXCNL_NGDP,BOL,2013
GGXCNL_NGDP,BIH,2013
GGXCNL_NGDP,BWA,2012
GGXCNL_NGDP,BRA,2014
GGXCNL_NGDP,BRN,2014
GGXCNL_NGDP,BGR,2013
GGXCNL_NGDP,BFA,2014
GGXCNL_NGDP,BDI,2013
GGXCNL_NGDP,CPV,2013
GGXCNL_NGDP,KHM,2013
GGXCNL_NGDP,CMR,2013
GGXCNL_NGDP,CAN,2014
GGXCNL_NGDP,CAF,2014
GGXCNL_NGDP,TCD,2012
GGXCNL_NGDP,CHL,2013
GGXCNL_NGDP,CHN,2014
GGXCNL_NGDP,COL,2013
GGXCNL_NGDP,COM,2013
GGXCNL_NGDP,COD,2013
GGXCNL_NGDP,COG,2013
GGXCNL_NGDP,CRI,2013
GGXCNL_NGDP,CIV,2014
GGXCNL_NGDP,HRV,2014
GGXCNL_NGDP,CYP,2014
GGXCNL_NGDP,CZE,2013
GGXCNL_NGDP,DNK,2013
GGXCNL_NGDP,DJI,2014
GGXCNL_NGDP,DMA,2013
GGXCNL_NGDP,DOM,2014
GGXCNL_NGDP,ECU,2013
GGXCNL_NGDP,EGY,2014
GGXCNL_NGDP,SLV,2013
GGXCNL_NGDP,GNQ,2013
GGXCNL_NGDP,ERI,2008
GGXCNL_NGDP,EST,2013
GGXCNL_NGDP,ETH,2014
GGXCNL_NGDP,FJI,2013
GGXCNL_NGDP,FIN,2013
GGXCNL_NGDP,FRA,2013
GGXCNL_NGDP,GAB,2013
GGXCNL_NGDP,GMB,2013
GGXCNL_NGDP,GEO,2013
GGXCNL_NGDP,DEU,2014
GGXCNL_NGDP,GHA,2013
GGXCNL_NGDP,GRC,2013
GGXCNL_NGDP,GRD,2013
GGXCNL_NGDP,GTM,2013
GGXCNL_NGDP,GIN,2014
GGXCNL_NGDP,GNB,2011
GGXCNL_NGDP,GUY,2012
GGXCNL_NGDP,HTI,2013
GGXCNL_NGDP,HND,2013
GGXCNL_NGDP,HKG,2014
GGXCNL_NGDP,HUN,2013
GGXCNL_NGDP,ISL,2013
GGXCNL_NGDP,IND,2013
GGXCNL_NGDP,IDN,2014
GGXCNL_NGDP,IRN,2013
GGXCNL_NGDP,IRQ,2014
GGXCNL_NGDP,IRL,2014
GGXCNL_NGDP,ISR,2013
GGXCNL_NGDP,ITA,2013
GGXCNL_NGDP,JAM,2014
GGXCNL_NGDP,JPN,2013
GGXCNL_NGDP,JOR,2013
GGXCNL_NGDP,KAZ,2013
GGXCNL_NGDP,KEN,2014
GGXCNL_NGDP,KIR,2013
GGXCNL_NGDP,KOR,2013
GGXCNL_NGDP,UVK,2013
GGXCNL_NGDP,KWT,2013
GGXCNL_NGDP,KGZ,2014
GGXCNL_NGDP,LAO,2013
GGXCNL_NGDP,LVA,2013
GGXCNL_NGDP,LBN,2013
GGXCNL_NGDP,LSO,2013
GGXCNL_NGDP,LBR,2012
GGXCNL_NGDP,LBY,2014
GGXCNL_NGDP,LTU,2013
GGXCNL_NGDP,LUX,2013
GGXCNL_NGDP,MKD,2014
GGXCNL_NGDP,MDG,2013
GGXCNL_NGDP,MWI,2015
GGXCNL_NGDP,MYS,2013
GGXCNL_NGDP,MDV,2012
GGXCNL_NGDP,MLI,2013
GGXCNL_NGDP,MLT,2013
