weo_subject_code,geo,estimates_start_after
GGXONLB,AFG,2013
GGXONLB,ALB,2012
GGXONLB,DZA,2014
GGXONLB,AGO,2013
GGXONLB,ATG,2013
GGXONLB,ARG,2013
GGXONLB,ARM,2013
GGXONLB,AUS,2014
GGXONLB,AUT,2013
GGXONLB,AZE,2012
GGXONLB,BHS,2014
GGXONLB,BHR,2014
GGXONLB,BGD,2014
GGXONLB,BRB,2014
GGXONLB,BLR,2013
GGXONLB,BEL,2013
GGXONLB,BLZ,2014
GGXONLB,BEN,2013
GGXONLB,BTN,2013
GGXONLB,BOL,2013
GGXONLB,BIH,2013
GGXONLB,BWA,2012
GGXONLB,BRA,2014
GGXONLB,BRN,2014
GGXONLB,BGR,2013
GGXONLB,BFA,2014
GGXONLB,BDI,2013
GGXONLB,CPV,2013
GGXONLB,KHM,2013
GGXONLB,CMR,2013
GGXONLB,CAN,2014
GGXONLB,CAF,2014
GGXONLB,TCD,2012
GGXONLB,CHL,2013
GGXONLB,CHN,2014
GGXONLB,COL,2013
GGXONLB,COM,2013
GGXONLB,COD,2013
GGXONLB,COG,2013
GGXONLB,CRI,2013
GGXONLB,CIV,2014
GGXONLB,HRV,2014
GGXONLB,CYP,2014
GGXONLB,CZE,2013
GGXONLB,DNK,2013
GGXONLB,DJI,2014
GGXONLB,DMA,2013
GGXONLB,DOM,2014
GGXONLB,ECU,2013
GGXONLB,EGY,2014
GGXONLB,SLV,2013
GGXONLB,GNQ,2013
GGXONLB,ERI,2008
GGXONLB,EST,2013
GGXONLB,ETH,2014
GGXONLB,FJI,2013
GGXONLB,FIN,2013
GGXONLB,FRA,2013
GGXONLB,GAB,2013
GGXONLB,GMB,2013
GGXONLB,GEO,2013
GGXONLB,DEU,2014
GGXONLB,GHA,2013
GGXONLB,GRC,2013
GGXONLB,GRD,2013
GGXONLB,GTM,2013
GGXONLB,GIN,2014
GGXONLB,GNB,2011
GGXONLB,GUY,2012
GGXONLB,HTI,2013
GGXONLB,HND,2013
GGXONLB,HKG,2014
GGXONLB,HUN,2013
GGXONLB,ISL,2013
GGXONLB,IND,2013
GGXONLB,IDN,2014
GGXONLB,IRN,2013
GGXONLB,IRQ,2014
GGXONLB,IRL,2014
GGXONLB,ISR,2013
GGXONLB,ITA,2013
GGXONLB,JAM,2014
GGXONLB,JPN,2013
GGXONLB,JOR,2013
GGXONLB,KAZ,2013
GGXONLB,KEN,2014
GGXONLB,KIR,2013
GGXONLB,KOR,2013
GGXONLB,UVK,
GGXONLB,KWT,2013
GGXONLB,KGZ,2014
GGXONLB,LAO,2013
GGXONLB,LVA,2013
GGXONLB,LBN,2013
GGXONLB,LSO,2013
GGXONLB,LBR,2012
GGXONLB,LBY,2014
GGXONLB,LTU,2013
GGXONLB,LUX,2013
GGXONLB,MKD,2014
GGXONLB,MDG,2013
GGXONLB,MWI,2015
GGXONLB,MYS,2013
GGXONLB,MDV,2012
GGXONLB,MLI,2013
GGXONLB,MLT,2013
GGXONLB,MHL,2013
GGXONLB,MRT,2014
GGXONLB,MUS,2013
GGXONLB,MEX,2014
GGXONLB,FSM,2013
GGXONLB,MDA,2013
GGXONLB,MNG,2013
GGXONLB,MNE,2014
GGXONLB,MAR,2014
GGXONLB,MOZ,2013
GGXONLB,MMR,2014
GGXONLB,NAM,2012
GGXONLB,NPL,2014
GGXONLB,NLD,2014
GGXONLB,NZL,2014
GGXONLB,NIC,2014
GGXONLB,NER,2013
GGXONLB,NGA,2013
GGXONLB,NOR,2014
GGXONLB,OMN,2013
GGXONLB,PAK,2014
GGXONLB,PLW,
GGXONLB,PAN,2013
GGXONLB,PNG,2013
GGXONLB,PRY,2013
GGXONLB,PER,2014
GGXONLB,PHL,2014
GGXONLB,POL,2013
GGXONLB,PRT,2013
GGXONLB,QAT,2014
GGXONLB,ROU,2014
GGXONLB,RUS,2013
GGXONLB,RWA,2014
GGXONLB,WSM,
GGXONLB,SMR,2013
GGXONLB,STP,2014
GGXONLB,SAU,2014
GGXONLB,SEN,2011
GGXONLB,SRB,2014
GGXONLB,SYC,2013
GGXONLB,SLE,2013
GGXONLB,SGP,2014
GGXONLB,SVK,2013
GGXONLB,SVN,2014
GGXONLB,SLB,2013
GGXONLB,ZAF,2014
GGXONLB,SSD,2014
GGXONLB,ESP,2014
GGXONLB,LKA,2013
GGXONLB,KNA,2013
GGXONLB,LCA,2013
GGXONLB,VCT,2013
GGXONLB,SDN,2013
GGXONLB,SUR,2013
GGXONLB,SWZ,2013
GGXONLB,SWE,2012
GGXONLB,CHE,2012
GGXONLB,SYR,
GGXONLB,TWN,
GGXONLB,TJK,2013
GGXONLB,TZA,2013
GGXONLB,THA,2014
GGXONLB,TLS,
GGXONLB,TGO,2013
GGXONLB,TON,2012
GGXONLB,TTO,2013
GGXONLB,TUN,2014
GGXONLB,TUR,2013
GGXONLB,TKM,
GGXONLB,TUV,2013
GGXONLB,UGA,2013
GGXONLB,UKR,2014
GGXONLB,ARE,2013
GGXONLB,GBR,2014
GGXONLB,USA,2013
GGXONLB,URY,2014
GGXONLB,UZB,2012
GGXONLB,VUT,2014
GGXONLB,VEN,2010
GGXONLB,VNM,2013
GGXONLB,YEM,2013
GGXONLB,ZMB,2013
GGXONLB,ZWE,2013
