weo_subject_code,geo,estimates_start_after
GGXWDG_NGDP,AFG,
GGXWDG_NGDP,ALB,2012
GGXWDG_NGDP,DZA,2014
GGXWDG_NGDP,AGO,2013
GGXWDG_NGDP,ATG,2013
GGXWDG_NGDP,ARG,2013
GGXWDG_NGDP,ARM,2013
GGXWDG_NGDP,AUS,2014
GGXWDG_NGDP,AUT,2013
GGXWDG_NGDP,AZE,2012
GGXWDG_NGDP,BHS,2014
GGXWDG_NGDP,BHR,2014
GGXWDG_NGDP,BGD,2014
GGXWDG_NGDP,BRB,2014
GGXWDG_NGDP,BLR,2013
GGXWDG_NGDP,BEL,2013
GGXWDG_NGDP,BLZ,2014
GGXWDG_NGDP,BEN,2013
GGXWDG_NGDP,BTN,2013
GGXWDG_NGDP,BOL,2013
GGXWDG_NGDP,BIH,2013
GGXWDG_NGDP,BWA,2012
GGXWDG_NGDP,BRA,2014
GGXWDG_NGDP,BRN,2014
GGXWDG_NGDP,BGR,2013
GGXWDG_NGDP,BFA,2014
GGXWDG_NGDP,BDI,2013
GGXWDG_NGDP,CPV,2013
GGXWDG_NGDP,KHM,2013
GGXWDG_NGDP,CMR,2013
GGXWDG_NGDP,CAN,2014
GGXWDG_NGDP,CAF,2014
GGXWDG_NGDP,TCD,2012
GGXWDG_NGDP,CHL,2013
GGXWDG_NGDP,CHN,2014
GGXWDG_NGDP,COL,2013
GGXWDG_NGDP,COM,2013
GGXWDG_NGDP,COD,2013
GGXWDG_NGDP,COG,2013
GGXWDG_NGDP,CRI,2013
GGXWDG_NGDP,CIV,2014
GGXWDG_NGDP,HRV,2014
GGXWDG_NGDP,CYP,2014
GGXWDG_NGDP,CZE,2013
GGXWDG_NGDP,DNK,2013
GGXWDG_NGDP,DJI,2014
GGXWDG_NGDP,DMA,2013
GGXWDG_NGDP,DOM,2014
GGXWDG_NGDP,ECU,2013
GGXWDG_NGDP,EGY,2014
GGXWDG_NGDP,SLV,2013
GGXWDG_NGDP,GNQ,2013
GGXWDG_NGDP,ERI,2008
GGXWDG_NGDP,EST,2013
GGXWDG_NGDP,ETH,2014
GGXWDG_NGDP,FJI,2013
GGXWDG_NGDP,FIN,2013
GGXWDG_NGDP,FRA,2013
GGXWDG_NGDP,GAB,2013
GGXWDG_NGDP,GMB,2013
GGXWDG_NGDP,GEO,2013
GGXWDG_NGDP,DEU,2014
GGXWDG_NGDP,GHA,2013
GGXWDG_NGDP,GRC,2013
GGXWDG_NGDP,GRD,2013
GGXWDG_NGDP,GTM,2013
GGXWDG_NGDP,GIN,2014
GGXWDG_NGDP,GNB,2011
GGXWDG_NGDP,GUY,2012
GGXWDG_NGDP,HTI,2013
GGXWDG_NGDP,HND,2013
GGXWDG_NGDP,HKG,2014
GGXWDG_NGDP,HUN,2013
GGXWDG_NGDP,ISL,2013
GGXWDG_NGDP,IND,2013
GGXWDG_NGDP,IDN,2014
GGXWDG_NGDP,IRN,2013
GGXWDG_NGDP,IRQ,2014
GGXWDG_NGDP,IRL,2014
GGXWDG_NGDP,ISR,2013
GGXWDG_NGDP,ITA,2013
GGXWDG_NGDP,JAM,2014
GGXWDG_NGDP,JPN,2013
GGXWDG_NGDP,JOR,2013
GGXWDG_NGDP,KAZ,2013
GGXWDG_NGDP,KEN,2014
GGXWDG_NGDP,KIR,2013
GGXWDG_NGDP,KOR,2013
GGXWDG_NGDP,UVK,2013
GGXWDG_NGDP,KWT,2013
GGXWDG_NGDP,KGZ,2014
GGXWDG_NGDP,LAO,2013
GGXWDG_NGDP,LVA,2013
GGXWDG_NGDP,LBN,2013
GGXWDG_NGDP,LSO,2013
GGXWDG_NGDP,LBR,2012
GGXWDG_NGDP,LBY,2014
GGXWDG_NGDP,LTU,2013
GGXWDG_NGDP,LUX,2013
GGXWDG_NGDP,MKD,2014
GGXWDG_NGDP,MDG,2013
GGXWDG_NGDP,MWI,2015
GGXWDG_NGDP,MYS,2013
GGXWDG_NGDP,MDV,2012
GGXWDG_NGDP,MLI,2013
GGXWDG_NGDP,MLT,2013
GGXWDG_NGDP,MHL,2013
GGXWDG_NGDP,MRT,2014
GGXWDG_NGDP,MUS,2013
GGXWDG_NGDP,MEX,2014
GGXWDG_NGDP,FSM,2013
GGXWDG_NGDP,MDA,2013
GGXWDG_NGDP,MNG,
GGXWDG_NGDP,MNE,2014
GGXWDG_NGDP,MAR,2014
GGXWDG_NGDP,MOZ,2013
GGXWDG_NGDP,MMR,2014
GGXWDG_NGDP,NAM,2012
GGXWDG_NGDP,NPL,2014
GGXWDG_NGDP,NLD,2014
GGXWDG_NGDP,NZL,2014
GGXWDG_NGDP,NIC,2014
GGXWDG_NGDP,NER,2013
GGXWDG_NGDP,NGA,2013
GGXWDG_NGDP,NOR,2014
GGXWDG_NGDP,OMN,2013
GGXWDG_NGDP,PAK,2014
GGXWDG_NGDP,PLW,
GGXWDG_NGDP,PAN,2013
