weo_subject_code,geo,estimates_start_after
GGXWDN_NGDP,AFG,
GGXWDN_NGDP,ALB,2012
GGXWDN_NGDP,DZA,2014
GGXWDN_NGDP,AGO,
GGXWDN_NGDP,ATG,2013
GGXWDN_NGDP,ARG,
GGXWDN_NGDP,ARM,
GGXWDN_NGDP,AUS,2014
GGXWDN_NGDP,AUT,2013
GGXWDN_NGDP,AZE,
GGXWDN_NGDP,BHS,2014
GGXWDN_NGDP,BHR,2014
GGXWDN_NGDP,BGD,
GGXWDN_NGDP,BRB,
GGXWDN_NGDP,BLR,
GGXWDN_NGDP,BEL,2013
GGXWDN_NGDP,BLZ,2014
GGXWDN_NGDP,BEN,
GGXWDN_NGDP,BTN,
GGXWDN_NGDP,BOL,2013
GGXWDN_NGDP,BIH,2013
GGXWDN_NGDP,BWA,
GGXWDN_NGDP,BRA,2014
GGXWDN_NGDP,BRN,
GGXWDN_NGDP,BGR,2013
GGXWDN_NGDP,BFA,
GGXWDN_NGDP,BDI,
GGXWDN_NGDP,CPV,2013
GGXWDN_NGDP,KHM,
GGXWDN_NGDP,CMR,
GGXWDN_NGDP,CAN,2014
GGXWDN_NGDP,CAF,
GGXWDN_NGDP,TCD,
GGXWDN_NGDP,CHL,2013
GGXWDN_NGDP,CHN,
GGXWDN_NGDP,COL,2013
GGXWDN_NGDP,COM,2013
GGXWDN_NGDP,COD,
GGXWDN_NGDP,COG,
GGXWDN_NGDP,CRI,2013
GGXWDN_NGDP,CIV,
GGXWDN_NGDP,HRV,
GGXWDN_NGDP,CYP,
GGXWDN_NGDP,CZE,
GGXWDN_NGDP,DNK,2013
GGXWDN_NGDP,DJI,
GGXWDN_NGDP,DMA,2013
GGXWDN_NGDP,DOM,
GGXWDN_NGDP,ECU,
GGXWDN_NGDP,EGY,2014
GGXWDN_NGDP,SLV,
GGXWDN_NGDP,GNQ,2013
GGXWDN_NGDP,ERI,
GGXWDN_NGDP,EST,2013
GGXWDN_NGDP,ETH,2014
GGXWDN_NGDP,FJI,2013
GGXWDN_NGDP,FIN,2013
GGXWDN_NGDP,FRA,2013
GGXWDN_NGDP,GAB,
GGXWDN_NGDP,GMB,2013
GGXWDN_NGDP,GEO,
GGXWDN_NGDP,DEU,2014
GGXWDN_NGDP,GHA,2013
GGXWDN_NGDP,GRC,2013
GGXWDN_NGDP,GRD,2013
GGXWDN_NGDP,GTM,
GGXWDN_NGDP,GIN,2014
GGXWDN_NGDP,GNB,
GGXWDN_NGDP,GUY,2012
GGXWDN_NGDP,HTI,
GGXWDN_NGDP,HND,
GGXWDN_NGDP,HKG,
GGXWDN_NGDP,HUN,2013
GGXWDN_NGDP,ISL,2013
GGXWDN_NGDP,IND,
GGXWDN_NGDP,IDN,
GGXWDN_NGDP,IRN,2013
GGXWDN_NGDP,IRQ,
GGXWDN_NGDP,IRL,2014
GGXWDN_NGDP,ISR,2013
GGXWDN_NGDP,ITA,2013
GGXWDN_NGDP,JAM,
GGXWDN_NGDP,JPN,2013
GGXWDN_NGDP,JOR,2013
GGXWDN_NGDP,KAZ,2013
GGXWDN_NGDP,KEN,2014
GGXWDN_NGDP,KIR,
GGXWDN_NGDP,KOR,2013
GGXWDN_NGDP,UVK,
GGXWDN_NGDP,KWT,
GGXWDN_NGDP,KGZ,
GGXWDN_NGDP,LAO,
GGXWDN_NGDP,LVA,2013
GGXWDN_NGDP,LBN,2013
GGXWDN_NGDP,LSO,2013
GGXWDN_NGDP,LBR,2012
GGXWDN_NGDP,LBY,2014
GGXWDN_NGDP,LTU,2013
GGXWDN_NGDP,LUX,
GGXWDN_NGDP,MKD,2014
GGXWDN_NGDP,MDG,
GGXWDN_NGDP,MWI,2015
GGXWDN_NGDP,MYS,
GGXWDN_NGDP,MDV,2012
GGXWDN_NGDP,MLI,2013
GGXWDN_NGDP,MLT,
GGXWDN_NGDP,MHL,
GGXWDN_NGDP,MRT,
GGXWDN_NGDP,MUS,2013
GGXWDN_NGDP,MEX,2014
GGXWDN_NGDP,FSM,
GGXWDN_NGDP,MDA,2013
GGXWDN_NGDP,MNG,
GGXWDN_NGDP,MNE,
GGXWDN_NGDP,MAR,2014
GGXWDN_NGDP,MOZ,
GGXWDN_NGDP,MMR,
GGXWDN_NGDP,NAM,2012
GGXWDN_NGDP,NPL,
GGXWDN_NGDP,NLD,2014
GGXWDN_NGDP,NZL,2014
GGXWDN_NGDP,NIC,
GGXWDN_NGDP,NER,2013
GGXWDN_NGDP,NGA,2013
GGXWDN_NGDP,NOR,2014
GGXWDN_NGDP,OMN,
GGXWDN_NGDP,PAK,2014
GGXWDN_NGDP,PLW,
GGXWDN_NGDP,PAN,2013
GGXWDN_NGDP,PNG,
GGXWDN_NGDP,PRY,
GGXWDN_NGDP,PER,2014
GGXWDN_NGDP,PHL,
GGXWDN_NGDP,POL,2013
GGXWDN_NGDP,PRT,2013
GGXWDN_NGDP,QAT,2014
GGXWDN_NGDP,ROU,
GGXWDN_NGDP,RUS,
GGXWDN_NGDP,RWA,
