weo_subject_code,geo,estimates_start_after
LE,AFG,
LE,ALB,
LE,DZA,
LE,AGO,
LE,ATG,
LE,ARG,
LE,ARM,
LE,AUS,2013
LE,AUT,2014
LE,AZE,
LE,BHS,
LE,BHR,
LE,BGD,
LE,BRB,
LE,BLR,
LE,BEL,2014
LE,BLZ,
LE,BEN,
LE,BTN,
LE,BOL,
LE,BIH,
LE,BWA,
LE,BRA,
LE,BRN,
LE,BGR,
LE,BFA,
LE,BDI,
LE,CPV,
LE,KHM,
LE,CMR,
LE,CAN,2014
LE,CAF,
LE,TCD,
LE,CHL,
LE,CHN,
LE,COL,
LE,COM,
LE,COD,
LE,COG,
LE,CRI,
LE,CIV,
LE,HRV,
LE,CYP,2014
LE,CZE,2013
LE,DNK,2014
LE,DJI,
LE,DMA,
LE,DOM,
LE,ECU,
LE,EGY,
LE,SLV,
LE,GNQ,
LE,ERI,
LE,EST,2013
LE,ETH,
LE,FJI,
LE,FIN,2013
LE,FRA,2014
LE,GAB,
LE,GMB,
LE,GEO,
LE,DEU,2013
LE,GHA,
LE,GRC,2014
LE,GRD,
LE,GTM,
LE,GIN,
LE,GNB,
LE,GUY,
LE,HTI,
LE,HND,
LE,HKG,2014
LE,HUN,
LE,ISL,2013
LE,IND,
LE,IDN,
LE,IRN,
LE,IRQ,
LE,IRL,2014
LE,ISR,2014
LE,ITA,2014
LE,JAM,
LE,JPN,2014
LE,JOR,
LE,KAZ,
LE,KEN,
LE,KIR,
LE,KOR,2014
LE,UVK,
LE,KWT,
LE,KGZ,
LE,LAO,
LE,LVA,2013
LE,LBN,
LE,LSO,
LE,LBR,
LE,LBY,
LE,LTU,
LE,LUX,2013
LE,MKD,
LE,MDG,
LE,MWI,
LE,MYS,
LE,MDV,
LE,MLI,
LE,MLT,2013
LE,MHL,
LE,MRT,
LE,MUS,
LE,MEX,
LE,FSM,
LE,MDA,
LE,MNG,
LE,MNE,
LE,MAR,
LE,MOZ,
LE,MMR,
LE,NAM,
LE,NPL,
LE,NLD,2014
LE,NZL,2014
LE,NIC,
LE,NER,
LE,NGA,
LE,NOR,2014
LE,OMN,
LE,PAK,
LE,PLW,
LE,PAN,
LE,PNG,
LE,PRY,
LE,PER,
LE,PHL,
LE,POL,
LE,PRT,2014
LE,QAT,
LE,ROU,
LE,RUS,
LE,RWA,
LE,WSM,
LE,SMR,
LE,STP,
LE,SAU,
LE,SEN,
LE,SRB,
LE,SYC,
LE,SLE,
LE,SGP,2014
LE,SVK,2014
LE,SVN,2014
LE,SLB,
LE,ZAF,
LE,SSD,
LE,ESP,2014
LE,LKA,
LE,KNA,
LE,LCA,
LE,VCT,
LE,SDN,
LE,SUR,
LE,SWZ,
LE,SWE,2014
LE,CHE,2014
LE,SYR,
LE,TWN,2014
LE,TJK,
LE,TZA,
LE,THA,
LE,TLS,
LE,TGO,
LE,TON,
LE,TTO,
LE,TUN,
LE,TUR,
LE,TKM,
LE,TUV,
LE,UGA,
LE,UKR,
LE,ARE,
LE,GBR,2014
LE,USA,2014
LE,URY,
LE,UZB,
LE,VUT,
LE,VEN,
LE,VNM,
LE,YEM,
LE,ZMB,
LE,ZWE,
