weo_subject_code,geo,estimates_start_after
LUR,AFG,
LUR,ALB,2012
LUR,DZA,2014
LUR,AGO,
LUR,ATG,
LUR,ARG,2012
LUR,ARM,2011
LUR,AUS,2013
LUR,AUT,2014
LUR,AZE,2009
LUR,BHS,2013
LUR,BHR,2013
LUR,BGD,
LUR,BRB,2013
LUR,BLR,2013
LUR,BEL,2014
LUR,BLZ,2013
LUR,BEN,
LUR,BTN,
LUR,BOL,2012
LUR,BIH,2013
LUR,BWA,
LUR,BRA,2013
LUR,BRN,2011
LUR,BGR,2013
LUR,BFA,
LUR,BDI,
LUR,CPV,2013
LUR,KHM,
LUR,CMR,
LUR,CAN,2014
LUR,CAF,
LUR,TCD,
LUR,CHL,2013
LUR,CHN,2014
LUR,COL,2014
LUR,COM,
LUR,COD,
LUR,COG,
LUR,CRI,2013
LUR,CIV,
LUR,HRV,2013
LUR,CYP,2014
LUR,CZE,2013
LUR,DNK,2014
LUR,DJI,
LUR,DMA,
LUR,DOM,2014
LUR,ECU,2014
LUR,EGY,2014
LUR,SLV,2009
LUR,GNQ,
LUR,ERI,
LUR,EST,2013
LUR,ETH,
LUR,FJI,2007
LUR,FIN,2013
LUR,FRA,2014
LUR,GAB,
LUR,GMB,
LUR,GEO,2013
LUR,DEU,2013
LUR,GHA,
LUR,GRC,2014
LUR,GRD,
LUR,GTM,
LUR,GIN,
LUR,GNB,
LUR,GUY,
LUR,HTI,
LUR,HND,2001
LUR,HKG,2014
LUR,HUN,2014
LUR,ISL,2013
LUR,IND,
LUR,IDN,2013
LUR,IRN,2014
LUR,IRQ,
LUR,IRL,2014
LUR,ISR,2014
LUR,ITA,2014
LUR,JAM,2013
LUR,JPN,2014
LUR,JOR,2013
LUR,KAZ,2013
LUR,KEN,
LUR,KIR,
LUR,KOR,2014
LUR,UVK,
LUR,KWT,2013
LUR,KGZ,2011
LUR,LAO,
LUR,LVA,2013
LUR,LBN,
LUR,LSO,
LUR,LBR,
LUR,LBY,
LUR,LTU,2013
LUR,LUX,2013
LUR,MKD,2014
LUR,MDG,
LUR,MWI,
LUR,MYS,2014
LUR,MDV,
LUR,MLI,
LUR,MLT,2013
LUR,MHL,
LUR,MRT,
LUR,MUS,2013
LUR,MEX,2014
LUR,FSM,
LUR,MDA,2013
LUR,MNG,2013
LUR,MNE,
LUR,MAR,2013
LUR,MOZ,
LUR,MMR,2011
LUR,NAM,
LUR,NPL,
LUR,NLD,2014
LUR,NZL,2014
LUR,NIC,2013
LUR,NER,
LUR,NGA,2011
LUR,NOR,2014
LUR,OMN,
LUR,PAK,2013
LUR,PLW,
LUR,PAN,2013
LUR,PNG,
LUR,PRY,2013
LUR,PER,2014
LUR,PHL,2014
LUR,POL,2013
LUR,PRT,2014
LUR,QAT,
LUR,ROU,2014
LUR,RUS,2013
LUR,RWA,
LUR,WSM,
LUR,SMR,2014
LUR,STP,2008
LUR,SAU,2014
LUR,SEN,
LUR,SRB,2014
LUR,SYC,2011
LUR,SLE,
LUR,SGP,2014
LUR,SVK,2014
LUR,SVN,2014
LUR,SLB,
LUR,ZAF,2014
LUR,SSD,
LUR,ESP,2014
LUR,LKA,2013
LUR,KNA,
LUR,LCA,
LUR,VCT,
LUR,SDN,2011
LUR,SUR,2011
LUR,SWZ,
LUR,SWE,2014
LUR,CHE,2014
LUR,SYR,2010
LUR,TWN,2014
LUR,TJK,
LUR,TZA,
LUR,THA,2014
LUR,TLS,
LUR,TGO,
LUR,TON,
LUR,TTO,2012
LUR,TUN,2012
LUR,TUR,2013
LUR,TKM,
LUR,TUV,
LUR,UGA,
LUR,UKR,2013
LUR,ARE,
LUR,GBR,2014
LUR,USA,2014
LUR,URY,2014
LUR,UZB,
LUR,VUT,
LUR,VEN,2011
LUR,VNM,2010
LUR,YEM,
LUR,ZMB,
LUR,ZWE,
