weo_subject_code,geo,estimates_start_after
NGDPPC,AFG,2013
NGDPPC,ALB,2010
NGDPPC,DZA,2013
NGDPPC,AGO,2012
NGDPPC,ATG,2011
NGDPPC,ARG,2010
NGDPPC,ARM,2011
NGDPPC,AUS,2013
NGDPPC,AUT,2013
NGDPPC,AZE,2011
NGDPPC,BHS,2013
NGDPPC,BHR,2013
NGDPPC,BGD,2013
NGDPPC,BRB,2010
NGDPPC,BLR,2013
NGDPPC,BEL,2014
NGDPPC,BLZ,2013
NGDPPC,BEN,2011
NGDPPC,BTN,0
NGDPPC,BOL,2011
NGDPPC,BIH,2012
NGDPPC,BWA,2008
NGDPPC,BRA,2014
NGDPPC,BRN,2013
NGDPPC,BGR,2013
NGDPPC,BFA,2011
NGDPPC,BDI,0
NGDPPC,CPV,2012
NGDPPC,KHM,2012
NGDPPC,CMR,2010
NGDPPC,CAN,2013
NGDPPC,CAF,2004
NGDPPC,TCD,2004
NGDPPC,CHL,2002
NGDPPC,CHN,2013
NGDPPC,COL,2009
NGDPPC,COM,2003
NGDPPC,COD,1983
NGDPPC,COG,2004
NGDPPC,CRI,2011
NGDPPC,CIV,2012
NGDPPC,HRV,2013
NGDPPC,CYP,2014
NGDPPC,CZE,2013
NGDPPC,DNK,2013
NGDPPC,DJI,2009
NGDPPC,DMA,2011
NGDPPC,DOM,2013
NGDPPC,ECU,2013
NGDPPC,EGY,2014
NGDPPC,SLV,2007
NGDPPC,GNQ,2010
NGDPPC,ERI,2006
NGDPPC,EST,2013
NGDPPC,ETH,2008
NGDPPC,FJI,2013
NGDPPC,FIN,2013
NGDPPC,FRA,2014
NGDPPC,GAB,0
NGDPPC,GMB,2010
NGDPPC,GEO,2013
NGDPPC,DEU,2013
NGDPPC,GHA,0
NGDPPC,GRC,2014
NGDPPC,GRD,2011
NGDPPC,GTM,2010
NGDPPC,GIN,2009
NGDPPC,GNB,2004
NGDPPC,GUY,2002
NGDPPC,HTI,0
NGDPPC,HND,2001
NGDPPC,HKG,2014
NGDPPC,HUN,2013
NGDPPC,ISL,2013
NGDPPC,IND,2013
NGDPPC,IDN,2010
NGDPPC,IRN,2012
NGDPPC,IRQ,2013
NGDPPC,IRL,2014
NGDPPC,ISR,2014
NGDPPC,ITA,2014
NGDPPC,JAM,2013
NGDPPC,JPN,2014
NGDPPC,JOR,2013
NGDPPC,KAZ,2013
NGDPPC,KEN,2013
NGDPPC,KIR,2013
NGDPPC,KOR,2014
NGDPPC,UVK,
NGDPPC,KWT,2013
NGDPPC,KGZ,2012
NGDPPC,LAO,2012
NGDPPC,LVA,2013
NGDPPC,LBN,2011
NGDPPC,LSO,2006
NGDPPC,LBR,2009
NGDPPC,LBY,2014
NGDPPC,LTU,2013
NGDPPC,LUX,2013
NGDPPC,MKD,2013
NGDPPC,MDG,2006
NGDPPC,MWI,2010
NGDPPC,MYS,2014
NGDPPC,MDV,2006
NGDPPC,MLI,2010
NGDPPC,MLT,2013
NGDPPC,MHL,2013
NGDPPC,MRT,2012
NGDPPC,MUS,2012
NGDPPC,MEX,2014
NGDPPC,FSM,2013
NGDPPC,MDA,2013
NGDPPC,MNG,2013
NGDPPC,MNE,2013
NGDPPC,MAR,2013
NGDPPC,MOZ,2013
NGDPPC,MMR,2006
NGDPPC,NAM,2008
NGDPPC,NPL,2012
NGDPPC,NLD,2014
NGDPPC,NZL,2013
NGDPPC,NIC,2013
NGDPPC,NER,2009
NGDPPC,NGA,2012
NGDPPC,NOR,2014
NGDPPC,OMN,2012
NGDPPC,PAK,2013
NGDPPC,PLW,2013
NGDPPC,PAN,2013
NGDPPC,PNG,2012
NGDPPC,PRY,2013
NGDPPC,PER,2010
NGDPPC,PHL,2014
NGDPPC,POL,2013
NGDPPC,PRT,2014
NGDPPC,QAT,2013
NGDPPC,ROU,2014
NGDPPC,RUS,2013
NGDPPC,RWA,2012
NGDPPC,WSM,2011
NGDPPC,SMR,2013
NGDPPC,STP,2011
NGDPPC,SAU,2010
NGDPPC,SEN,2011
NGDPPC,SRB,2013
NGDPPC,SYC,2011
NGDPPC,SLE,2012
NGDPPC,SGP,2014
NGDPPC,SVK,2013
NGDPPC,SVN,2014
NGDPPC,SLB,2010
NGDPPC,ZAF,2014
NGDPPC,SSD,2008
NGDPPC,ESP,2014
NGDPPC,LKA,2012
NGDPPC,KNA,2003
NGDPPC,LCA,2012
NGDPPC,VCT,2001
NGDPPC,SDN,2011
NGDPPC,SUR,2011
NGDPPC,SWZ,2009
NGDPPC,SWE,2014
NGDPPC,CHE,2014
NGDPPC,SYR,2010
NGDPPC,TWN,2014
NGDPPC,TJK,2013
NGDPPC,TZA,2012
NGDPPC,THA,2014
NGDPPC,TLS,2011
NGDPPC,TGO,2009
NGDPPC,TON,2012
NGDPPC,TTO,2012
NGDPPC,TUN,2010
NGDPPC,TUR,2013
NGDPPC,TKM,2004
NGDPPC,TUV,2012
NGDPPC,UGA,2013
NGDPPC,UKR,2013
NGDPPC,ARE,2010
NGDPPC,GBR,2014
NGDPPC,USA,2014
NGDPPC,URY,2014
NGDPPC,UZB,2010
NGDPPC,VUT,2013
NGDPPC,VEN,2010
NGDPPC,VNM,2012
NGDPPC,YEM,2008
NGDPPC,ZMB,2010
NGDPPC,ZWE,2012
