weo_subject_code,geo,estimates_start_after
NGDPRPC,AFG,2013
NGDPRPC,ALB,2010
NGDPRPC,DZA,2013
NGDPRPC,AGO,2012
NGDPRPC,ATG,2011
NGDPRPC,ARG,2010
NGDPRPC,ARM,2011
NGDPRPC,AUS,2013
NGDPRPC,AUT,2013
NGDPRPC,AZE,2011
NGDPRPC,BHS,2013
NGDPRPC,BHR,2013
NGDPRPC,BGD,2013
NGDPRPC,BRB,2010
NGDPRPC,BLR,2013
NGDPRPC,BEL,2014
NGDPRPC,BLZ,2013
NGDPRPC,BEN,2011
NGDPRPC,BTN,0
NGDPRPC,BOL,2011
NGDPRPC,BIH,2012
NGDPRPC,BWA,2008
NGDPRPC,BRA,2014
NGDPRPC,BRN,2013
NGDPRPC,BGR,2013
NGDPRPC,BFA,2011
NGDPRPC,BDI,0
NGDPRPC,CPV,2012
NGDPRPC,KHM,2012
NGDPRPC,CMR,2010
NGDPRPC,CAN,2013
NGDPRPC,CAF,2004
NGDPRPC,TCD,2004
NGDPRPC,CHL,2002
NGDPRPC,CHN,2013
NGDPRPC,COL,2009
NGDPRPC,COM,2003
NGDPRPC,COD,1983
NGDPRPC,COG,2004
NGDPRPC,CRI,2011
NGDPRPC,CIV,2012
NGDPRPC,HRV,2013
NGDPRPC,CYP,2014
NGDPRPC,CZE,2013
NGDPRPC,DNK,2013
NGDPRPC,DJI,2009
NGDPRPC,DMA,2011
NGDPRPC,DOM,2013
NGDPRPC,ECU,2013
NGDPRPC,EGY,2014
NGDPRPC,SLV,2007
NGDPRPC,GNQ,2010
NGDPRPC,ERI,2006
NGDPRPC,EST,2013
NGDPRPC,ETH,2008
NGDPRPC,FJI,2013
NGDPRPC,FIN,2013
NGDPRPC,FRA,2014
NGDPRPC,GAB,0
NGDPRPC,GMB,2010
NGDPRPC,GEO,2013
NGDPRPC,DEU,2013
NGDPRPC,GHA,0
NGDPRPC,GRC,2014
NGDPRPC,GRD,2011
NGDPRPC,GTM,2010
