weo_subject_code,geo,estimates_start_after
NGDP_FY,AFG,2013
NGDP_FY,ALB,2012
NGDP_FY,DZA,2014
NGDP_FY,AGO,2013
NGDP_FY,ATG,2013
NGDP_FY,ARG,2013
NGDP_FY,ARM,2013
NGDP_FY,AUS,2014
NGDP_FY,AUT,2013
NGDP_FY,AZE,2012
NGDP_FY,BHS,2014
NGDP_FY,BHR,2014
NGDP_FY,BGD,2014
NGDP_FY,BRB,2014
NGDP_FY,BLR,2013
NGDP_FY,BEL,2013
NGDP_FY,BLZ,2014
NGDP_FY,BEN,2013
NGDP_FY,BTN,2013
NGDP_FY,BOL,2013
NGDP_FY,BIH,2013
NGDP_FY,BWA,2012
NGDP_FY,BRA,2014
NGDP_FY,BRN,2014
NGDP_FY,BGR,2013
NGDP_FY,BFA,2014
NGDP_FY,BDI,2013
NGDP_FY,CPV,2013
NGDP_FY,KHM,2013
NGDP_FY,CMR,2013
NGDP_FY,CAN,2014
NGDP_FY,CAF,2014
NGDP_FY,TCD,2012
NGDP_FY,CHL,2013
NGDP_FY,CHN,2014
NGDP_FY,COL,2013
NGDP_FY,COM,2013
NGDP_FY,COD,2013
NGDP_FY,COG,2013
NGDP_FY,CRI,2013
NGDP_FY,CIV,2014
NGDP_FY,HRV,2014
NGDP_FY,CYP,2014
NGDP_FY,CZE,2013
NGDP_FY,DNK,2013
NGDP_FY,DJI,2014
NGDP_FY,DMA,2013
NGDP_FY,DOM,2014
NGDP_FY,ECU,2013
NGDP_FY,EGY,2014
NGDP_FY,SLV,2013
NGDP_FY,GNQ,2013
NGDP_FY,ERI,2008
NGDP_FY,EST,2013
NGDP_FY,ETH,2014
NGDP_FY,FJI,2013
NGDP_FY,FIN,2013
NGDP_FY,FRA,2013
NGDP_FY,GAB,2013
NGDP_FY,GMB,2013
NGDP_FY,GEO,2013
NGDP_FY,DEU,2014
NGDP_FY,GHA,2013
NGDP_FY,GRC,2013
NGDP_FY,GRD,2013
NGDP_FY,GTM,2013
NGDP_FY,GIN,2014
NGDP_FY,GNB,2011
NGDP_FY,GUY,2012
NGDP_FY,HTI,2013
NGDP_FY,HND,2013
NGDP_FY,HKG,2014
NGDP_FY,HUN,2013
NGDP_FY,ISL,2013
NGDP_FY,IND,2013
NGDP_FY,IDN,2014
NGDP_FY,IRN,2013
NGDP_FY,IRQ,2014
NGDP_FY,IRL,2014
NGDP_FY,ISR,2013
NGDP_FY,ITA,2013
NGDP_FY,JAM,2014
NGDP_FY,JPN,2013
NGDP_FY,JOR,2013
NGDP_FY,KAZ,2013
NGDP_FY,KEN,2014
NGDP_FY,KIR,2013
NGDP_FY,KOR,2013
NGDP_FY,UVK,2013
NGDP_FY,KWT,2013
NGDP_FY,KGZ,2014
NGDP_FY,LAO,2013
NGDP_FY,LVA,2013
NGDP_FY,LBN,2013
NGDP_FY,LSO,2013
NGDP_FY,LBR,2012
NGDP_FY,LBY,2014
NGDP_FY,LTU,2013
NGDP_FY,LUX,2013
NGDP_FY,MKD,2014
NGDP_FY,MDG,2013
NGDP_FY,MWI,2015
NGDP_FY,MYS,2013
NGDP_FY,MDV,2012
NGDP_FY,MLI,2013
NGDP_FY,MLT,2013
NGDP_FY,MHL,2013
NGDP_FY,MRT,2014
NGDP_FY,MUS,2013
NGDP_FY,MEX,2014
NGDP_FY,FSM,2013
NGDP_FY,MDA,2013
NGDP_FY,MNG,2013
NGDP_FY,MNE,2014
NGDP_FY,MAR,2014
NGDP_FY,MOZ,2013
NGDP_FY,MMR,2014
NGDP_FY,NAM,2012
NGDP_FY,NPL,2014
NGDP_FY,NLD,2014
NGDP_FY,NZL,2014
NGDP_FY,NIC,2014
NGDP_FY,NER,2013
NGDP_FY,NGA,2013
NGDP_FY,NOR,2014
NGDP_FY,OMN,2013
NGDP_FY,PAK,2014
NGDP_FY,PLW,2013
NGDP_FY,PAN,2013
NGDP_FY,PNG,2013
NGDP_FY,PRY,2013
NGDP_FY,PER,2014
NGDP_FY,PHL,2014
NGDP_FY,POL,2013
NGDP_FY,PRT,2013
NGDP_FY,QAT,2014
NGDP_FY,ROU,2014
NGDP_FY,RUS,2013
NGDP_FY,RWA,2014
NGDP_FY,WSM,2014
NGDP_FY,SMR,2013
NGDP_FY,STP,2014
NGDP_FY,SAU,2014
NGDP_FY,SEN,2011
NGDP_FY,SRB,2014
NGDP_FY,SYC,2013
NGDP_FY,SLE,2013
NGDP_FY,SGP,2014
NGDP_FY,SVK,2013
NGDP_FY,SVN,2014
NGDP_FY,SLB,2013
NGDP_FY,ZAF,2014
NGDP_FY,SSD,2014
NGDP_FY,ESP,2014
NGDP_FY,LKA,2013
NGDP_FY,KNA,2013
NGDP_FY,LCA,2013
NGDP_FY,VCT,2013
NGDP_FY,SDN,2013
NGDP_FY,SUR,2013
NGDP_FY,SWZ,2013
NGDP_FY,SWE,2012
NGDP_FY,CHE,2012
NGDP_FY,SYR,2009
NGDP_FY,TWN,2013
NGDP_FY,TJK,2013
NGDP_FY,TZA,2013
NGDP_FY,THA,2014
NGDP_FY,TLS,2012
NGDP_FY,TGO,2013
NGDP_FY,TON,2012
NGDP_FY,TTO,2013
NGDP_FY,TUN,2014
NGDP_FY,TUR,2013
NGDP_FY,TKM,2013
NGDP_FY,TUV,2013
NGDP_FY,UGA,2013
NGDP_FY,UKR,2014
NGDP_FY,ARE,2013
NGDP_FY,GBR,2014
NGDP_FY,USA,2013
NGDP_FY,URY,2014
NGDP_FY,UZB,2012
NGDP_FY,VUT,2014
NGDP_FY,VEN,2010
NGDP_FY,VNM,2013
NGDP_FY,YEM,2013
NGDP_FY,ZMB,2013
NGDP_FY,ZWE,2013
