weo_subject_code,geo,estimates_start_after
NGDP_R,AFG,2013
NGDP_R,ALB,2012
NGDP_R,DZA,2013
NGDP_R,AGO,2012
NGDP_R,ATG,2013
NGDP_R,ARG,2013
NGDP_R,ARM,2013
NGDP_R,AUS,2014
NGDP_R,AUT,2013
NGDP_R,AZE,2013
NGDP_R,BHS,2013
NGDP_R,BHR,2014
NGDP_R,BGD,2013
NGDP_R,BRB,2013
NGDP_R,BLR,2013
NGDP_R,BEL,2014
NGDP_R,BLZ,2013
NGDP_R,BEN,2012
NGDP_R,BTN,0
NGDP_R,BOL,2013
NGDP_R,BIH,2012
NGDP_R,BWA,2012
NGDP_R,BRA,2014
NGDP_R,BRN,2013
NGDP_R,BGR,2013
NGDP_R,BFA,2012
NGDP_R,BDI,2011
NGDP_R,CPV,2012
NGDP_R,KHM,2013
NGDP_R,CMR,2013
NGDP_R,CAN,2014
NGDP_R,CAF,2012
NGDP_R,TCD,2013
NGDP_R,CHL,2013
NGDP_R,CHN,2013
NGDP_R,COL,2013
NGDP_R,COM,2013
NGDP_R,COD,2006
NGDP_R,COG,2013
NGDP_R,CRI,2013
NGDP_R,CIV,2012
NGDP_R,HRV,2014
NGDP_R,CYP,2014
NGDP_R,CZE,2014
NGDP_R,DNK,2013
NGDP_R,DJI,2014
NGDP_R,DMA,2013
NGDP_R,DOM,2013
NGDP_R,ECU,2013
NGDP_R,EGY,2014
NGDP_R,SLV,2013
NGDP_R,GNQ,2013
NGDP_R,ERI,2006
NGDP_R,EST,2013
NGDP_R,ETH,2014
NGDP_R,FJI,2013
NGDP_R,FIN,2014
NGDP_R,FRA,2014
NGDP_R,GAB,2013
NGDP_R,GMB,2012
NGDP_R,GEO,2013
NGDP_R,DEU,2013
NGDP_R,GHA,2012
NGDP_R,GRC,2014
NGDP_R,GRD,2013
NGDP_R,GTM,2013
NGDP_R,GIN,2009
NGDP_R,GNB,2011
NGDP_R,GUY,2012
NGDP_R,HTI,2013
NGDP_R,HND,2013
NGDP_R,HKG,2014
NGDP_R,HUN,2013
NGDP_R,ISL,2013
NGDP_R,IND,2014
NGDP_R,IDN,2014
NGDP_R,IRN,2013
NGDP_R,IRQ,2014
NGDP_R,IRL,2014
NGDP_R,ISR,2014
NGDP_R,ITA,2014
NGDP_R,JAM,2013
NGDP_R,JPN,2014
NGDP_R,JOR,2013
NGDP_R,KAZ,2013
NGDP_R,KEN,2014
NGDP_R,KIR,2013
NGDP_R,KOR,2014
NGDP_R,UVK,2013
NGDP_R,KWT,2013
NGDP_R,KGZ,2014
NGDP_R,LAO,2013
NGDP_R,LVA,2013
NGDP_R,LBN,2011
NGDP_R,LSO,2012
NGDP_R,LBR,2011
NGDP_R,LBY,2014
NGDP_R,LTU,2013
NGDP_R,LUX,2013
NGDP_R,MKD,2014
NGDP_R,MDG,2013
NGDP_R,MWI,2010
NGDP_R,MYS,2014
NGDP_R,MDV,2013
NGDP_R,MLI,2011
NGDP_R,MLT,2013
NGDP_R,MHL,2013
NGDP_R,MRT,2014
NGDP_R,MUS,2013
NGDP_R,MEX,2014
NGDP_R,FSM,2013
NGDP_R,MDA,2013
NGDP_R,MNG,2013
NGDP_R,MNE,2014
NGDP_R,MAR,2013
NGDP_R,MOZ,2013
NGDP_R,MMR,2014
NGDP_R,NAM,2011
NGDP_R,NPL,2014
NGDP_R,NLD,2014
NGDP_R,NZL,2013
NGDP_R,NIC,2013
NGDP_R,NER,2013
NGDP_R,NGA,2014
NGDP_R,NOR,2014
NGDP_R,OMN,2012
NGDP_R,PAK,2014
NGDP_R,PLW,2013
NGDP_R,PAN,2014
NGDP_R,PNG,2013
NGDP_R,PRY,2013
NGDP_R,PER,2014
NGDP_R,PHL,2014
NGDP_R,POL,2013
NGDP_R,PRT,2014
NGDP_R,QAT,2013
NGDP_R,ROU,2014
NGDP_R,RUS,2013
NGDP_R,RWA,2014
NGDP_R,WSM,2014
NGDP_R,SMR,2013
NGDP_R,STP,2012
NGDP_R,SAU,2014
NGDP_R,SEN,2013
NGDP_R,SRB,2014
NGDP_R,SYC,2012
NGDP_R,SLE,2013
NGDP_R,SGP,2014
NGDP_R,SVK,2014
NGDP_R,SVN,2014
NGDP_R,SLB,2013
NGDP_R,ZAF,2014
NGDP_R,SSD,2014
NGDP_R,ESP,2014
NGDP_R,LKA,2012
NGDP_R,KNA,2013
NGDP_R,LCA,2013
NGDP_R,VCT,2013
NGDP_R,SDN,2013
NGDP_R,SUR,2011
NGDP_R,SWZ,2010
NGDP_R,SWE,2014
NGDP_R,CHE,2014
NGDP_R,SYR,2010
NGDP_R,TWN,2014
NGDP_R,TJK,2013
NGDP_R,TZA,2012
NGDP_R,THA,2014
NGDP_R,TLS,2012
NGDP_R,TGO,2009
NGDP_R,TON,2012
NGDP_R,TTO,2012
NGDP_R,TUN,2014
NGDP_R,TUR,2013
NGDP_R,TKM,2013
NGDP_R,TUV,2012
NGDP_R,UGA,2013
NGDP_R,UKR,2014
NGDP_R,ARE,2013
NGDP_R,GBR,2014
NGDP_R,USA,2014
NGDP_R,URY,2014
NGDP_R,UZB,2012
NGDP_R,VUT,2013
NGDP_R,VEN,2013
NGDP_R,VNM,2013
NGDP_R,YEM,2008
NGDP_R,ZMB,2013
NGDP_R,ZWE,2012
