weo_subject_code,geo,estimates_start_after
PPPEX,AFG,2013
PPPEX,ALB,2012
PPPEX,DZA,2013
PPPEX,AGO,2012
PPPEX,ATG,2013
PPPEX,ARG,2013
PPPEX,ARM,2013
PPPEX,AUS,2014
PPPEX,AUT,2013
PPPEX,AZE,2013
PPPEX,BHS,2013
PPPEX,BHR,2014
PPPEX,BGD,2013
PPPEX,BRB,2013
PPPEX,BLR,2013
PPPEX,BEL,2014
PPPEX,BLZ,2013
PPPEX,BEN,2012
PPPEX,BTN,0
PPPEX,BOL,2013
PPPEX,BIH,2012
PPPEX,BWA,2012
PPPEX,BRA,2014
PPPEX,BRN,2013
PPPEX,BGR,2013
PPPEX,BFA,2012
PPPEX,BDI,2011
PPPEX,CPV,2012
PPPEX,KHM,2013
PPPEX,CMR,2013
PPPEX,CAN,2014
PPPEX,CAF,2012
PPPEX,TCD,2013
PPPEX,CHL,2013
PPPEX,CHN,2013
PPPEX,COL,2013
PPPEX,COM,2013
PPPEX,COD,2006
PPPEX,COG,2013
PPPEX,CRI,2013
PPPEX,CIV,2012
PPPEX,HRV,2014
PPPEX,CYP,2014
PPPEX,CZE,2014
PPPEX,DNK,2013
PPPEX,DJI,2014
PPPEX,DMA,2013
PPPEX,DOM,2013
PPPEX,ECU,2013
PPPEX,EGY,2014
PPPEX,SLV,2013
PPPEX,GNQ,2013
PPPEX,ERI,2006
PPPEX,EST,2013
PPPEX,ETH,2014
PPPEX,FJI,2013
PPPEX,FIN,2014
PPPEX,FRA,2014
PPPEX,GAB,2013
PPPEX,GMB,2012
PPPEX,GEO,2013
PPPEX,DEU,2013
PPPEX,GHA,2012
PPPEX,GRC,2014
PPPEX,GRD,2013
PPPEX,GTM,2013
PPPEX,GIN,2009
PPPEX,GNB,2011
PPPEX,GUY,2012
PPPEX,HTI,2013
PPPEX,HND,2013
PPPEX,HKG,2014
PPPEX,HUN,2013
PPPEX,ISL,2013
PPPEX,IND,2014
PPPEX,IDN,2014
PPPEX,IRN,2013
PPPEX,IRQ,2014
PPPEX,IRL,2014
PPPEX,ISR,2014
PPPEX,ITA,2014
PPPEX,JAM,2013
PPPEX,JPN,2014
PPPEX,JOR,2013
PPPEX,KAZ,2013
PPPEX,KEN,2014
PPPEX,KIR,2013
PPPEX,KOR,2014
PPPEX,UVK,2013
PPPEX,KWT,2013
PPPEX,KGZ,2014
PPPEX,LAO,2013
PPPEX,LVA,2013
PPPEX,LBN,2011
PPPEX,LSO,2012
PPPEX,LBR,2011
PPPEX,LBY,2014
PPPEX,LTU,2013
PPPEX,LUX,2013
PPPEX,MKD,2014
PPPEX,MDG,2013
PPPEX,MWI,2010
PPPEX,MYS,2014
PPPEX,MDV,2013
PPPEX,MLI,2011
PPPEX,MLT,2013
PPPEX,MHL,2013
PPPEX,MRT,2014
PPPEX,MUS,2013
PPPEX,MEX,2014
PPPEX,FSM,2013
PPPEX,MDA,2013
PPPEX,MNG,2013
PPPEX,MNE,2014
PPPEX,MAR,2013
PPPEX,MOZ,2013
PPPEX,MMR,2014
PPPEX,NAM,2011
PPPEX,NPL,2014
PPPEX,NLD,2014
PPPEX,NZL,2013
PPPEX,NIC,2013
PPPEX,NER,2013
PPPEX,NGA,2014
PPPEX,NOR,2014
PPPEX,OMN,2012
PPPEX,PAK,2014
PPPEX,PLW,2013
PPPEX,PAN,2014
PPPEX,PNG,2013
PPPEX,PRY,2013
PPPEX,PER,2014
PPPEX,PHL,2014
PPPEX,POL,2013
PPPEX,PRT,2014
PPPEX,QAT,2013
PPPEX,ROU,2014
PPPEX,RUS,2013
PPPEX,RWA,2014
PPPEX,WSM,2014
PPPEX,SMR,2013
PPPEX,STP,2012
PPPEX,SAU,2014
PPPEX,SEN,2013
PPPEX,SRB,2014
PPPEX,SYC,2012
PPPEX,SLE,2013
PPPEX,SGP,2014
PPPEX,SVK,2014
PPPEX,SVN,2014
PPPEX,SLB,2013
PPPEX,ZAF,2014
PPPEX,SSD,2014
PPPEX,ESP,2014
PPPEX,LKA,2012
PPPEX,KNA,2013
PPPEX,LCA,2013
PPPEX,VCT,2013
PPPEX,SDN,2013
PPPEX,SUR,2011
PPPEX,SWZ,2010
PPPEX,SWE,2014
PPPEX,CHE,2014
PPPEX,SYR,2010
PPPEX,TWN,2014
PPPEX,TJK,2013
PPPEX,TZA,2012
PPPEX,THA,2014
PPPEX,TLS,2012
PPPEX,TGO,2009
PPPEX,TON,2012
PPPEX,TTO,2012
PPPEX,TUN,2014
PPPEX,TUR,2013
PPPEX,TKM,2013
PPPEX,TUV,2012
PPPEX,UGA,2013
PPPEX,UKR,2014
PPPEX,ARE,2013
PPPEX,GBR,2014
PPPEX,USA,2014
PPPEX,URY,2014
PPPEX,UZB,2012
PPPEX,VUT,2013
PPPEX,VEN,2013
PPPEX,VNM,2013
PPPEX,YEM,2008
PPPEX,ZMB,2013
PPPEX,ZWE,2012
