weo_subject_code,geo,estimates_start_after
PPPGDP,AFG,2013
PPPGDP,ALB,2012
PPPGDP,DZA,2013
PPPGDP,AGO,2012
PPPGDP,ATG,2013
PPPGDP,ARG,2013
PPPGDP,ARM,2013
PPPGDP,AUS,2014
PPPGDP,AUT,2013
PPPGDP,AZE,2013
PPPGDP,BHS,2013
PPPGDP,BHR,2014
PPPGDP,BGD,2013
PPPGDP,BRB,2013
PPPGDP,BLR,2013
PPPGDP,BEL,2014
PPPGDP,BLZ,2013
PPPGDP,BEN,2012
PPPGDP,BTN,0
PPPGDP,BOL,2013
PPPGDP,BIH,2012
PPPGDP,BWA,2012
PPPGDP,BRA,2014
PPPGDP,BRN,2013
PPPGDP,BGR,2013
PPPGDP,BFA,2012
PPPGDP,BDI,2011
PPPGDP,CPV,2012
PPPGDP,KHM,2013
PPPGDP,CMR,2013
PPPGDP,CAN,2014
PPPGDP,CAF,2012
PPPGDP,TCD,2013
PPPGDP,CHL,2013
PPPGDP,CHN,2013
PPPGDP,COL,2013
PPPGDP,COM,2013
PPPGDP,COD,2006
PPPGDP,COG,2013
PPPGDP,CRI,2013
PPPGDP,CIV,2012
PPPGDP,HRV,2014
PPPGDP,CYP,2014
PPPGDP,CZE,2014
PPPGDP,DNK,2013
PPPGDP,DJI,2014
PPPGDP,DMA,2013
PPPGDP,DOM,2013
PPPGDP,ECU,2013
PPPGDP,EGY,2014
PPPGDP,SLV,2013
PPPGDP,GNQ,2013
PPPGDP,ERI,2006
PPPGDP,EST,2013
PPPGDP,ETH,2014
PPPGDP,FJI,2013
PPPGDP,FIN,2014
PPPGDP,FRA,2014
PPPGDP,GAB,2013
PPPGDP,GMB,2012
PPPGDP,GEO,2013
PPPGDP,DEU,2013
PPPGDP,GHA,2012
PPPGDP,GRC,2014
PPPGDP,GRD,2013
PPPGDP,GTM,2013
PPPGDP,GIN,2009
PPPGDP,GNB,2011
PPPGDP,GUY,2012
PPPGDP,HTI,2013
PPPGDP,HND,2013
PPPGDP,HKG,2014
PPPGDP,HUN,2013
PPPGDP,ISL,2013
PPPGDP,IND,2014
PPPGDP,IDN,2014
PPPGDP,IRN,2013
PPPGDP,IRQ,2014
PPPGDP,IRL,2014
PPPGDP,ISR,2014
PPPGDP,ITA,2014
PPPGDP,JAM,2013
PPPGDP,JPN,2014
PPPGDP,JOR,2013
PPPGDP,KAZ,2013
PPPGDP,KEN,2014
PPPGDP,KIR,2013
PPPGDP,KOR,2014
PPPGDP,UVK,2013
PPPGDP,KWT,2013
PPPGDP,KGZ,2014
PPPGDP,LAO,2013
PPPGDP,LVA,2013
PPPGDP,LBN,2011
PPPGDP,LSO,2012
PPPGDP,LBR,2011
PPPGDP,LBY,2014
PPPGDP,LTU,2013
PPPGDP,LUX,2013
PPPGDP,MKD,2014
PPPGDP,MDG,2013
PPPGDP,MWI,2010
PPPGDP,MYS,2014
PPPGDP,MDV,2013
PPPGDP,MLI,2011
PPPGDP,MLT,2013
PPPGDP,MHL,2013
PPPGDP,MRT,2014
PPPGDP,MUS,2013
PPPGDP,MEX,2014
PPPGDP,FSM,2013
PPPGDP,MDA,2013
PPPGDP,MNG,2013
PPPGDP,MNE,2014
PPPGDP,MAR,2013
PPPGDP,MOZ,2013
PPPGDP,MMR,2014
PPPGDP,NAM,2011
PPPGDP,NPL,2014
PPPGDP,NLD,2014
PPPGDP,NZL,2013
PPPGDP,NIC,2013
PPPGDP,NER,2013
PPPGDP,NGA,2014
PPPGDP,NOR,2014
PPPGDP,OMN,2012
PPPGDP,PAK,2014
PPPGDP,PLW,2013
PPPGDP,PAN,2014
PPPGDP,PNG,2013
PPPGDP,PRY,2013
PPPGDP,PER,2014
PPPGDP,PHL,2014
PPPGDP,POL,2013
PPPGDP,PRT,2014
PPPGDP,QAT,2013
PPPGDP,ROU,2014
PPPGDP,RUS,2013
PPPGDP,RWA,2014
PPPGDP,WSM,2014
PPPGDP,SMR,2013
PPPGDP,STP,2012
PPPGDP,SAU,2014
PPPGDP,SEN,2013
PPPGDP,SRB,2014
PPPGDP,SYC,2012
PPPGDP,SLE,2013
PPPGDP,SGP,2014
PPPGDP,SVK,2014
PPPGDP,SVN,2014
PPPGDP,SLB,2013
PPPGDP,ZAF,2014
PPPGDP,SSD,2014
PPPGDP,ESP,2014
PPPGDP,LKA,2012
PPPGDP,KNA,2013
PPPGDP,LCA,2013
PPPGDP,VCT,2013
PPPGDP,SDN,2013
PPPGDP,SUR,2011
PPPGDP,SWZ,2010
PPPGDP,SWE,2014
PPPGDP,CHE,2014
PPPGDP,SYR,2010
PPPGDP,TWN,2014
PPPGDP,TJK,2013
PPPGDP,TZA,2012
PPPGDP,THA,2014
PPPGDP,TLS,2012
PPPGDP,TGO,2009
PPPGDP,TON,2012
PPPGDP,TTO,2012
PPPGDP,TUN,2014
PPPGDP,TUR,2013
PPPGDP,TKM,2013
PPPGDP,TUV,2012
PPPGDP,UGA,2013
PPPGDP,UKR,2014
PPPGDP,ARE,2013
PPPGDP,GBR,2014
PPPGDP,USA,2014
PPPGDP,URY,2014
PPPGDP,UZB,2012
PPPGDP,VUT,2013
PPPGDP,VEN,2013
PPPGDP,VNM,2013
PPPGDP,YEM,2008
PPPGDP,ZMB,2013
PPPGDP,ZWE,2012
