weo_subject_code,geo,estimates_start_after
PPPPC,AFG,2013
PPPPC,ALB,2010
PPPPC,DZA,2013
PPPPC,AGO,2012
PPPPC,ATG,2011
PPPPC,ARG,2010
PPPPC,ARM,2011
PPPPC,AUS,2013
PPPPC,AUT,2013
PPPPC,AZE,2011
PPPPC,BHS,2013
PPPPC,BHR,2013
PPPPC,BGD,2013
PPPPC,BRB,2010
PPPPC,BLR,2013
PPPPC,BEL,2014
PPPPC,BLZ,2013
PPPPC,BEN,2011
PPPPC,BTN,0
PPPPC,BOL,2011
PPPPC,BIH,2012
PPPPC,BWA,2008
PPPPC,BRA,2014
PPPPC,BRN,2013
PPPPC,BGR,2013
PPPPC,BFA,2011
PPPPC,BDI,0
PPPPC,CPV,2012
PPPPC,KHM,2012
PPPPC,CMR,2010
PPPPC,CAN,2013
PPPPC,CAF,2004
PPPPC,TCD,2004
PPPPC,CHL,2002
PPPPC,CHN,2013
PPPPC,COL,2009
PPPPC,COM,2003
PPPPC,COD,1983
PPPPC,COG,2004
PPPPC,CRI,2011
PPPPC,CIV,2012
PPPPC,HRV,2013
PPPPC,CYP,2014
PPPPC,CZE,2013
PPPPC,DNK,2013
PPPPC,DJI,2009
PPPPC,DMA,2011
PPPPC,DOM,2013
PPPPC,ECU,2013
PPPPC,EGY,2014
PPPPC,SLV,2007
PPPPC,GNQ,2010
PPPPC,ERI,2006
PPPPC,EST,2013
PPPPC,ETH,2008
PPPPC,FJI,2013
PPPPC,FIN,2013
PPPPC,FRA,2014
PPPPC,GAB,0
PPPPC,GMB,2010
PPPPC,GEO,2013
PPPPC,DEU,2013
PPPPC,GHA,0
PPPPC,GRC,2014
PPPPC,GRD,2011
PPPPC,GTM,2010
PPPPC,GIN,2009
PPPPC,GNB,2004
PPPPC,GUY,2002
PPPPC,HTI,0
PPPPC,HND,2001
PPPPC,HKG,2014
PPPPC,HUN,2013
PPPPC,ISL,2013
PPPPC,IND,2013
PPPPC,IDN,2010
PPPPC,IRN,2012
PPPPC,IRQ,2013
PPPPC,IRL,2014
PPPPC,ISR,2014
PPPPC,ITA,2014
PPPPC,JAM,2013
PPPPC,JPN,2014
PPPPC,JOR,2013
PPPPC,KAZ,2013
PPPPC,KEN,2013
PPPPC,KIR,2013
PPPPC,KOR,2014
PPPPC,UVK,
PPPPC,KWT,2013
PPPPC,KGZ,2012
PPPPC,LAO,2012
PPPPC,LVA,2013
PPPPC,LBN,2011
PPPPC,LSO,2006
PPPPC,LBR,2009
PPPPC,LBY,2014
PPPPC,LTU,2013
PPPPC,LUX,2013
PPPPC,MKD,2013
PPPPC,MDG,2006
PPPPC,MWI,2010
PPPPC,MYS,2014
PPPPC,MDV,2006
PPPPC,MLI,2010
PPPPC,MLT,2013
PPPPC,MHL,2013
PPPPC,MRT,2012
PPPPC,MUS,2012
PPPPC,MEX,2014
PPPPC,FSM,2013
PPPPC,MDA,2013
PPPPC,MNG,2013
PPPPC,MNE,2013
PPPPC,MAR,2013
PPPPC,MOZ,2013
PPPPC,MMR,2006
PPPPC,NAM,2008
PPPPC,NPL,2012
PPPPC,NLD,2014
PPPPC,NZL,2013
PPPPC,NIC,2013
PPPPC,NER,2009
PPPPC,NGA,2012
PPPPC,NOR,2014
PPPPC,OMN,2012
PPPPC,PAK,2013
PPPPC,PLW,2013
PPPPC,PAN,2013
PPPPC,PNG,2012
PPPPC,PRY,2013
PPPPC,PER,2010
PPPPC,PHL,2014
PPPPC,POL,2013
PPPPC,PRT,2014
PPPPC,QAT,2013
PPPPC,ROU,2014
PPPPC,RUS,2013
PPPPC,RWA,2012
PPPPC,WSM,2011
PPPPC,SMR,2013
PPPPC,STP,2011
PPPPC,SAU,2010
PPPPC,SEN,2011
PPPPC,SRB,2013
PPPPC,SYC,2011
PPPPC,SLE,2012
PPPPC,SGP,2014
PPPPC,SVK,2013
PPPPC,SVN,2014
PPPPC,SLB,2010
PPPPC,ZAF,2014
PPPPC,SSD,2008
PPPPC,ESP,2014
PPPPC,LKA,2012
PPPPC,KNA,2003
PPPPC,LCA,2012
PPPPC,VCT,2001
PPPPC,SDN,2011
PPPPC,SUR,2011
PPPPC,SWZ,2009
PPPPC,SWE,2014
PPPPC,CHE,2014
PPPPC,SYR,2010
PPPPC,TWN,2014
PPPPC,TJK,2013
PPPPC,TZA,2012
PPPPC,THA,2014
PPPPC,TLS,2011
PPPPC,TGO,2009
PPPPC,TON,2012
PPPPC,TTO,2012
PPPPC,TUN,2010
PPPPC,TUR,2013
PPPPC,TKM,2004
PPPPC,TUV,2012
PPPPC,UGA,2013
PPPPC,UKR,2013
PPPPC,ARE,2010
PPPPC,GBR,2014
PPPPC,USA,2014
PPPPC,URY,2014
PPPPC,UZB,2010
PPPPC,VUT,2013
PPPPC,VEN,2010
PPPPC,VNM,2012
PPPPC,YEM,2008
PPPPC,ZMB,2010
PPPPC,ZWE,2012
