weo_subject_code,geo,estimates_start_after
PPPSH,AFG,2011
PPPSH,ALB,2011
PPPSH,DZA,2011
PPPSH,AGO,2011
PPPSH,ATG,2011
PPPSH,ARG,2011
PPPSH,ARM,2011
PPPSH,AUS,2011
PPPSH,AUT,2011
PPPSH,AZE,2011
PPPSH,BHS,2011
PPPSH,BHR,2011
PPPSH,BGD,2011
PPPSH,BRB,2011
PPPSH,BLR,2011
PPPSH,BEL,2011
PPPSH,BLZ,2011
PPPSH,BEN,2011
PPPSH,BTN,0
PPPSH,BOL,2011
PPPSH,BIH,2011
PPPSH,BWA,2011
PPPSH,BRA,2011
PPPSH,BRN,2011
PPPSH,BGR,2011
PPPSH,BFA,2011
PPPSH,BDI,2011
PPPSH,CPV,2011
PPPSH,KHM,2011
PPPSH,CMR,2011
PPPSH,CAN,2011
PPPSH,CAF,2011
PPPSH,TCD,2011
PPPSH,CHL,2011
PPPSH,CHN,2011
PPPSH,COL,2011
PPPSH,COM,2011
PPPSH,COD,2006
PPPSH,COG,2011
PPPSH,CRI,2011
PPPSH,CIV,2011
PPPSH,HRV,2011
PPPSH,CYP,2011
PPPSH,CZE,2011
PPPSH,DNK,2011
PPPSH,DJI,2011
PPPSH,DMA,2011
PPPSH,DOM,2011
PPPSH,ECU,2011
PPPSH,EGY,2011
PPPSH,SLV,2011
PPPSH,GNQ,2011
PPPSH,ERI,2006
PPPSH,EST,2011
PPPSH,ETH,2011
PPPSH,FJI,2011
PPPSH,FIN,2011
PPPSH,FRA,2011
PPPSH,GAB,2011
PPPSH,GMB,2011
PPPSH,GEO,2011
PPPSH,DEU,2011
PPPSH,GHA,2011
PPPSH,GRC,2011
PPPSH,GRD,2011
PPPSH,GTM,2011
PPPSH,GIN,2009
PPPSH,GNB,2011
PPPSH,GUY,2011
PPPSH,HTI,2011
PPPSH,HND,2011
PPPSH,HKG,2011
PPPSH,HUN,2011
PPPSH,ISL,2011
PPPSH,IND,2011
PPPSH,IDN,2011
PPPSH,IRN,2011
PPPSH,IRQ,2011
PPPSH,IRL,2011
PPPSH,ISR,2011
PPPSH,ITA,2011
PPPSH,JAM,2011
PPPSH,JPN,2011
PPPSH,JOR,2011
PPPSH,KAZ,2011
PPPSH,KEN,2011
PPPSH,KIR,2011
PPPSH,KOR,2011
PPPSH,UVK,2011
PPPSH,KWT,2011
PPPSH,KGZ,2011
PPPSH,LAO,2011
PPPSH,LVA,2011
PPPSH,LBN,2011
PPPSH,LSO,2011
PPPSH,LBR,2011
PPPSH,LBY,2011
PPPSH,LTU,2011
PPPSH,LUX,2011
PPPSH,MKD,2011
PPPSH,MDG,2011
PPPSH,MWI,2010
PPPSH,MYS,2011
PPPSH,MDV,2011
PPPSH,MLI,2011
PPPSH,MLT,2011
PPPSH,MHL,2011
PPPSH,MRT,2011
PPPSH,MUS,2011
PPPSH,MEX,2011
PPPSH,FSM,2011
PPPSH,MDA,2011
PPPSH,MNG,2011
PPPSH,MNE,2011
PPPSH,MAR,2011
PPPSH,MOZ,2011
PPPSH,MMR,2011
PPPSH,NAM,2011
PPPSH,NPL,2011
PPPSH,NLD,2011
PPPSH,NZL,2011
PPPSH,NIC,2011
PPPSH,NER,2011
PPPSH,NGA,2011
PPPSH,NOR,2011
PPPSH,OMN,2011
PPPSH,PAK,2011
PPPSH,PLW,2011
PPPSH,PAN,2011
PPPSH,PNG,2011
PPPSH,PRY,2011
PPPSH,PER,2011
PPPSH,PHL,2011
PPPSH,POL,2011
PPPSH,PRT,2011
PPPSH,QAT,2011
PPPSH,ROU,2011
PPPSH,RUS,2011
PPPSH,RWA,2011
PPPSH,WSM,2011
PPPSH,SMR,2011
PPPSH,STP,2011
PPPSH,SAU,2011
PPPSH,SEN,2011
PPPSH,SRB,2011
PPPSH,SYC,2011
PPPSH,SLE,2011
PPPSH,SGP,2011
PPPSH,SVK,2011
PPPSH,SVN,2011
PPPSH,SLB,2011
PPPSH,ZAF,2011
PPPSH,SSD,2011
PPPSH,ESP,2011
PPPSH,LKA,2011
PPPSH,KNA,2011
PPPSH,LCA,2011
PPPSH,VCT,2011
PPPSH,SDN,2011
PPPSH,SUR,2011
PPPSH,SWZ,2010
PPPSH,SWE,2011
PPPSH,CHE,2011
PPPSH,SYR,2010
PPPSH,TWN,2011
PPPSH,TJK,2011
PPPSH,TZA,2011
PPPSH,THA,2011
PPPSH,TLS,2011
PPPSH,TGO,2009
PPPSH,TON,2011
PPPSH,TTO,2011
PPPSH,TUN,2011
PPPSH,TUR,2011
PPPSH,TKM,2011
PPPSH,TUV,2011
PPPSH,UGA,2011
PPPSH,UKR,2011
PPPSH,ARE,2011
PPPSH,GBR,2011
PPPSH,USA,2011
PPPSH,URY,2011
PPPSH,UZB,2011
PPPSH,VUT,2011
PPPSH,VEN,2011
PPPSH,VNM,2011
PPPSH,YEM,2008
PPPSH,ZMB,2011
PPPSH,ZWE,2011
