weo_subject_code,geo,estimates_start_after
TM_RPCH,AFG,2013
TM_RPCH,ALB,2012
TM_RPCH,DZA,2014
TM_RPCH,AGO,2013
TM_RPCH,ATG,2014
TM_RPCH,ARG,2013
TM_RPCH,ARM,2013
TM_RPCH,AUS,2013
TM_RPCH,AUT,2013
TM_RPCH,AZE,2012
TM_RPCH,BHS,2013
TM_RPCH,BHR,2014
TM_RPCH,BGD,2013
TM_RPCH,BRB,2014
TM_RPCH,BLR,2013
TM_RPCH,BEL,2014
TM_RPCH,BLZ,2013
TM_RPCH,BEN,2012
TM_RPCH,BTN,
TM_RPCH,BOL,2013
TM_RPCH,BIH,2013
TM_RPCH,BWA,2010
TM_RPCH,BRA,2014
TM_RPCH,BRN,2014
TM_RPCH,BGR,2013
TM_RPCH,BFA,2012
TM_RPCH,BDI,2012
TM_RPCH,CPV,2013
TM_RPCH,KHM,2013
TM_RPCH,CMR,2013
TM_RPCH,CAN,2014
TM_RPCH,CAF,2012
TM_RPCH,TCD,2012
TM_RPCH,CHL,2013
TM_RPCH,CHN,2014
TM_RPCH,COL,2014
TM_RPCH,COM,2013
TM_RPCH,COD,2013
TM_RPCH,COG,2007
TM_RPCH,CRI,2013
TM_RPCH,CIV,2012
TM_RPCH,HRV,2014
TM_RPCH,CYP,2014
TM_RPCH,CZE,2013
TM_RPCH,DNK,2014
TM_RPCH,DJI,2011
TM_RPCH,DMA,2013
TM_RPCH,DOM,2013
TM_RPCH,ECU,2014
TM_RPCH,EGY,2014
TM_RPCH,SLV,2013
TM_RPCH,GNQ,2013
TM_RPCH,ERI,2008
TM_RPCH,EST,2013
TM_RPCH,ETH,2014
TM_RPCH,FJI,
TM_RPCH,FIN,2013
TM_RPCH,FRA,2014
TM_RPCH,GAB,2006
TM_RPCH,GMB,2010
TM_RPCH,GEO,2013
TM_RPCH,DEU,2013
TM_RPCH,GHA,2012
TM_RPCH,GRC,2014
TM_RPCH,GRD,2013
TM_RPCH,GTM,2013
TM_RPCH,GIN,2013
TM_RPCH,GNB,2011
TM_RPCH,GUY,2012
TM_RPCH,HTI,2013
TM_RPCH,HND,2013
TM_RPCH,HKG,2014
TM_RPCH,HUN,2010
TM_RPCH,ISL,2014
TM_RPCH,IND,2014
TM_RPCH,IDN,2014
TM_RPCH,IRN,2013
TM_RPCH,IRQ,
TM_RPCH,IRL,2014
TM_RPCH,ISR,2014
TM_RPCH,ITA,2013
TM_RPCH,JAM,2013
TM_RPCH,JPN,2014
TM_RPCH,JOR,2013
TM_RPCH,KAZ,2013
TM_RPCH,KEN,2013
TM_RPCH,KIR,2012
TM_RPCH,KOR,2014
TM_RPCH,UVK,2013
TM_RPCH,KWT,2013
TM_RPCH,KGZ,2014
TM_RPCH,LAO,2013
TM_RPCH,LVA,2013
TM_RPCH,LBN,2013
TM_RPCH,LSO,2012
TM_RPCH,LBR,2013
TM_RPCH,LBY,2014
TM_RPCH,LTU,2013
TM_RPCH,LUX,2013
TM_RPCH,MKD,2014
TM_RPCH,MDG,2014
TM_RPCH,MWI,2013
TM_RPCH,MYS,2014
TM_RPCH,MDV,2011
TM_RPCH,MLI,2011
TM_RPCH,MLT,2013
TM_RPCH,MHL,
TM_RPCH,MRT,2013
TM_RPCH,MUS,2013
TM_RPCH,MEX,2014
TM_RPCH,FSM,
TM_RPCH,MDA,2013
TM_RPCH,MNG,2013
TM_RPCH,MNE,2014
TM_RPCH,MAR,2013
TM_RPCH,MOZ,2013
TM_RPCH,MMR,2014
TM_RPCH,NAM,2011
TM_RPCH,NPL,
TM_RPCH,NLD,2013
TM_RPCH,NZL,2014
TM_RPCH,NIC,2013
TM_RPCH,NER,2012
TM_RPCH,NGA,2013
TM_RPCH,NOR,2014
TM_RPCH,OMN,2013
TM_RPCH,PAK,2014
TM_RPCH,PLW,2013
TM_RPCH,PAN,2014
TM_RPCH,PNG,2013
TM_RPCH,PRY,2013
TM_RPCH,PER,2014
TM_RPCH,PHL,2014
TM_RPCH,POL,2013
TM_RPCH,PRT,2014
TM_RPCH,QAT,2013
TM_RPCH,ROU,2014
TM_RPCH,RUS,2014
TM_RPCH,RWA,2014
TM_RPCH,WSM,
TM_RPCH,SMR,
TM_RPCH,STP,2014
TM_RPCH,SAU,2014
TM_RPCH,SEN,2011
TM_RPCH,SRB,2014
TM_RPCH,SYC,2013
TM_RPCH,SLE,2013
TM_RPCH,SGP,2014
TM_RPCH,SVK,2014
TM_RPCH,SVN,2014
TM_RPCH,SLB,2013
TM_RPCH,ZAF,2013
TM_RPCH,SSD,
TM_RPCH,ESP,2014
TM_RPCH,LKA,2012
TM_RPCH,KNA,2013
TM_RPCH,LCA,2013
TM_RPCH,VCT,2013
TM_RPCH,SDN,2013
TM_RPCH,SUR,2013
TM_RPCH,SWZ,2013
TM_RPCH,SWE,2014
TM_RPCH,CHE,2013
TM_RPCH,SYR,2009
TM_RPCH,TWN,2014
TM_RPCH,TJK,2013
TM_RPCH,TZA,2010
TM_RPCH,THA,2014
TM_RPCH,TLS,
TM_RPCH,TGO,2012
TM_RPCH,TON,2012
TM_RPCH,TTO,2012
TM_RPCH,TUN,2014
TM_RPCH,TUR,2013
TM_RPCH,TKM,2012
TM_RPCH,TUV,
TM_RPCH,UGA,2013
TM_RPCH,UKR,2013
TM_RPCH,ARE,2013
TM_RPCH,GBR,2013
TM_RPCH,USA,2014
TM_RPCH,URY,2014
TM_RPCH,UZB,2012
TM_RPCH,VUT,
TM_RPCH,VEN,2012
TM_RPCH,VNM,2013
TM_RPCH,YEM,
TM_RPCH,ZMB,2013
TM_RPCH,ZWE,
