weo_subject_code,geo,estimates_start_after
TXG_RPCH,AFG,2013
TXG_RPCH,ALB,2012
TXG_RPCH,DZA,2014
TXG_RPCH,AGO,2013
TXG_RPCH,ATG,2014
TXG_RPCH,ARG,2013
TXG_RPCH,ARM,2013
TXG_RPCH,AUS,2013
TXG_RPCH,AUT,2013
TXG_RPCH,AZE,2012
TXG_RPCH,BHS,2013
TXG_RPCH,BHR,2014
TXG_RPCH,BGD,2013
TXG_RPCH,BRB,2014
TXG_RPCH,BLR,2013
TXG_RPCH,BEL,2014
TXG_RPCH,BLZ,2013
TXG_RPCH,BEN,2012
TXG_RPCH,BTN,
TXG_RPCH,BOL,2013
TXG_RPCH,BIH,2013
TXG_RPCH,BWA,2010
TXG_RPCH,BRA,2014
TXG_RPCH,BRN,2014
TXG_RPCH,BGR,2013
TXG_RPCH,BFA,2012
TXG_RPCH,BDI,2012
TXG_RPCH,CPV,2013
TXG_RPCH,KHM,2013
TXG_RPCH,CMR,2013
TXG_RPCH,CAN,2014
TXG_RPCH,CAF,2012
TXG_RPCH,TCD,2012
TXG_RPCH,CHL,2013
TXG_RPCH,CHN,2014
TXG_RPCH,COL,2014
TXG_RPCH,COM,2013
TXG_RPCH,COD,2013
TXG_RPCH,COG,2007
TXG_RPCH,CRI,2013
TXG_RPCH,CIV,2012
TXG_RPCH,HRV,2014
TXG_RPCH,CYP,2014
TXG_RPCH,CZE,2013
TXG_RPCH,DNK,2014
TXG_RPCH,DJI,2011
TXG_RPCH,DMA,2013
TXG_RPCH,DOM,2013
TXG_RPCH,ECU,2014
TXG_RPCH,EGY,2014
TXG_RPCH,SLV,2013
TXG_RPCH,GNQ,2013
TXG_RPCH,ERI,2008
TXG_RPCH,EST,2013
TXG_RPCH,ETH,2014
TXG_RPCH,FJI,
TXG_RPCH,FIN,2013
TXG_RPCH,FRA,2014
TXG_RPCH,GAB,2006
TXG_RPCH,GMB,2010
TXG_RPCH,GEO,2013
TXG_RPCH,DEU,2013
TXG_RPCH,GHA,2012
TXG_RPCH,GRC,2014
TXG_RPCH,GRD,2013
TXG_RPCH,GTM,2013
TXG_RPCH,GIN,2013
TXG_RPCH,GNB,2011
TXG_RPCH,GUY,2012
