weo_subject_code,geo,country_series_specific_notes
BCA,AFG,"Source: Various sources: Central Statistical Office; ministry of finance, central bank, Directions of Trade Statistics; Afghanistan Investment Support Agency; IMF staff Latest actual data: 2013 BOP Manual used: BPM 5. Currently working on the move to BPM 6 Primary domestic currency: Afghan Afghani Data last updated: 03/2015"
BCA,ALB,Source: Central Bank Latest actual data: 2012 BOP Manual used: BPM 5. BPM 5 data is from the authorities. Primary domestic currency: Albanian lek Data last updated: 03/2015
BCA,DZA,Source: Central Bank Latest actual data: 2014 BOP Manual used: BPM 5 Primary domestic currency: Algerian dinar Data last updated: 03/2015
BCA,AGO,Source: Central Bank. National Bank of Angola Latest actual data: 2013 BOP Manual used: BPM 5 Primary domestic currency: Angolan kwanza Data last updated: 03/2015
BCA,ATG,Source: Central Bank Latest actual data: 2013 Notes: Data prior to 1996 cannot be confirmed by national sources at this time. BOP Manual used: BPM 5. Team converted the data from BPM5 to BPM6 Primary domestic currency: Eastern Caribbean dollar Data last updated: 03/2015
BCA,ARG,Source: Central Bank Latest actual data: 2013 BOP Manual used: BPM 5 Primary domestic currency: Argentine peso Data last updated: 03/2015
BCA,ARM,"Source: Central Bank Latest actual data: 2013 Notes: Starting from 2004, BOP figures were revised to reflect non-bank private transfers in the current account. In 2003 and previous years, non-bank private transfers are reported in the financial account. BOP Manual used: BPM 5 Primary domestic currency: Armenian dram Data last updated: 03/2015"
BCA,AUS,Source: National Statistical Office. Australian Bureau of Statistics (via Time Series Plus & dXdata) Latest actual data: 2013 BOP Manual used: BPM 6 Primary domestic currency: Australian dollar Data last updated: 03/2015
BCA,AUT,Source: Central Bank Latest actual data: 2013 BOP Manual used: BPM 6 Primary domestic currency: Euro Data last updated: 03/2015
BCA,AZE,Source: Central Bank Latest actual data: 2012 Notes: Data prior to 2005 cannot be confirmed at this time. BOP Manual used: BPM 5 Primary domestic currency: Azerbaijan manat Data last updated: 03/2015
BCA,BHS,Source: Central Bank Latest actual data: 2013 BOP Manual used: BPM 5 Primary domestic currency: Bahamian dollar Data last updated: 03/2015
BCA,BHR,Source: Bahrain Monetary Agency Latest actual data: 2014 BOP Manual used: BPM 5 Primary domestic currency: Bahrain dinar Data last updated: 03/2015
BCA,BGD,Source: Central Bank Latest actual data: 2013 BOP Manual used: BPM 4 Primary domestic currency: Bangladesh taka Data last updated: 03/2015
BCA,BRB,Source: Central Bank Latest actual data: 2013 BOP Manual used: BPM 5 Primary domestic currency: Barbados dollar Data last updated: 03/2015
BCA,BLR,"Source: Central Bank. Formally, the National Bank of the Republic of Belarus Latest actual data: 2013 BOP Manual used: BPM 6 Primary domestic currency: Belarusian rubel Data last updated: 03/2015"
BCA,BEL,Source: Central Bank Latest actual data: 2014 BOP Manual used: BPM 6 Primary domestic currency: Euro Data last updated: 03/2015
BCA,BLZ,Source: Central Bank Latest actual data: 2013 BOP Manual used: BPM 5. SDR allocation in 2009 recorded as liability also. Primary domestic currency: Belize dollar Data last updated: 03/2015
BCA,BEN,Source: Central Bank Latest actual data: 2012 BOP Manual used: BPM 5 Primary domestic currency: CFA franc Data last updated: 02/2015
BCA,BTN,Source: Central Bank Latest actual data: 2011/12 Notes: Data reported on fiscal year basis (July-June). BOP Manual used: BPM 6. Data from 2006/07 onwards are compiled in BPM 6. Primary domestic currency: Bhutanese ngultrum Data last updated: 02/2015
BCA,BOL,Source: Central Bank Latest actual data: 2013 BOP Manual used: BPM 5 Primary domestic currency: Bolivian boliviano Data last updated: 03/2015
BCA,BIH,Source: Central Bank Latest actual data: 2013 BOP Manual used: BPM 6 Primary domestic currency: Convertible marka Data last updated: 03/2015
BCA,BWA,Source: Central Bank Latest actual data: 2012 BOP Manual used: BPM 5 Primary domestic currency: Botswana pula Data last updated: 03/2015
BCA,BRA,Source: Central Bank Latest actual data: 2014 BOP Manual used: BPM 5 Primary domestic currency: Brazilian real Data last updated: 03/2015
BCA,BRN,"Source: IFS - International Finance Statistics. Latest available data from the Prime Minister's Office, Economic Planning and Development Department Latest actual data: 2013 Notes: Income receipts and income payments under the current account balance are based on staff estimates. BOP Manual used: BPM 5. While on the whole the current account items follow the BPM5 classification, the financial account items do not align with the BPM5 classification. Primary domestic currency: Brunei dollar Data last updated: 03/2015"
BCA,BGR,Source: Central Bank Latest actual data: 2013 BOP Manual used: BPM 6 Primary domestic currency: Bulgarian lev Data last updated: 03/2015
BCA,BFA,Source: Central Bank Latest actual data: 2012 BOP Manual used: BPM 5 Primary domestic currency: CFA franc Data last updated: 03/2015
BCA,BDI,Source: Central Bank. Some data are staff estimates Latest actual data: 2012 BOP Manual used: BPM 6 Primary domestic currency: Burundi franc Data last updated: 03/2015
BCA,CPV,Source: Central Bank Latest actual data: 2013 BOP Manual used: BPM 5 Primary domestic currency: Cabo Verde escudo Data last updated: 02/2015
BCA,KHM,Source: Central Bank Latest actual data: 2013 BOP Manual used: BPM 5 Primary domestic currency: Cambodian riel Data last updated: 03/2015
BCA,CMR,"Source: Ministry of Finance Latest actual data: 2013 Notes: The percent changes in 2002 are calculated over a period of 18 months, reflecting a change in the fiscal year cycle (from July-June to January-December). BOP Manual used: BPM 5 Primary domestic currency: CFA franc Data last updated: 03/2015"
BCA,CAN,Source: National Statistical Office Latest actual data: 2014 BOP Manual used: BPM 6 Primary domestic currency: Canadian dollar Data last updated: 03/2015
