weo_subject_code,geo,country_series_specific_notes
FLIBOR6,AFG,
FLIBOR6,ALB,
FLIBOR6,DZA,
FLIBOR6,AGO,
FLIBOR6,ATG,
FLIBOR6,ARG,
FLIBOR6,ARM,
FLIBOR6,AUS,
FLIBOR6,AUT,
FLIBOR6,AZE,
FLIBOR6,BHS,
FLIBOR6,BHR,
FLIBOR6,BGD,
FLIBOR6,BRB,
FLIBOR6,BLR,
FLIBOR6,BEL,
FLIBOR6,BLZ,
FLIBOR6,BEN,
FLIBOR6,BTN,
FLIBOR6,BOL,
FLIBOR6,BIH,
FLIBOR6,BWA,
FLIBOR6,BRA,
FLIBOR6,BRN,
FLIBOR6,BGR,
FLIBOR6,BFA,
FLIBOR6,BDI,
FLIBOR6,CPV,
FLIBOR6,KHM,
FLIBOR6,CMR,
FLIBOR6,CAN,
FLIBOR6,CAF,
FLIBOR6,TCD,
FLIBOR6,CHL,
FLIBOR6,CHN,
FLIBOR6,COL,
FLIBOR6,COM,
FLIBOR6,COD,
FLIBOR6,COG,
FLIBOR6,CRI,
FLIBOR6,CIV,
FLIBOR6,HRV,
FLIBOR6,CYP,
FLIBOR6,CZE,
FLIBOR6,DNK,
FLIBOR6,DJI,
FLIBOR6,DMA,
FLIBOR6,DOM,
FLIBOR6,ECU,
FLIBOR6,EGY,
FLIBOR6,SLV,
FLIBOR6,GNQ,
FLIBOR6,ERI,
FLIBOR6,EST,
FLIBOR6,ETH,
FLIBOR6,FJI,
FLIBOR6,FIN,
FLIBOR6,FRA,
FLIBOR6,GAB,
FLIBOR6,GMB,
FLIBOR6,GEO,
FLIBOR6,DEU,
FLIBOR6,GHA,
FLIBOR6,GRC,
FLIBOR6,GRD,
FLIBOR6,GTM,
FLIBOR6,GIN,
FLIBOR6,GNB,
FLIBOR6,GUY,
FLIBOR6,HTI,
FLIBOR6,HND,
FLIBOR6,HKG,
FLIBOR6,HUN,
FLIBOR6,ISL,
FLIBOR6,IND,
FLIBOR6,IDN,
FLIBOR6,IRN,
FLIBOR6,IRQ,
FLIBOR6,IRL,
FLIBOR6,ISR,
FLIBOR6,ITA,
FLIBOR6,JAM,
FLIBOR6,JPN,
FLIBOR6,JOR,
FLIBOR6,KAZ,
FLIBOR6,KEN,
FLIBOR6,KIR,
FLIBOR6,KOR,
FLIBOR6,UVK,
FLIBOR6,KWT,
FLIBOR6,KGZ,
FLIBOR6,LAO,
FLIBOR6,LVA,
FLIBOR6,LBN,
FLIBOR6,LSO,
FLIBOR6,LBR,
FLIBOR6,LBY,
FLIBOR6,LTU,
FLIBOR6,LUX,
FLIBOR6,MKD,
FLIBOR6,MDG,
FLIBOR6,MWI,
FLIBOR6,MYS,
FLIBOR6,MDV,
FLIBOR6,MLI,
FLIBOR6,MLT,
FLIBOR6,MHL,
FLIBOR6,MRT,
FLIBOR6,MUS,
FLIBOR6,MEX,
FLIBOR6,FSM,
FLIBOR6,MDA,
FLIBOR6,MNG,
FLIBOR6,MNE,
FLIBOR6,MAR,
FLIBOR6,MOZ,
FLIBOR6,MMR,
FLIBOR6,NAM,
FLIBOR6,NPL,
FLIBOR6,NLD,
FLIBOR6,NZL,
FLIBOR6,NIC,
FLIBOR6,NER,
FLIBOR6,NGA,
FLIBOR6,NOR,
FLIBOR6,OMN,
FLIBOR6,PAK,
FLIBOR6,PLW,
FLIBOR6,PAN,
FLIBOR6,PNG,
FLIBOR6,PRY,
FLIBOR6,PER,
FLIBOR6,PHL,
FLIBOR6,POL,
FLIBOR6,PRT,
FLIBOR6,QAT,
FLIBOR6,ROU,
FLIBOR6,RUS,
FLIBOR6,RWA,
FLIBOR6,WSM,
FLIBOR6,SMR,
FLIBOR6,STP,
FLIBOR6,SAU,
FLIBOR6,SEN,
FLIBOR6,SRB,
FLIBOR6,SYC,
FLIBOR6,SLE,
FLIBOR6,SGP,
FLIBOR6,SVK,
FLIBOR6,SVN,
FLIBOR6,SLB,
FLIBOR6,ZAF,
FLIBOR6,SSD,
FLIBOR6,ESP,
FLIBOR6,LKA,
FLIBOR6,KNA,
FLIBOR6,LCA,
FLIBOR6,VCT,
FLIBOR6,SDN,
FLIBOR6,SUR,
FLIBOR6,SWZ,
FLIBOR6,SWE,
FLIBOR6,CHE,
FLIBOR6,SYR,
FLIBOR6,TWN,
FLIBOR6,TJK,
FLIBOR6,TZA,
FLIBOR6,THA,
FLIBOR6,TLS,
FLIBOR6,TGO,
FLIBOR6,TON,
FLIBOR6,TTO,
FLIBOR6,TUN,
FLIBOR6,TUR,
FLIBOR6,TKM,
FLIBOR6,TUV,
FLIBOR6,UGA,
FLIBOR6,UKR,
FLIBOR6,ARE,
FLIBOR6,GBR,
FLIBOR6,USA,
FLIBOR6,URY,
FLIBOR6,UZB,
FLIBOR6,VUT,
FLIBOR6,VEN,
FLIBOR6,VNM,
FLIBOR6,YEM,
FLIBOR6,ZMB,
FLIBOR6,ZWE,
