weo_subject_code,geo,country_series_specific_notes
GGR_NGDP,AFG,See notes for:  General government revenue (National currency).
GGR_NGDP,ALB,See notes for:  General government revenue (National currency).
GGR_NGDP,DZA,See notes for:  General government revenue (National currency).
GGR_NGDP,AGO,See notes for:  General government revenue (National currency).
GGR_NGDP,ATG,See notes for:  General government revenue (National currency).
GGR_NGDP,ARG,See notes for:  General government revenue (National currency).
GGR_NGDP,ARM,See notes for:  General government revenue (National currency).
GGR_NGDP,AUS,See notes for:  General government revenue (National currency).
GGR_NGDP,AUT,See notes for:  General government revenue (National currency).
GGR_NGDP,AZE,See notes for:  General government revenue (National currency).
GGR_NGDP,BHS,See notes for:  General government revenue (National currency).
GGR_NGDP,BHR,See notes for:  General government revenue (National currency).
GGR_NGDP,BGD,See notes for:  General government revenue (National currency).
GGR_NGDP,BRB,See notes for:  General government revenue (National currency).
GGR_NGDP,BLR,See notes for:  General government revenue (National currency).
GGR_NGDP,BEL,See notes for:  General government revenue (National currency).
GGR_NGDP,BLZ,See notes for:  General government revenue (National currency).
GGR_NGDP,BEN,See notes for:  General government revenue (National currency).
GGR_NGDP,BTN,See notes for:  General government revenue (National currency).
GGR_NGDP,BOL,See notes for:  General government revenue (National currency).
GGR_NGDP,BIH,See notes for:  General government revenue (National currency).
GGR_NGDP,BWA,See notes for:  General government revenue (National currency).
GGR_NGDP,BRA,See notes for:  General government revenue (National currency).
GGR_NGDP,BRN,See notes for:  General government revenue (National currency).
GGR_NGDP,BGR,See notes for:  General government revenue (National currency).
GGR_NGDP,BFA,See notes for:  General government revenue (National currency).
GGR_NGDP,BDI,See notes for:  General government revenue (National currency).
GGR_NGDP,CPV,See notes for:  General government revenue (National currency).
GGR_NGDP,KHM,See notes for:  General government revenue (National currency).
GGR_NGDP,CMR,See notes for:  General government revenue (National currency).
GGR_NGDP,CAN,See notes for:  General government revenue (National currency).
GGR_NGDP,CAF,See notes for:  General government revenue (National currency).
GGR_NGDP,TCD,See notes for:  General government revenue (National currency).
GGR_NGDP,CHL,See notes for:  General government revenue (National currency).
GGR_NGDP,CHN,See notes for:  General government revenue (National currency).
GGR_NGDP,COL,See notes for:  General government revenue (National currency).
GGR_NGDP,COM,See notes for:  General government revenue (National currency).
GGR_NGDP,COD,See notes for:  General government revenue (National currency).
GGR_NGDP,COG,See notes for:  General government revenue (National currency).
GGR_NGDP,CRI,See notes for:  General government revenue (National currency).
GGR_NGDP,CIV,See notes for:  General government revenue (National currency).
GGR_NGDP,HRV,See notes for:  General government revenue (National currency).
GGR_NGDP,CYP,See notes for:  General government revenue (National currency).
GGR_NGDP,CZE,See notes for:  General government revenue (National currency).
GGR_NGDP,DNK,See notes for:  General government revenue (National currency).
GGR_NGDP,DJI,See notes for:  General government revenue (National currency).
GGR_NGDP,DMA,See notes for:  General government revenue (National currency).
