weo_subject_code,geo,country_series_specific_notes
GGSB,AFG,
GGSB,ALB,
GGSB,DZA,
GGSB,AGO,
GGSB,ATG,
GGSB,ARG,"Source: Ministry of Economy. http://www.mecon.gov.ar/onp/html/ejectexto/cuenta_nac_dosuno.html?var1=cuentanacdosnueve Latest actual data: 2013 Notes: Government gross debt refers to the central government including untendered debt. Fiscal assumptions: The fiscal forecast is based on the projection for GDP growth, exports and imports and the nominal exchange rate. Start/end months of reporting year: January/December GFS Manual used: 1986 Basis of recording: Cash. Central (National) government net lending/borrowing includes interest payments on accrual basis. General government includes: Central Government;State Government;Local Government;Social Security Funds; Valuation of public debt: Nominal value Primary domestic currency: Argentine peso Data last updated: 03/2015"
GGSB,ARM,
GGSB,AUS,"Source: Ministry of Finance. Treasury Department Latest actual data: 2013/14. Final Budget Outcome Notes: Social Benefits series comprises social security and welfare spending for which we do not have comparable data prior to 2004. Fiscal assumptions: Fiscal projections are based on Australian Bureau of Statistics data, the 2014-15 budget documents, and the 2014-15 Mid-Year Economic and Fiscal Outlook Start/end months of reporting year: January/December. July/June by authorities, and Jan/Dec by staff GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Other;. Other includes Territory governments Valuation of public debt: Nominal value Primary domestic currency: Australian dollar Data last updated: 03/2015"
GGSB,AUT,"Source: National Statistical Office Latest actual data: 2013 Fiscal assumptions: Projections take only the tax-related measures for the financing of the recent income tax reform into account (although the yield from the anti-tax fraud measures is highly uncertain). For 2014, the creation of a defeasance structure for Hypo Alpe Adria is assumed to increase the general government debt-to-GDP ratio by 5� percentage points, and the deficit effect arising from Hypo is assumed at 1.8 percentage points. Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Social Security Funds; Valuation of public debt: Face value Primary domestic currency: Euro Data last updated: 03/2015"
GGSB,AZE,
GGSB,BHS,
GGSB,BHR,
GGSB,BGD,
GGSB,BRB,
GGSB,BLR,
GGSB,BEL,"Source: Central Bank Latest actual data: 2013 Fiscal assumptions: Projections reflect the authorities? 2015 budget adjusted for differences in the IMF staff?s macroeconomic framework and assumptions about fiscal developments in the federal, regional, and local governments. Start/end months of reporting year: January/December GFS Manual used: 2001. ESA 2010 data definitions Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Social Security Funds;Other; Valuation of public debt: Face value Primary domestic currency: Euro Data last updated: 03/2015"
GGSB,BLZ,
GGSB,BEN,
GGSB,BTN,
GGSB,BOL,
GGSB,BIH,"Source: Ministry of Finance. Additional data received from the Indirect Tax Authority Latest actual data: 2013 Fiscal assumptions: Budget, macro framework, structural reforms set by program, and WEO. Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Social Security Funds;Other; Valuation of public debt: Face value Primary domestic currency: Convertible marka Data last updated: 03/2015"
GGSB,BWA,Source: Ministry of Finance Latest actual data: 2011/12 Start/end months of reporting year: April/March GFS Manual used: 1986 Basis of recording: Cash General government includes: Central Government; Valuation of public debt: Nominal value Primary domestic currency: Botswana pula Data last updated: 03/2015
GGSB,BRA,"Source: Ministry of Finance Latest actual data: 2014 Notes: General Government (GG) data refers to the non-financial public sector, which includes the federal, state and local governments as well as public enterprises (excluding Petrobras and Eletrobras), and is consolidated with the Sovereign Wealth Fund (SWF). Revenue and expenditures of federal public enterprises are added in full to the respective aggregates. Transfers or withdrawals from the SWF do not impact the primary balance. Disaggregated data on gross interest payments and interest receipts is available from 2003 onwards only. Prior to 2003, Total Revenue of the GG excludes interest receipts, while Total Expenditure of the GG includes net interest payments. Gross public debt includes the treasury bills at the central bank's balance sheet, including those not used under repurchase agreements. Net public debt consolidates GG, as defined above, with the Central Bank. Fiscal assumptions: For 2014, outturn estimates are based on the information available as of February 2015. Projections for 2015 take into account the 2015 budget approved by Congress in March 2015, and recent announcements made by the authorities; any measures still to be identified as of end-March 2015 to meet the annual fiscal target are assumed to be on the expenditure side. In outer years, projections are consistent with the announced primary surplus objectives. Start/end months of reporting year: January/December GFS Manual used: 2001. Total Revenue includes disposal of non financial assets, and Net Acquisition of Nonfinancial Assets does not net out these proceeds. Basis of recording: Cash Valuation of public debt: Nominal value Primary domestic currency: Brazilian real Data last updated: 03/2015"
GGSB,BRN,
GGSB,BGR,Source: Ministry of Finance Latest actual data: 2013 Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Cash General government includes: Central Government;Local Government;Social Security Funds Primary domestic currency: Bulgarian lev Data last updated: 03/2015
GGSB,BFA,
GGSB,BDI,
GGSB,CPV,
GGSB,KHM,
GGSB,CMR,
GGSB,CAN,"Source: Haver Analytics. The source for gross and net debt is OECD. Latest actual data: 2014 Notes: Fiscal data are on a calendar year basis. Fiscal assumptions: Projections use the baseline forecasts in the Economic Action Plan 2014 (the fiscal year 2014/15 budget) and 2014 provincial budgets as available. The IMF staff makes some adjustments to this forecast for differences in macroeconomic projections. The IMF staff forecast also incorporates the most recent data releases from Statistics Canada?s Canadian System of National Economic Accounts, including federal, provincial, and territorial budgetary outturns through the end of the fourth quarter of 2014. Start/end months of reporting year: January/December GFS Manual used: 2001. Comment: Preliminary data: based on quarterly data. Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Social Security Funds; Valuation of public debt: Face value Primary domestic currency: Canadian dollar Data last updated: 03/2015"
GGSB,CAF,
GGSB,TCD,
GGSB,CHL,"Source: Ministry of Finance Latest actual data: 2013 Notes: GGCB and GGSB are approximated by the Central Government Cyclical-Adjusted Balance and Structural Balance, respectively as more than 90% of the expenditures and revenues are from the Central Government. Fiscal assumptions: Projections are based on the authorities? budget projections, adjusted to reflect the IMF staff?s projections for GDP and copper prices. Projections also include the official yield estimate of the tax reform submitted to Congress on April 2014. Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual). Some elements including tax revenues are recorded on a cash basis General government includes: Central Government;Local Government; Valuation of public debt: Face value Primary domestic currency: Chilean peso Data last updated: 03/2015"
GGSB,CHN,"Source: Ministry of Finance. Ministry of Finance (data retrieved from CEIC) and National Audit Office (NAO) (data obtained from NAO audit report) Latest actual data: 2014 Notes: Fiscal Balance: Data differ from official figures released by China?s Ministry of Finance mainly because of a difference in treatment of net contributions to the Budget Stabilization Fund. General Government Debt: Data differ from official figures released by China?s Ministry of Finance because IMF numbers include, from 2010 onward, the stock of local government debt outstanding as reported in the June 2011 National Audit Office Report. For subsequent years, we have followed the amortization schedule outlined in the same report. Fiscal assumptions: The pace of fiscal consolidation is likely to be more gradual, reflecting reforms to strengthen social safety nets and the social security system announced as part of the Third Plenum reform agenda. Start/end months of reporting year: January/December GFS Manual used: 2001. Authorities do not publish in GFS Manual 2001. Data estimated by staff. Basis of recording: Cash General government includes: Central Government;Local Government;. Includes adjustments of stabilization fund, social security fund, and government-managed funds. Valuation of public debt: Face value Primary domestic currency: Chinese yuan Data last updated: 03/2015"
GGSB,COL,"Source: Ministry of Finance Latest actual data: 2013 Notes: Structural balance based on staff estimates; adjusts for the cyclical variation of GDP, oil prices and oil production levels. Start/end months of reporting year: January/December GFS Manual used: 2001. Transitioning toward 2001 manual Basis of recording: Revenue (cash); Expenditure (cash modified) General government includes: Central Government;State Government;Local Government;Social Security Funds;Other; Valuation of public debt: Face value Primary domestic currency: Colombian peso Data last updated: 03/2015"
GGSB,COM,
GGSB,COD,
GGSB,COG,
GGSB,CRI,
GGSB,CIV,
GGSB,HRV,Source: Ministry of Finance Latest actual data: 2014 Fiscal assumptions: Projections based on macro framework and authorities' medium-term fiscal guidelines. Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;Local Government;Other; Valuation of public debt: Nominal value Primary domestic currency: Croatian kuna Data last updated: 03/2015
GGSB,CYP,
GGSB,CZE,Source: Ministry of Finance Latest actual data: 2013 Fiscal assumptions: Projections are based on the authorities? budget forecast for 2013-14 with adjustments for macroeconomic projections of the IMF staff. Projections for 2014 onwards are based on unchanged policies. Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;Local Government;Social Security Funds; Valuation of public debt: Nominal value Primary domestic currency: Czech koruna Data last updated: 03/2015
GGSB,DNK,"Source: National Statistical Office Latest actual data: 2013 Fiscal assumptions: Projections for 2014?15 are aligned with the latest official budget estimates and the underlying economic projections, adjusted where appropriate for the IMF staff?s macroeconomic assumptions. For 2016?20, the projections incorporate key features of the medium-term fiscal plan as embodied in the authorities? 2014 Convergence Program submitted to the EU. Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;Local Government;Social Security Funds; Valuation of public debt: Nominal value. Nominal Value debt valuation is consistent with Eurostat's definition Primary domestic currency: Danish krone Data last updated: 03/2015"
GGSB,DJI,
GGSB,DMA,
GGSB,DOM,Source: Ministry of Finance Latest actual data: 2014 Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Social Security Funds; Valuation of public debt: Face value Primary domestic currency: Dominican peso Data last updated: 03/2015
GGSB,ECU,Source: Source: Central Bank and Ministry of Finance Latest actual data: 2013 Fiscal assumptions: All the fiscal series are based on 1986 methodology. The authorities have adopted a non-standard accounting methodology for budgetary purposes. Staff does not use this methodology. Start/end months of reporting year: January/December GFS Manual used: 1986 Basis of recording: Cash General government includes: Central Government;State Government;Local Government;Social Security Funds;Nonfinancial Public Corporation Primary domestic currency: U.S. dollar Data last updated: 03/2015
GGSB,EGY,"Source: Ministry of Finance Latest actual data: 2013/14. 2013/14 annual for General Government data. January 2015 for Budget Sector data. Fiscal assumptions: The fiscal projections are mainly based on budget sector operations (with trends of main variables discussed with the Ministry of Finance during the April 2012 consultation). Start/end months of reporting year: July/June GFS Manual used: 2001 Basis of recording: Cash General government includes: Central Government;Local Government;Social Security Funds;Other;. Central Government,Local Government,Social Security Funds,Other. General government includes budget sector (central government, local governorates and public service authorities), social insurance fund and national investment bank Valuation of public debt: Nominal value Primary domestic currency: Egyptian pound Data last updated: 03/2015"
GGSB,SLV,
GGSB,GNQ,
GGSB,ERI,
GGSB,EST,
GGSB,ETH,
GGSB,FJI,
