weo_subject_code,geo,country_series_specific_notes
GGXWDG_NGDP,AFG,
GGXWDG_NGDP,ALB,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,DZA,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,AGO,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,ATG,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,ARG,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,ARM,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,AUS,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,AUT,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,AZE,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,BHS,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,BHR,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,BGD,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,BRB,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,BLR,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,BEL,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,BLZ,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,BEN,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,BTN,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,BOL,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,BIH,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,BWA,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,BRA,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,BRN,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,BGR,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,BFA,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,BDI,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,CPV,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,KHM,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,CMR,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,CAN,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,CAF,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,TCD,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,CHL,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,CHN,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,COL,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,COM,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,COD,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,COG,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,CRI,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,CIV,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,HRV,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,CYP,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,CZE,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,DNK,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,DJI,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,DMA,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,DOM,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,ECU,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,EGY,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,SLV,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,GNQ,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,ERI,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,EST,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,ETH,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,FJI,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,FIN,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,FRA,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,GAB,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,GMB,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,GEO,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,DEU,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,GHA,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,GRC,See notes for:  General government gross debt (National currency).
GGXWDG_NGDP,GRD,See notes for:  General government gross debt (National currency).
