weo_subject_code,geo,country_series_specific_notes
GGXWDN,AFG,
GGXWDN,ALB,Source: IMF Staff Latest actual data: 2012 Notes: Authorities are still following GFS 86 Start/end months of reporting year: January/December GFS Manual used: 1986 Basis of recording: Other General government includes: Central Government;Local Government;Social Security Funds; Valuation of public debt: Nominal value Primary domestic currency: Albanian lek Data last updated: 03/2015
GGXWDN,DZA,Source: Central Bank Latest actual data: 2014 Fiscal assumptions: Projections for 2013?18 are based on IMF staff calculations Start/end months of reporting year: January/December GFS Manual used: 1986 Basis of recording: Cash General government includes: Central Government Primary domestic currency: Algerian dinar Data last updated: 03/2015
GGXWDN,AGO,
GGXWDN,ATG,Source: Ministry of Finance Latest actual data: 2013. Preliminary Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Cash Valuation of public debt: Nominal value Primary domestic currency: Eastern Caribbean dollar Data last updated: 03/2015
GGXWDN,ARG,
GGXWDN,ARM,
GGXWDN,AUS,"Source: Ministry of Finance. Treasury Department Latest actual data: 2013/14. Final Budget Outcome Notes: Social Benefits series comprises social security and welfare spending for which we do not have comparable data prior to 2004. Fiscal assumptions: Fiscal projections are based on Australian Bureau of Statistics data, the 2014-15 budget documents, and the 2014-15 Mid-Year Economic and Fiscal Outlook Start/end months of reporting year: January/December. July/June by authorities, and Jan/Dec by staff GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Other;. Other includes Territory governments Valuation of public debt: Nominal value Primary domestic currency: Australian dollar Data last updated: 03/2015"
GGXWDN,AUT,"Source: National Statistical Office Latest actual data: 2013 Fiscal assumptions: Projections take only the tax-related measures for the financing of the recent income tax reform into account (although the yield from the anti-tax fraud measures is highly uncertain). For 2014, the creation of a defeasance structure for Hypo Alpe Adria is assumed to increase the general government debt-to-GDP ratio by 5� percentage points, and the deficit effect arising from Hypo is assumed at 1.8 percentage points. Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Social Security Funds; Valuation of public debt: Face value Primary domestic currency: Euro Data last updated: 03/2015"
GGXWDN,AZE,
GGXWDN,BHS,"Source: Ministry of Finance Latest actual data: 2013/14. FY2012/13 (4th Quarter) Notes: All fiscal and debt series data in WEO are on fiscal year basis. Fiscal assumptions: Broadly elasticity of 1 with nominal growth, except for recent measures adopted by authorities. Start/end months of reporting year: July/June GFS Manual used: 2001 Basis of recording: Cash General government includes: Central Government; Valuation of public debt: Nominal value Primary domestic currency: Bahamian dollar Data last updated: 03/2015"
GGXWDN,BHR,"Source: Ministry of Finance Latest actual data: 2014 Notes: The projections use the 1986 Manual --- all the series are on cash basis only. Fiscal assumptions: The projections are based on the current WEO assumptions (for Bahrain), as well as the country's debt profile and budget. Start/end months of reporting year: January/December GFS Manual used: 1986 Basis of recording: Cash General government includes: Central Government; Valuation of public debt: Face value Primary domestic currency: Bahrain dinar Data last updated: 03/2015"
GGXWDN,BGD,
GGXWDN,BRB,
GGXWDN,BLR,
GGXWDN,BEL,"Source: Central Bank Latest actual data: 2013 Fiscal assumptions: Projections reflect the authorities? 2015 budget adjusted for differences in the IMF staff?s macroeconomic framework and assumptions about fiscal developments in the federal, regional, and local governments. Start/end months of reporting year: January/December GFS Manual used: 2001. ESA 2010 data definitions Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Social Security Funds;Other; Valuation of public debt: Face value Primary domestic currency: Euro Data last updated: 03/2015"
GGXWDN,BLZ,"Source: Ministry of Finance Latest actual data: 2013/14 Notes: Gross �and net debt-to-GDP ratios are calculated dividing debt at end of calendar year �by fiscal year GDP. Fiscal assumptions: Based on WEO assumptions, authorities' input, and staff assessment of necessary measures to attain authorities? announced fiscal targets. Projections already include the results from the restructuring of the ""super-bond"" in 2013 and the potential debt associated with the nationalization of two utilities companies (at mid-point valuation), in 2014. Start/end months of reporting year: April/March GFS Manual used: 1986. Belize does not follow GFSM2001 convention due to limited capacity to implement it. Basis of recording: Authorities report debt service on accrual basis, but other expenditures on a cash basis. General government includes: Central Government;Monetary Public Corporations, incl. central bank; Valuation of public debt: Nominal value Primary domestic currency: Belize dollar Data last updated: 03/2015"
GGXWDN,BEN,
GGXWDN,BTN,
