weo_subject_code,geo,country_series_specific_notes
LE,AFG,
LE,ALB,
LE,DZA,
LE,AGO,
LE,ATG,
LE,ARG,
LE,ARM,
LE,AUS,Source: National Statistical Office. Australian Bureau of Statistics (via Time Series Plus & dXdata) Latest actual data: 2013 Employment type: National definition. Data refer to calendar years Primary domestic currency: Australian dollar Data last updated: 03/2015
LE,AUT,Source: National Statistical Office Latest actual data: 2014 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 03/2015
LE,AZE,
LE,BHS,
LE,BHR,
LE,BGD,
LE,BRB,
LE,BLR,
LE,BEL,Source: Central Bank Latest actual data: 2014 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 03/2015
LE,BLZ,
LE,BEN,
LE,BTN,
LE,BOL,
LE,BIH,
LE,BWA,
LE,BRA,
LE,BRN,
LE,BGR,
LE,BFA,
LE,BDI,
LE,CPV,
LE,KHM,
LE,CMR,
LE,CAN,Source: National Statistical Office Latest actual data: 2014 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 03/2015
LE,CAF,
LE,TCD,
LE,CHL,
LE,CHN,
LE,COL,
LE,COM,
LE,COD,
LE,COG,
LE,CRI,
LE,CIV,
LE,HRV,
LE,CYP,"Source: Eurostat, Labor force survey. Latest actual data: 2014 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 03/2015"
LE,CZE,Source: Haver Analytics Latest actual data: 2013 Employment type: Harmonized ILO definition Primary domestic currency: Czech koruna Data last updated: 03/2015
LE,DNK,Source: Eurostat Latest actual data: 2014 Employment type: National definition Primary domestic currency: Danish krone Data last updated: 03/2015
LE,DJI,
LE,DMA,
LE,DOM,
LE,ECU,
LE,EGY,
LE,SLV,
LE,GNQ,
LE,ERI,
LE,EST,Source: National Statistical Office Latest actual data: 2013 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 03/2015
LE,ETH,
LE,FJI,
LE,FIN,Source: National Statistical Office. Downloaded through Haver Analytics Latest actual data: 2013 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 03/2015
LE,FRA,Source: National Statistical Office Latest actual data: 2014 Employment type: Harmonized ILO definition. Data prior to 1983 are not harmonized. Primary domestic currency: Euro Data last updated: 03/2015
LE,GAB,
LE,GMB,
LE,GEO,
LE,DEU,Source: National Statistical Office Latest actual data: 2013 Notes: Data until 1990 refers to German federation only (West Germany). Data from 1991 refer to United Germany. Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 03/2015
LE,GHA,
LE,GRC,"Source: Haver Analytics. Formally, the National Statistical Office (ELSTAT) Latest actual data: 2014. For quarterly data, latest actual is 2014Q4. Notes: Quarterly data for unit labor costs in manufacturing cannot be verified prior to 2000. This partly explains the structural break in the time series in the year 2000. Employment type: National definition Primary domestic currency: Euro Data last updated: 03/2015"
LE,GRD,
LE,GTM,
LE,GIN,
LE,GNB,
LE,GUY,
LE,HTI,
LE,HND,
LE,HKG,Source: CEIC Latest actual data: 2014 Employment type: National definition Primary domestic currency: Hong Kong dollar Data last updated: 03/2015
LE,HUN,
LE,ISL,"Source: Labor Directorate Latest actual data: 2013 Notes: LHEM series is from the OECD, hourly earnings in the manufacturing sector Employment type: Other Primary domestic currency: Icelandic kr�na Data last updated: 03/2015"
LE,IND,
LE,IDN,
LE,IRN,
LE,IRQ,
LE,IRL,"Source: National Statistical Office. Central Statistical Office of Ireland (CSO), data is from the Quarterly National Household Survey (QNHS) and is the average of the quarterly observations. Latest actual data: 2014 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 03/2015"
LE,ISR,Source: Haver Analytics Latest actual data: 2014 Employment type: National definition. Seasonally adjusted. Primary domestic currency: Israeli shekel Data last updated: 03/2015
LE,ITA,Source: National Statistical Office Latest actual data: 2014 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 03/2015
LE,JAM,
LE,JPN,Source: Cabinet Office of Japan via Haver database. Latest actual data: 2014 Employment type: National definition Primary domestic currency: Japanese yen Data last updated: 03/2015
LE,JOR,
LE,KAZ,
LE,KEN,
LE,KIR,
LE,KOR,Source: National Statistical Office Latest actual data: 2014 Employment type: National definition Primary domestic currency: Korean won Data last updated: 03/2015
LE,UVK,
LE,KWT,
LE,KGZ,
LE,LAO,
LE,LVA,"Source: National Statistical Office Latest actual data: 2013 Notes: Labor statistics are based on Labor Force Survey data, which were revised in 2011 in compliance with Population and Housing Census 2011 results; data before 2011 have not been revised yet. Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 03/2015"
LE,LBN,
LE,LSO,
LE,LBR,
LE,LBY,
LE,LTU,
LE,LUX,Source: National Statistical Office Latest actual data: 2013 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 03/2015
LE,MKD,
LE,MDG,
LE,MWI,
LE,MYS,
LE,MDV,
LE,MLI,
LE,MLT,"Source: Eurostat, Labor Force Survey Latest actual data: 2013 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 03/2015"
LE,MHL,
LE,MRT,
LE,MUS,
LE,MEX,
LE,FSM,
LE,MDA,
LE,MNG,
LE,MNE,
LE,MAR,
LE,MOZ,
LE,MMR,
LE,NAM,
LE,NPL,
LE,NLD,Source: National Statistical Office Latest actual data: 2014 Employment type: Harmonized OECD definition Primary domestic currency: Euro Data last updated: 03/2015
LE,NZL,Source: Statistics New Zealand Latest actual data: 2014 Employment type: National definition. Data refer to calendar years Primary domestic currency: New Zealand dollar Data last updated: 03/2015
LE,NIC,
LE,NER,
LE,NGA,
LE,NOR,Source: National Statistical Office Latest actual data: 2014 Employment type: National definition Primary domestic currency: Norwegian krone Data last updated: 03/2015
LE,OMN,
LE,PAK,
LE,PLW,
LE,PAN,
LE,PNG,
LE,PRY,
LE,PER,
LE,PHL,
LE,POL,
LE,PRT,Source: National Statistical Office Latest actual data: 2014 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 03/2015
LE,QAT,
LE,ROU,
LE,RUS,
LE,RWA,
LE,WSM,
LE,SMR,
LE,STP,
LE,SAU,
LE,SEN,
LE,SRB,
LE,SYC,
LE,SLE,
LE,SGP,Source: National Statistical Office Latest actual data: 2014 Employment type: National definition. Prior to 1986 unemployment data excludes non-residents. Primary domestic currency: Singapore dollar Data last updated: 03/2015
LE,SVK,Source: Haver Analytics. National Statistical Office Latest actual data: 2014 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 03/2015
LE,SVN,Source: National Statistical Office Latest actual data: 2014 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 03/2015
LE,SLB,
LE,ZAF,
LE,SSD,
LE,ESP,Source: National Statistical Office Latest actual data: 2014 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 03/2015
LE,LKA,
LE,KNA,
LE,LCA,
LE,VCT,
LE,SDN,
LE,SUR,
LE,SWZ,
LE,SWE,Source: Organisation for Economic Co-operation and Development (OECD) - Economic Outlook Database Latest actual data: 2014 Employment type: National definition Primary domestic currency: Swedish krona Data last updated: 03/2015
LE,CHE,Source: IMF Staff Latest actual data: 2014 Employment type: National definition Primary domestic currency: Swiss franc Data last updated: 03/2015
LE,SYR,
LE,TWN,"Source: CEIC Latest actual data: 2014 Employment type: National definition. Labor Force It is defined as those civilians who, during the reference week, are 15 years of age or over and who are available to work, including both the employed and the unemployed. Employed Population Including all persons who, during the reference week, work for pay or work for 15 hours or more as unpaid family workers.  Unemployed Population Including all the persons who, during the reference week, are 15 years of age or over and under the following conditions: - No job - Available to work - Seeking for a job, or had sought work waiting for result.  Besides, the unemployed population also includes the persons who are waiting to recall or start a new job but not working and paid yet Primary domestic currency: New Taiwan dollar Data last updated: 03/2015"
LE,TJK,
LE,TZA,
LE,THA,
LE,TLS,
LE,TGO,
LE,TON,
LE,TTO,
LE,TUN,
LE,TUR,
LE,TKM,
LE,TUV,
LE,UGA,
LE,UKR,
LE,ARE,
LE,GBR,Source: National Statistical Office Latest actual data: 2014 Employment type: Harmonized ILO definition Primary domestic currency: Pound sterling Data last updated: 03/2015
