weo_subject_code,geo,country_series_specific_notes
LP,AFG,Source: Source: The 2012 revision to the UN World Population Prospects. Latest actual data: 2013 Primary domestic currency: Afghan Afghani Data last updated: 03/2015
LP,ALB,Source: National Statistical Office. INSTAT Latest actual data: 2010 Primary domestic currency: Albanian lek Data last updated: 03/2015
LP,DZA,Source: National Statistical Office Latest actual data: 2013 Primary domestic currency: Algerian dinar Data last updated: 03/2015
LP,AGO,Source: National Statistical Office Latest actual data: 2014 Primary domestic currency: Angolan kwanza Data last updated: 03/2015
LP,ATG,"Source: World Bank. Growth rates from WDI database, but values based on 2011 census Latest actual data: 2011 Primary domestic currency: Eastern Caribbean dollar Data last updated: 03/2015"
LP,ARG,Source: National Statistical Office Latest actual data: 2010 Notes: Based on the National Census of 2001 Primary domestic currency: Argentine peso Data last updated: 03/2015
LP,ARM,Source: National Statistical Office Latest actual data: 2011 Primary domestic currency: Armenian dram Data last updated: 03/2015
LP,AUS,Source: National Statistical Office. Australian Bureau of Statistics (via Time Series Plus & dXdata) Latest actual data: 2013 Primary domestic currency: Australian dollar Data last updated: 03/2015
LP,AUT,Source: National Statistical Office Latest actual data: 2014 Primary domestic currency: Euro Data last updated: 03/2015
LP,AZE,Source: National Statistical Office Latest actual data: 2011 Notes: Data prior to 2005 cannot be confirmed at this time. Primary domestic currency: Azerbaijan manat Data last updated: 03/2015
LP,BHS,Source: National Statistical Office Latest actual data: 2013 Primary domestic currency: Bahamian dollar Data last updated: 03/2015
LP,BHR,"Source: National Statistical Office. For data prior to 1990, the source is IFS - International Financial Statistics Latest actual data: 2013. The latest census were 2010 and 2001. Primary domestic currency: Bahrain dinar Data last updated: 03/2015"
LP,BGD,Source: IFS - International Finance Statistics Latest actual data: 2013 Primary domestic currency: Bangladesh taka Data last updated: 03/2015
LP,BRB,Source: National Statistical Office Latest actual data: 2010 Primary domestic currency: Barbados dollar Data last updated: 03/2015
LP,BLR,"Source: National Statistical Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2013 Primary domestic currency: Belarusian rubel Data last updated: 03/2015"
LP,BEL,Source: Central Bank Latest actual data: 2014 Primary domestic currency: Euro Data last updated: 03/2015
LP,BLZ,Source: National Statistical Office Latest actual data: 2013 Primary domestic currency: Belize dollar Data last updated: 03/2015
LP,BEN,Source: World Bank Latest actual data: 2011 Primary domestic currency: CFA franc Data last updated: 02/2015
LP,BTN,Source: World Bank. World Development Indicators Latest actual data: 2011 Primary domestic currency: Bhutanese ngultrum Data last updated: 02/2015
LP,BOL,Source: National Statistical Office Latest actual data: 2011 Primary domestic currency: Bolivian boliviano Data last updated: 03/2015
LP,BIH,Source: Central Bank and LABORSTA Labour Statistics Database of the INTERNATIONAL LABOUR ORGANIZATION Geneva Latest actual data: 2012 Notes: No census has been taken since the 1990-s (pre-war); data estimated by national authority. Primary domestic currency: Convertible marka Data last updated: 03/2015
LP,BWA,Source: World Bank. World Development Indicators Latest actual data: 2008 Primary domestic currency: Botswana pula Data last updated: 03/2015
LP,BRA,Source: National Statistical Office Latest actual data: 2014. Official population estimates and forecasts from the National Statistical Office (IBGE) for later years Primary domestic currency: Brazilian real Data last updated: 03/2015
LP,BRN,"Source: National Statistical Office. Department of Economic Planning and Development, Prime Minister's office. Latest actual data: 2013 Primary domestic currency: Brunei dollar Data last updated: 03/2015"
LP,BGR,Source: National Statistical Office Latest actual data: 2013 Primary domestic currency: Bulgarian lev Data last updated: 03/2015
LP,BFA,Source: IFS - International Finance Statistics Latest actual data: 2011 Primary domestic currency: CFA franc Data last updated: 03/2015
LP,BDI,Source: National Statistical Office Latest actual data: IMF staff estimates Primary domestic currency: Burundi franc Data last updated: 03/2015
