weo_subject_code,geo,country_series_specific_notes
NGDP_RPCH,AFG,"See notes for:  Gross domestic product, constant prices (National currency)."
NGDP_RPCH,ALB,"See notes for:  Gross domestic product, constant prices (National currency)."
NGDP_RPCH,DZA,"See notes for:  Gross domestic product, constant prices (National currency)."
NGDP_RPCH,AGO,"See notes for:  Gross domestic product, constant prices (National currency)."
NGDP_RPCH,ATG,"See notes for:  Gross domestic product, constant prices (National currency)."
NGDP_RPCH,ARG,"See notes for:  Gross domestic product, constant prices (National currency)."
NGDP_RPCH,ARM,"See notes for:  Gross domestic product, constant prices (National currency)."
NGDP_RPCH,AUS,"See notes for:  Gross domestic product, constant prices (National currency)."
NGDP_RPCH,AUT,"See notes for:  Gross domestic product, constant prices (National currency)."
NGDP_RPCH,AZE,"See notes for:  Gross domestic product, constant prices (National currency)."
NGDP_RPCH,BHS,"See notes for:  Gross domestic product, constant prices (National currency)."
NGDP_RPCH,BHR,"See notes for:  Gross domestic product, constant prices (National currency)."
NGDP_RPCH,BGD,"See notes for:  Gross domestic product, constant prices (National currency)."
NGDP_RPCH,BRB,"See notes for:  Gross domestic product, constant prices (National currency)."
NGDP_RPCH,BLR,"See notes for:  Gross domestic product, constant prices (National currency)."
NGDP_RPCH,BEL,"See notes for:  Gross domestic product, constant prices (National currency)."
NGDP_RPCH,BLZ,"See notes for:  Gross domestic product, constant prices (National currency)."
NGDP_RPCH,BEN,"See notes for:  Gross domestic product, constant prices (National currency)."
NGDP_RPCH,BTN,"See notes for:  Gross domestic product, constant prices (National currency)."
NGDP_RPCH,BOL,"See notes for:  Gross domestic product, constant prices (National currency)."
NGDP_RPCH,BIH,"See notes for:  Gross domestic product, constant prices (National currency)."
NGDP_RPCH,BWA,"See notes for:  Gross domestic product, constant prices (National currency)."
NGDP_RPCH,BRA,"See notes for:  Gross domestic product, constant prices (National currency)."
NGDP_RPCH,BRN,"See notes for:  Gross domestic product, constant prices (National currency)."
