weo_subject_code,geo,country_series_specific_notes
PCPI,AFG,Source: National Statistical Office Latest actual data: 2014 Harmonized prices: No Frequency of source data: Monthly Base year: 2011. The base is March 2011=100 Primary domestic currency: Afghan Afghani Data last updated: 03/2015
PCPI,ALB,Source: National Statistical Office Latest actual data: 2013 Notes: CPI basket was expanded on December 2001 and again in 2007 Harmonized prices: No Frequency of source data: Monthly Base year: 2007. Dec 2007 = 100 Primary domestic currency: Albanian lek Data last updated: 03/2015
PCPI,DZA,Source: National Statistical Office Latest actual data: 2014 Harmonized prices: No Frequency of source data: Monthly Base year: 2001 Primary domestic currency: Algerian dinar Data last updated: 03/2015
PCPI,AGO,Source: Central Bank. National Bank of Angola Latest actual data: 2014 Harmonized prices: No Frequency of source data: Monthly Base year: 2010 Primary domestic currency: Angolan kwanza Data last updated: 03/2015
PCPI,ATG,Source: National Statistical Office Latest actual data: 2014 Harmonized prices: No Frequency of source data: Monthly Base year: 2001. CPI Index = 100 in January 2001. Primary domestic currency: Eastern Caribbean dollar Data last updated: 03/2015
PCPI,ARG,"Source: National Statistical Office Latest actual data: 2013 Notes: Consumer price data from December 2013 onwards reflect the new national CPI (IPCNu), which differs substantively from the preceding CPI (the CPI for the Greater Buenos Aires Area, CPI-GBA). Because of the differences in geographical coverage, weights, sampling, and methodology, the IPCNu data cannot be directly compared to the earlier CPI-GBA data. Because of this structural break in the data, the average CPI inflation for 2014 is not reported in the April 2015 World Economic Outlook. Following a declaration of censure by the IMF on February 1, 2013, the public release of a new national CPI by end-March 2014 was one of the specified actions in the IMF Executive Board?s December 2013 decision calling on Argentina to address the quality of its official CPI data. On December 15, 2014, the Executive Board recognized the implementation of the specified actions it had called for by end-September 2014 and the steps taken by the Argentine authorities to remedy the inaccurate provision of data. The Executive Board will review this issue again as per the calendar specified in December 2013 and in line with the procedures set forth in the Fund?s legal framework. Harmonized prices: No Frequency of source data: Monthly Base year: 2008. For end of period CPI, the base period is April, 2008. The base period for the average series from IPCNu is October 2013 to September 2014. Primary domestic currency: Argentine peso Data last updated: 03/2015"
PCPI,ARM,Source: National Statistical Office Latest actual data: 2014 Harmonized prices: No Frequency of source data: Monthly Base year: 1995 Primary domestic currency: Armenian dram Data last updated: 03/2015
PCPI,AUS,Source: National Statistical Office. Australian Bureau of Statistics (via Time Series Plus & dXdata) Latest actual data: 2013 Harmonized prices: No. Data refer to calendar years Frequency of source data: Quarterly Base year: 2011/12 Primary domestic currency: Australian dollar Data last updated: 03/2015
PCPI,AUT,Source: National Statistical Office Latest actual data: 2014 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2005 Primary domestic currency: Euro Data last updated: 03/2015
PCPI,AZE,Source: National Statistical Office Latest actual data: 2013 Harmonized prices: No Frequency of source data: Monthly Base year: 1995 Primary domestic currency: Azerbaijan manat Data last updated: 03/2015
PCPI,BHS,Source: National Statistical Office Latest actual data: 2013 Harmonized prices: Yes. Retail Price Index Frequency of source data: Monthly Base year: 2010. Base year is February 2010. Primary domestic currency: Bahamian dollar Data last updated: 03/2015
PCPI,BHR,"Source: National Statistical Office Latest actual data: 2014 Harmonized prices: No Frequency of source data: Monthly. The current CPI basket contains more than 450 individual goods and services which are organized according to  Classification of Individual Consumption by Purpose (COICOP)-Standard EU classification of consumer spending. Base year: 2006. The information was collected from the Household Expenditure and Income Surveys (HEIS) for 2006. In that year, about 2,200 Bahraini households and 1,064 non-Bahraini households from around the country were statistically selected to provide information on their spending habits in the diary survey. Primary domestic currency: Bahrain dinar Data last updated: 03/2015"
PCPI,BGD,Source: Bangladesh Bureau of Statistics Latest actual data: 2014 Harmonized prices: No Frequency of source data: Monthly Base year: 2005 Primary domestic currency: Bangladesh taka Data last updated: 03/2015
PCPI,BRB,Source: Central Bank Latest actual data: 2014 Harmonized prices: No Frequency of source data: Monthly Base year: 2000 Primary domestic currency: Barbados dollar Data last updated: 03/2015
