weo_subject_code,geo,country_series_specific_notes
PCPIEPCH,AFG,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,ALB,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,DZA,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,AGO,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,ATG,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,ARG,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,ARM,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,AUS,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,AUT,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,AZE,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,BHS,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,BHR,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,BGD,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,BRB,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,BLR,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,BEL,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,BLZ,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,BEN,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,BTN,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,BOL,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,BIH,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,BWA,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,BRA,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,BRN,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,BGR,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,BFA,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,BDI,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,CPV,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,KHM,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,CMR,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,CAN,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,CAF,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,TCD,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,CHL,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,CHN,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,COL,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,COM,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,COD,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,COG,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,CRI,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,CIV,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,HRV,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,CYP,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,CZE,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,DNK,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,DJI,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,DMA,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,DOM,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,ECU,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,EGY,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,SLV,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,GNQ,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,ERI,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,EST,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,ETH,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,FJI,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,FIN,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,FRA,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,GAB,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,GMB,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,GEO,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,DEU,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,GHA,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,GRC,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,GRD,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,GTM,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,GIN,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,GNB,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,GUY,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,HTI,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,HND,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,HKG,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,HUN,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,ISL,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,IND,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,IDN,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,IRN,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,IRQ,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,IRL,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,ISR,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,ITA,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,JAM,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,JPN,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,JOR,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,KAZ,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,KEN,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,KIR,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,KOR,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,UVK,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,KWT,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,KGZ,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,LAO,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,LVA,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,LBN,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,LSO,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,LBR,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,LBY,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,LTU,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,LUX,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,MKD,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,MDG,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,MWI,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,MYS,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,MDV,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,MLI,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,MLT,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,MHL,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,MRT,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,MUS,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,MEX,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,FSM,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,MDA,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,MNG,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,MNE,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,MAR,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,MOZ,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,MMR,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,NAM,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,NPL,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,NLD,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,NZL,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,NIC,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,NER,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,NGA,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,NOR,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,OMN,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,PAK,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,PLW,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,PAN,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,PNG,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,PRY,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,PER,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,PHL,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,POL,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,PRT,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,QAT,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,ROU,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,RUS,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,RWA,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,WSM,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,SMR,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,STP,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,SAU,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,SEN,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,SRB,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,SYC,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,SLE,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,SGP,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,SVK,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,SVN,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,SLB,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,ZAF,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,SSD,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,ESP,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,LKA,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,KNA,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,LCA,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,VCT,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,SDN,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,SUR,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,SWZ,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,SWE,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,CHE,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,SYR,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,TWN,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,TJK,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,TZA,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,THA,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,TLS,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,TGO,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,TON,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,TTO,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,TUN,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,TUR,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,TKM,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,TUV,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,UGA,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,UKR,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,ARE,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,GBR,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,USA,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,URY,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,UZB,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,VUT,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,VEN,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,VNM,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,YEM,"See notes for:  Inflation, end of period consumer prices (Index)."
PCPIEPCH,ZMB,"See notes for:  Inflation, end of period consumer prices (Index)."
