weo_subject_code,geo,country_series_specific_notes
PCPIPCH,AFG,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,ALB,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,DZA,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,AGO,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,ATG,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,ARG,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,ARM,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,AUS,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,AUT,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,AZE,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,BHS,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,BHR,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,BGD,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,BRB,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,BLR,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,BEL,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,BLZ,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,BEN,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,BTN,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,BOL,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,BIH,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,BWA,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,BRA,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,BRN,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,BGR,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,BFA,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,BDI,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,CPV,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,KHM,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,CMR,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,CAN,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,CAF,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,TCD,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,CHL,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,CHN,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,COL,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,COM,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,COD,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,COG,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,CRI,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,CIV,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,HRV,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,CYP,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,CZE,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,DNK,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,DJI,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,DMA,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,DOM,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,ECU,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,EGY,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,SLV,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,GNQ,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,ERI,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,EST,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,ETH,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,FJI,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,FIN,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,FRA,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,GAB,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,GMB,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,GEO,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,DEU,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,GHA,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,GRC,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,GRD,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,GTM,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,GIN,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,GNB,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,GUY,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,HTI,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,HND,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,HKG,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,HUN,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,ISL,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,IND,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,IDN,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,IRN,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,IRQ,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,IRL,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,ISR,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,ITA,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,JAM,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,JPN,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,JOR,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,KAZ,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,KEN,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,KIR,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,KOR,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,UVK,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,KWT,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,KGZ,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,LAO,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,LVA,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,LBN,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,LSO,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,LBR,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,LBY,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,LTU,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,LUX,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,MKD,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,MDG,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,MWI,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,MYS,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,MDV,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,MLI,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,MLT,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,MHL,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,MRT,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,MUS,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,MEX,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,FSM,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,MDA,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,MNG,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,MNE,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,MAR,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,MOZ,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,MMR,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,NAM,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,NPL,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,NLD,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,NZL,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,NIC,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,NER,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,NGA,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,NOR,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,OMN,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,PAK,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,PLW,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,PAN,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,PNG,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,PRY,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,PER,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,PHL,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,POL,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,PRT,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,QAT,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,ROU,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,RUS,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,RWA,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,WSM,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,SMR,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,STP,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,SAU,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,SEN,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,SRB,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,SYC,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,SLE,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,SGP,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,SVK,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,SVN,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,SLB,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,ZAF,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,SSD,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,ESP,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,LKA,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,KNA,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,LCA,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,VCT,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,SDN,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,SUR,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,SWZ,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,SWE,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,CHE,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,SYR,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,TWN,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,TJK,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,TZA,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,THA,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,TLS,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,TGO,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,TON,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,TTO,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,TUN,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,TUR,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,TKM,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,TUV,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,UGA,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,UKR,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,ARE,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,GBR,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,USA,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,URY,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,UZB,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,VUT,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,VEN,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,VNM,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,YEM,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,ZMB,"See notes for:  Inflation, average consumer prices (Index)."
PCPIPCH,ZWE,"See notes for:  Inflation, average consumer prices (Index)."
