weo_subject_code,geo,country_series_specific_notes
PPPEX,AFG,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,ALB,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,DZA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,AGO,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,ATG,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,ARG,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,ARM,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,AUS,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,AUT,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,AZE,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,BHS,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,BHR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,BGD,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,BRB,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,BLR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,BEL,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,BLZ,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,BEN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,BTN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,BOL,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,BIH,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,BWA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,BRA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,BRN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,BGR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,BFA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,BDI,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,CPV,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,KHM,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,CMR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,CAN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,CAF,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,TCD,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,CHL,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,CHN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,COL,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,COM,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,COD,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,COG,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,CRI,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,CIV,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,HRV,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,CYP,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,CZE,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,DNK,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,DJI,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,DMA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,DOM,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,ECU,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,EGY,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,SLV,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,GNQ,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,ERI,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,EST,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,ETH,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,FJI,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,FIN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,FRA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,GAB,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,GMB,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,GEO,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,DEU,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,GHA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,GRC,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,GRD,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,GTM,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,GIN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,GNB,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,GUY,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,HTI,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,HND,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,HKG,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,HUN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,ISL,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,IND,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,IDN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,IRN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,IRQ,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,IRL,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,ISR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,ITA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,JAM,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,JPN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,JOR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,KAZ,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,KEN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,KIR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,KOR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,UVK,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,KWT,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,KGZ,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,LAO,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,LVA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,LBN,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,LSO,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,LBR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,LBY,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,LTU,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,LUX,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,MKD,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,MDG,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,MWI,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,MYS,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,MDV,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,MLI,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,MLT,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,MHL,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,MRT,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,MUS,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,MEX,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,FSM,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,MDA,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,MNG,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,MNE,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,MAR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,MOZ,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,MMR,"See notes for:  Gross domestic product, current prices (National currency)."
PPPEX,NAM,"See notes for:  Gross domestic product, current prices (National currency)."
