weo_subject_code,geo,country_series_specific_notes
PPPPC,AFG,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,ALB,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,DZA,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,AGO,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,ATG,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,ARG,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,ARM,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,AUS,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,AUT,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,AZE,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,BHS,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,BHR,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,BGD,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,BRB,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,BLR,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,BEL,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,BLZ,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,BEN,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,BTN,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,BOL,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,BIH,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,BWA,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,BRA,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,BRN,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,BGR,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,BFA,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,BDI,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,CPV,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,KHM,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,CMR,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,CAN,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,CAF,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,TCD,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,CHL,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,CHN,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,COL,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,COM,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,COD,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,COG,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,CRI,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,CIV,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,HRV,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,CYP,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,CZE,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,DNK,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,DJI,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,DMA,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,DOM,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,ECU,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,EGY,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,SLV,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,GNQ,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,ERI,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,EST,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,ETH,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,FJI,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,FIN,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,FRA,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,GAB,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,GMB,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,GEO,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,DEU,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,GHA,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,GRC,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,GRD,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,GTM,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,GIN,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,GNB,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,GUY,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,HTI,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,HND,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,HKG,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,HUN,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,ISL,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,IND,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,IDN,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,IRN,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,IRQ,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,IRL,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,ISR,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,ITA,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,JAM,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,JPN,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,JOR,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,KAZ,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,KEN,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,KIR,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,KOR,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,UVK,
PPPPC,KWT,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,KGZ,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,LAO,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,LVA,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,LBN,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,LSO,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,LBR,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,LBY,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,LTU,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,LUX,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,MKD,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,MDG,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,MWI,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,MYS,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,MDV,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,MLI,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,MLT,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,MHL,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,MRT,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,MUS,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,MEX,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
PPPPC,FSM,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
