file,value_concept,geo,time
ddf--weo--subject.csv,weo_subject_descriptor,,
ddf-weo--NGDP_RPCH--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--NGDP_R--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--GGXWDG--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--LP--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--TM_RPCH--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--GGX--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--TX_RPCH--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--BCA--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--PCPI--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--NGSD_NGDP--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--NGAP_NPGDP--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--PCPIEPCH--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--NGDP--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--PPPSH--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--GGXWDN--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--GGR--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--GGXONLB_NGDP--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--PCPIPCH--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--BCA_NGDPD--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--NGDP_D--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--LUR--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--NGDPDPC--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--NGDP_FY--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--NGDPPC--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--PPPPC--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--PPPEX--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--GGSB_NPGDP--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
ddf-weo--FLIBOR6--country--series--specific--notes.csv,weo_subject_descriptor_country_series_specific_notes,country,
