weo_subject_code,geo,estimates_start_after
BCA,AFG,2013
BCA,ALB,2012
BCA,DZA,2014
BCA,AGO,2013
BCA,ATG,2013
BCA,ARG,2013
BCA,ARM,2013
BCA,AUS,2013
BCA,AUT,2013
BCA,AZE,2012
BCA,BHS,2013
BCA,BHR,2014
BCA,BGD,2013
BCA,BRB,2013
BCA,BLR,2013
BCA,BEL,2014
BCA,BLZ,2013
BCA,BEN,2012
BCA,BTN,2012
BCA,BOL,2013
BCA,BIH,2013
BCA,BWA,2012
BCA,BRA,2014
BCA,BRN,2013
BCA,BGR,2013
BCA,BFA,2012
BCA,BDI,2012
BCA,CPV,2013
BCA,KHM,2013
BCA,CMR,2013
BCA,CAN,2014
BCA,CAF,2013
BCA,TCD,2012
BCA,CHL,2013
BCA,CHN,2014
BCA,COL,2013
BCA,COM,2013
BCA,COD,2013
BCA,COG,2007
BCA,CRI,2013
BCA,CIV,2012
BCA,HRV,2013
BCA,CYP,2014
BCA,CZE,2013
BCA,DNK,2014
BCA,DJI,2014
BCA,DMA,2013
BCA,DOM,2013
BCA,ECU,2013
BCA,EGY,2014
BCA,SLV,2013
BCA,GNQ,2013
BCA,ERI,2008
BCA,EST,2013
BCA,ETH,2014
BCA,FJI,2013
BCA,FIN,2013
BCA,FRA,2014
BCA,GAB,2006
BCA,GMB,2012
BCA,GEO,2013
BCA,DEU,2013
BCA,GHA,2012
BCA,GRC,2014
BCA,GRD,2013
BCA,GTM,2013
BCA,GIN,2013
BCA,GNB,2011
BCA,GUY,2012
BCA,HTI,2013
BCA,HND,2013
BCA,HKG,2013
BCA,HUN,2013
BCA,ISL,2013
BCA,IND,2014
BCA,IDN,2014
BCA,IRN,2013
BCA,IRQ,2012
BCA,IRL,2014
BCA,ISR,2014
BCA,ITA,2013
BCA,JAM,2013
BCA,JPN,2014
BCA,JOR,2013
BCA,KAZ,2013
BCA,KEN,2013
BCA,KIR,2012
BCA,KOR,2014
BCA,UVK,2013
BCA,KWT,2013
BCA,KGZ,2014
BCA,LAO,2013
BCA,LVA,2013
BCA,LBN,2012
BCA,LSO,2012
BCA,LBR,2013
BCA,LBY,2014
BCA,LTU,2013
BCA,LUX,2013
BCA,MKD,2014
BCA,MDG,2014
BCA,MWI,2013
BCA,MYS,2014
BCA,MDV,2013
BCA,MLI,2011
BCA,MLT,2013
BCA,MHL,2013
BCA,MRT,2013
BCA,MUS,2013
BCA,MEX,2014
BCA,FSM,2013
BCA,MDA,2013
BCA,MNG,2013
BCA,MNE,2014
BCA,MAR,2013
BCA,MOZ,2013
BCA,MMR,2013
BCA,NAM,2013
BCA,NPL,2014
BCA,NLD,2014
BCA,NZL,2013
BCA,NIC,2013
BCA,NER,2012
BCA,NGA,2013
BCA,NOR,2014
BCA,OMN,2013
BCA,PAK,2014
BCA,PLW,2013
BCA,PAN,2014
BCA,PNG,2013
BCA,PRY,2013
BCA,PER,2014
BCA,PHL,2014
BCA,POL,2013
BCA,PRT,2014
BCA,QAT,2013
BCA,ROU,2013
BCA,RUS,2014
BCA,RWA,2014
BCA,WSM,2013
BCA,SMR,
BCA,STP,2014
BCA,SAU,2013
BCA,SEN,2011
BCA,SRB,2014
BCA,SYC,2013
BCA,SLE,2013
BCA,SGP,2014
BCA,SVK,2013
BCA,SVN,2014
BCA,SLB,2013
BCA,ZAF,2013
BCA,SSD,2014
BCA,ESP,2013
BCA,LKA,2012
BCA,KNA,2013
BCA,LCA,2013
BCA,VCT,2013
BCA,SDN,2013
BCA,SUR,2013
BCA,SWZ,2013
BCA,SWE,2014
BCA,CHE,2013
BCA,SYR,2009
BCA,TWN,2014
BCA,TJK,2013
BCA,TZA,2011
BCA,THA,2014
BCA,TLS,2013
BCA,TGO,2012
BCA,TON,2012
BCA,TTO,2012
BCA,TUN,2014
BCA,TUR,2014
BCA,TKM,2012
BCA,TUV,2012
BCA,UGA,2013
BCA,UKR,2013
BCA,ARE,2013
BCA,GBR,2013
BCA,USA,2014
BCA,URY,2014
BCA,UZB,2012
BCA,VUT,2013
BCA,VEN,2012
BCA,VNM,2013
BCA,YEM,2009
BCA,ZMB,2013
BCA,ZWE,2013
