weo_subject_code,geo,country_series_specific_notes
BCA_NGDPD,AFG,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars)."
BCA_NGDPD,ALB,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars)."
BCA_NGDPD,DZA,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars)."
BCA_NGDPD,AGO,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars)."
BCA_NGDPD,ATG,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars)."
BCA_NGDPD,ARG,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars)."
BCA_NGDPD,ARM,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars)."
BCA_NGDPD,AUS,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars)."
BCA_NGDPD,AUT,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars)."
BCA_NGDPD,AZE,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars)."
BCA_NGDPD,BHS,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars)."
BCA_NGDPD,BHR,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars)."
BCA_NGDPD,BGD,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars)."
BCA_NGDPD,BRB,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars)."
BCA_NGDPD,BLR,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars)."
BCA_NGDPD,BEL,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars)."
BCA_NGDPD,BLZ,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars)."
BCA_NGDPD,BEN,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars)."
