weo_subject_code,geo,country_series_specific_notes
GGR,AFG,"Source: Ministry of Finance Latest actual data: 2013. Latest actual data is for the fiscal year 2012 Notes: National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. Data is converted to calendar years for the purpose of WEO publication. Start/end months of reporting year: January/December. Until 2012 fiscal accounts have been compiled on the basis of a solar year, which runs from March 21 to March 20. From 2013 data is compiled on a new fiscal year basis that runs from December 21 to December 20. Pre-2013 data is converted to the new fiscal year for the purpose of WEO publication. GFS Manual used: 2001 Basis of recording: Cash General government includes: Central Government;. Data on general government not available. Valuation of public debt: Nominal value. Debt figures incorporate committed but not yet delivered debt relief. Primary domestic currency: Afghan Afghani Data last updated: 03/2015"
GGR,ALB,Source: IMF Staff Latest actual data: 2012 Notes: Authorities are still following GFS 86 Start/end months of reporting year: January/December GFS Manual used: 1986 Basis of recording: Other General government includes: Central Government;Local Government;Social Security Funds; Valuation of public debt: Nominal value Primary domestic currency: Albanian lek Data last updated: 03/2015
GGR,DZA,Source: Central Bank Latest actual data: 2014 Fiscal assumptions: Projections for 2013?18 are based on IMF staff calculations Start/end months of reporting year: January/December GFS Manual used: 1986 Basis of recording: Cash General government includes: Central Government Primary domestic currency: Algerian dinar Data last updated: 03/2015
GGR,AGO,Source: Ministry of Finance Latest actual data: 2013 Fiscal assumptions: Fiscal projections are based on the authorities' National Development Plan. They also factored in preliminary 2015 budget numbers discussed during the 2015 staff visit. Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Other General government includes: Central Government;Other;. Central Government and provincial governments Valuation of public debt: Nominal value Primary domestic currency: Angolan kwanza Data last updated: 03/2015
GGR,ATG,Source: Ministry of Finance Latest actual data: 2013. Preliminary Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Cash Valuation of public debt: Nominal value Primary domestic currency: Eastern Caribbean dollar Data last updated: 03/2015
GGR,ARG,"Source: Ministry of Economy. http://www.mecon.gov.ar/onp/html/ejectexto/cuenta_nac_dosuno.html?var1=cuentanacdosnueve Latest actual data: 2013 Notes: Government gross debt refers to the central government including untendered debt. Fiscal assumptions: The fiscal forecast is based on the projection for GDP growth, exports and imports and the nominal exchange rate. Start/end months of reporting year: January/December GFS Manual used: 1986 Basis of recording: Cash. Central (National) government net lending/borrowing includes interest payments on accrual basis. General government includes: Central Government;State Government;Local Government;Social Security Funds; Valuation of public debt: Nominal value Primary domestic currency: Argentine peso Data last updated: 03/2015"
GGR,ARM,"Source: Ministry of Finance Latest actual data: 2013 Notes: Since the general government accounts for Armenia are not available, all general government series are equal to the central government series. Fiscal assumptions: Projections for 2014-19 reflect agreement between the authorities and the IMF staff in the context of program discussion. Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Cash General government includes: Central Government Primary domestic currency: Armenian dram Data last updated: 03/2015"
GGR,AUS,"Source: Ministry of Finance. Treasury Department Latest actual data: 2013/14. Final Budget Outcome Notes: Social Benefits series comprises social security and welfare spending for which we do not have comparable data prior to 2004. Fiscal assumptions: Fiscal projections are based on Australian Bureau of Statistics data, the 2014-15 budget documents, and the 2014-15 Mid-Year Economic and Fiscal Outlook Start/end months of reporting year: January/December. July/June by authorities, and Jan/Dec by staff GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Other;. Other includes Territory governments Valuation of public debt: Nominal value Primary domestic currency: Australian dollar Data last updated: 03/2015"
GGR,AUT,"Source: National Statistical Office Latest actual data: 2013 Fiscal assumptions: Projections take only the tax-related measures for the financing of the recent income tax reform into account (although the yield from the anti-tax fraud measures is highly uncertain). For 2014, the creation of a defeasance structure for Hypo Alpe Adria is assumed to increase the general government debt-to-GDP ratio by 5½ percentage points, and the deficit effect arising from Hypo is assumed at 1.8 percentage points. Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Social Security Funds; Valuation of public debt: Face value Primary domestic currency: Euro Data last updated: 03/2015"
GGR,AZE,"Source: Ministry of Finance Latest actual data: 2012 Notes: Since the general government accounts for Azerbaijan are not available, all general government series are equal to the central government series. Central government includes state budget and main extrabudgetary funds, including operations of the oil fund and the social protection fund. Start/end months of reporting year: January/December GFS Manual used: in transition to 2001 GFS Basis of recording: Cash General government includes: Central Government; Valuation of public debt: Face value Primary domestic currency: Azerbaijan manat Data last updated: 03/2015"
GGR,BHS,"Source: Ministry of Finance Latest actual data: 2013/14. FY2012/13 (4th Quarter) Notes: All fiscal and debt series data in WEO are on fiscal year basis. Fiscal assumptions: Broadly elasticity of 1 with nominal growth, except for recent measures adopted by authorities. Start/end months of reporting year: July/June GFS Manual used: 2001 Basis of recording: Cash General government includes: Central Government; Valuation of public debt: Nominal value Primary domestic currency: Bahamian dollar Data last updated: 03/2015"
GGR,BHR,"Source: Ministry of Finance Latest actual data: 2014 Notes: The projections use the 1986 Manual --- all the series are on cash basis only. Fiscal assumptions: The projections are based on the current WEO assumptions (for Bahrain), as well as the country's debt profile and budget. Start/end months of reporting year: January/December GFS Manual used: 1986 Basis of recording: Cash General government includes: Central Government; Valuation of public debt: Face value Primary domestic currency: Bahrain dinar Data last updated: 03/2015"
GGR,BGD,"Source: Ministry of Finance. GGR (Total Revenue) includes Grants starting 1990 on wards. Before, GGR does not include grants. Latest actual data: 2013/14 Start/end months of reporting year: July/June GFS Manual used: Other Basis of recording: Cash General government includes: Central Government; Valuation of public debt: Nominal value Primary domestic currency: Bangladesh taka Data last updated: 03/2015"
GGR,BRB,Source: Ministry of Finance Latest actual data: 2013/14 Start/end months of reporting year: April/March GFS Manual used: 1986 Basis of recording: Cash General government includes: Central Government;Social Security Funds;Nonfinancial Public Corporation; Valuation of public debt: Current market value Primary domestic currency: Barbados dollar Data last updated: 03/2015
GGR,BLR,Source: Ministry of Finance Latest actual data: 2013 Fiscal assumptions: 2014-2019 are IMF staff projections. Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Cash General government includes: Central Government;Local Government;Social Security Funds; Valuation of public debt: Nominal value Primary domestic currency: Belarusian rubel Data last updated: 03/2015
GGR,BEL,"Source: Central Bank Latest actual data: 2013 Fiscal assumptions: Projections reflect the authorities? 2015 budget adjusted for differences in the IMF staff?s macroeconomic framework and assumptions about fiscal developments in the federal, regional, and local governments. Start/end months of reporting year: January/December GFS Manual used: 2001. ESA 2010 data definitions Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Social Security Funds;Other; Valuation of public debt: Face value Primary domestic currency: Euro Data last updated: 03/2015"
GGR,BLZ,"Source: Ministry of Finance Latest actual data: 2013/14 Notes: Gross  and net debt-to-GDP ratios are calculated dividing debt at end of calendar year  by fiscal year GDP. Fiscal assumptions: Based on WEO assumptions, authorities' input, and staff assessment of necessary measures to attain authorities? announced fiscal targets. Projections already include the results from the restructuring of the ""super-bond"" in 2013 and the potential debt associated with the nationalization of two utilities companies (at mid-point valuation), in 2014. Start/end months of reporting year: April/March GFS Manual used: 1986. Belize does not follow GFSM2001 convention due to limited capacity to implement it. Basis of recording: Authorities report debt service on accrual basis, but other expenditures on a cash basis. General government includes: Central Government;Monetary Public Corporations, incl. central bank; Valuation of public debt: Nominal value Primary domestic currency: Belize dollar Data last updated: 03/2015"
GGR,BEN,Source: Ministry of Finance Latest actual data: 2013 Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Cash General government includes: Central Government;Other Primary domestic currency: CFA franc Data last updated: 02/2015
GGR,BTN,"Source: Ministry of Finance Latest actual data: 2012/13 Fiscal assumptions: Royal Government of Bhutan's Medium Term Expenditure Framework as detailed in Five Year Plans (including foreign grants projections), technical data on projected hydropower generation and sales, and staff projections of other non-hydropower revenues. Start/end months of reporting year: July/June GFS Manual used: 1986 Basis of recording: Cash General government includes: Central Government Primary domestic currency: Bhutanese ngultrum Data last updated: 02/2015"
GGR,BOL,"Source: Ministry of Finance Latest actual data: 2013 Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Cash General government includes: Central Government;Local Government;Social Security Funds;Monetary Public Corporations, incl. central bank;Nonmonetary Financial Public Corporations;Nonfinancial Public Corporation; Valuation of public debt: Nominal value Primary domestic currency: Bolivian boliviano Data last updated: 03/2015"
GGR,BIH,"Source: Ministry of Finance. Additional data received from the Indirect Tax Authority Latest actual data: 2013 Fiscal assumptions: Budget, macro framework, structural reforms set by program, and WEO. Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Social Security Funds;Other; Valuation of public debt: Face value Primary domestic currency: Convertible marka Data last updated: 03/2015"
GGR,BWA,Source: Ministry of Finance Latest actual data: 2011/12 Start/end months of reporting year: April/March GFS Manual used: 1986 Basis of recording: Cash General government includes: Central Government; Valuation of public debt: Nominal value Primary domestic currency: Botswana pula Data last updated: 03/2015
GGR,BRA,"Source: Ministry of Finance Latest actual data: 2014 Notes: General Government (GG) data refers to the non-financial public sector, which includes the federal, state and local governments as well as public enterprises (excluding Petrobras and Eletrobras), and is consolidated with the Sovereign Wealth Fund (SWF). Revenue and expenditures of federal public enterprises are added in full to the respective aggregates. Transfers or withdrawals from the SWF do not impact the primary balance. Disaggregated data on gross interest payments and interest receipts is available from 2003 onwards only. Prior to 2003, Total Revenue of the GG excludes interest receipts, while Total Expenditure of the GG includes net interest payments. Gross public debt includes the treasury bills at the central bank's balance sheet, including those not used under repurchase agreements. Net public debt consolidates GG, as defined above, with the Central Bank. Fiscal assumptions: For 2014, outturn estimates are based on the information available as of February 2015. Projections for 2015 take into account the 2015 budget approved by Congress in March 2015, and recent announcements made by the authorities; any measures still to be identified as of end-March 2015 to meet the annual fiscal target are assumed to be on the expenditure side. In outer years, projections are consistent with the announced primary surplus objectives. Start/end months of reporting year: January/December GFS Manual used: 2001. Total Revenue includes disposal of non financial assets, and Net Acquisition of Nonfinancial Assets does not net out these proceeds. Basis of recording: Cash Valuation of public debt: Nominal value Primary domestic currency: Brazilian real Data last updated: 03/2015"
GGR,BRN,"Source: Ministry of Finance Latest actual data: 2014. Latest observation Dec. 2014 Fiscal assumptions: Value added from energy sector and expected fiscal policies. Start/end months of reporting year: January/December. BRN team reports fiscal sector data on calendar year basis. Starting 2004, Brunei's fiscal year changed from January/December to April/March; however, we do not have longer series for FY basis data. GFS Manual used: Other Basis of recording: Cash General government includes: Central Government;. Budgetary central govt. Valuation of public debt: No liabilities Primary domestic currency: Brunei dollar Data last updated: 03/2015"
GGR,BGR,Source: Ministry of Finance Latest actual data: 2013 Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Cash General government includes: Central Government;Local Government;Social Security Funds Primary domestic currency: Bulgarian lev Data last updated: 03/2015
GGR,BFA,"Source: Ministry of Finance Latest actual data: 2014 Fiscal assumptions: Discussion with the authorities, past trends and impact of on going structural reforms Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Commitment basis , with cash adjustment General government includes: Central Government; Valuation of public debt: Face value Primary domestic currency: CFA franc Data last updated: 03/2015"
GGR,BDI,Source: Ministry of Finance Latest actual data: 2013 Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government; Valuation of public debt: Nominal value Primary domestic currency: Burundi franc Data last updated: 03/2015
GGR,CPV,Source: Ministry of Finance Latest actual data: 2013 Fiscal assumptions: Estimations from Authorities and Staff Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;Social Security Funds Primary domestic currency: Cabo Verde escudo Data last updated: 02/2015
GGR,KHM,Source: Ministry of Finance Latest actual data: 2013 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Cash General government includes: Central Government;Local Government; Valuation of public debt: Face value Primary domestic currency: Cambodian riel Data last updated: 03/2015
GGR,CMR,Source: Ministry of Finance Latest actual data: 2013 Fiscal assumptions: Actual fiscal data and WEO projections Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Cash General government includes: Central Government;Nonfinancial Public Corporation; Valuation of public debt: Current market value Primary domestic currency: CFA franc Data last updated: 03/2015
GGR,CAN,"Source: Haver Analytics. The source for gross and net debt is OECD. Latest actual data: 2014 Notes: Fiscal data are on a calendar year basis. Fiscal assumptions: Projections use the baseline forecasts in the Economic Action Plan 2014 (the fiscal year 2014/15 budget) and 2014 provincial budgets as available. The IMF staff makes some adjustments to this forecast for differences in macroeconomic projections. The IMF staff forecast also incorporates the most recent data releases from Statistics Canada?s Canadian System of National Economic Accounts, including federal, provincial, and territorial budgetary outturns through the end of the fourth quarter of 2014. Start/end months of reporting year: January/December GFS Manual used: 2001. Comment: Preliminary data: based on quarterly data. Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Social Security Funds; Valuation of public debt: Face value Primary domestic currency: Canadian dollar Data last updated: 03/2015"
GGR,CAF,Source: Ministry of Finance Latest actual data: 2014 Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Cash General government includes: Central Government Primary domestic currency: CFA franc Data last updated: 02/2015
GGR,TCD,"Source: Ministry of Finance Latest actual data: 2012 Fiscal assumptions: Historical data series, annual budget, and additional data from the authorities Start/end months of reporting year: January/December GFS Manual used: 1986 Basis of recording: Cash General government includes: Central Government;Nonfinancial Public Corporation; Valuation of public debt: Face value Primary domestic currency: CFA franc Data last updated: 03/2015"
GGR,CHL,"Source: Ministry of Finance Latest actual data: 2013 Notes: GGCB and GGSB are approximated by the Central Government Cyclical-Adjusted Balance and Structural Balance, respectively as more than 90% of the expenditures and revenues are from the Central Government. Fiscal assumptions: Projections are based on the authorities? budget projections, adjusted to reflect the IMF staff?s projections for GDP and copper prices. Projections also include the official yield estimate of the tax reform submitted to Congress on April 2014. Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual). Some elements including tax revenues are recorded on a cash basis General government includes: Central Government;Local Government; Valuation of public debt: Face value Primary domestic currency: Chilean peso Data last updated: 03/2015"
GGR,CHN,"Source: Ministry of Finance. Ministry of Finance (data retrieved from CEIC) and National Audit Office (NAO) (data obtained from NAO audit report) Latest actual data: 2014 Notes: Fiscal Balance: Data differ from official figures released by China?s Ministry of Finance mainly because of a difference in treatment of net contributions to the Budget Stabilization Fund. General Government Debt: Data differ from official figures released by China?s Ministry of Finance because IMF numbers include, from 2010 onward, the stock of local government debt outstanding as reported in the June 2011 National Audit Office Report. For subsequent years, we have followed the amortization schedule outlined in the same report. Fiscal assumptions: The pace of fiscal consolidation is likely to be more gradual, reflecting reforms to strengthen social safety nets and the social security system announced as part of the Third Plenum reform agenda. Start/end months of reporting year: January/December GFS Manual used: 2001. Authorities do not publish in GFS Manual 2001. Data estimated by staff. Basis of recording: Cash General government includes: Central Government;Local Government;. Includes adjustments of stabilization fund, social security fund, and government-managed funds. Valuation of public debt: Face value Primary domestic currency: Chinese yuan Data last updated: 03/2015"
GGR,COL,"Source: Ministry of Finance Latest actual data: 2013 Notes: Structural balance based on staff estimates; adjusts for the cyclical variation of GDP, oil prices and oil production levels. Start/end months of reporting year: January/December GFS Manual used: 2001. Transitioning toward 2001 manual Basis of recording: Revenue (cash); Expenditure (cash modified) General government includes: Central Government;State Government;Local Government;Social Security Funds;Other; Valuation of public debt: Face value Primary domestic currency: Colombian peso Data last updated: 03/2015"
GGR,COM,"Source: Ministry of Finance Latest actual data: 2013 Start/end months of reporting year: January/December GFS Manual used: 1986 Basis of recording: Cash for expenditures, accrual for revenues General government includes: Central Government; Valuation of public debt: Nominal value Primary domestic currency: Comorian franc Data last updated: 02/2015"
GGR,COD,Source: Ministry of Finance Latest actual data: 2013 Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;Local Government Primary domestic currency: Congo franc Data last updated: 03/2015
GGR,COG,Source: Ministry of Finance Latest actual data: 2013 Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government; Valuation of public debt: Nominal value Primary domestic currency: CFA franc Data last updated: 03/2015
GGR,CRI,Source: Ministry of Finance and Central Bank. Latest actual data: 2013 Start/end months of reporting year: January/December GFS Manual used: 1986. Desk is working on the transition to GFS2001. Basis of recording: Cash General government includes: Central Government; Valuation of public debt: Nominal value Primary domestic currency: Costa Rican colón Data last updated: 03/2015
GGR,CIV,"Source: Ministry of Finance Latest actual data: 2014 Fiscal assumptions: based on the announced budget and adjusted to staff's less optimistic scenario. Start/end months of reporting year: January/December. The 2011 government finance data cover only the April/December period due to post-election crisis in 2011Q1, thus the fiscal GDP also covers the same 3 quarters. GFS Manual used: 1986 Basis of recording: Noncash (accrual) General government includes: Central Government Primary domestic currency: CFA franc Data last updated: 03/2015"
GGR,HRV,Source: Ministry of Finance Latest actual data: 2014 Fiscal assumptions: Projections based on macro framework and authorities' medium-term fiscal guidelines. Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;Local Government;Other; Valuation of public debt: Nominal value Primary domestic currency: Croatian kuna Data last updated: 03/2015
GGR,CYP,"Source: EUROSTAT Latest actual data: 2014 Fiscal assumptions: Projections are on a cash basis based on the latest information on the budget, fiscal measures, and staff's macroeconomic assumptions. Start/end months of reporting year: January/December GFS Manual used: Methodology is ESA 2010 Basis of recording: ESA 95 for history and ESA 95 classification but on a cash basis for projections in line with the program General government includes: Central Government;Local Government;Social Security Funds;. Extra-Budgetary Funds are also part of the General Government composition. Valuation of public debt: Face value Primary domestic currency: Euro Data last updated: 03/2015"
GGR,CZE,Source: Ministry of Finance Latest actual data: 2013 Fiscal assumptions: Projections are based on the authorities? budget forecast for 2013-14 with adjustments for macroeconomic projections of the IMF staff. Projections for 2014 onwards are based on unchanged policies. Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;Local Government;Social Security Funds; Valuation of public debt: Nominal value Primary domestic currency: Czech koruna Data last updated: 03/2015
GGR,DNK,"Source: National Statistical Office Latest actual data: 2013 Fiscal assumptions: Projections for 2014?15 are aligned with the latest official budget estimates and the underlying economic projections, adjusted where appropriate for the IMF staff?s macroeconomic assumptions. For 2016?20, the projections incorporate key features of the medium-term fiscal plan as embodied in the authorities? 2014 Convergence Program submitted to the EU. Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;Local Government;Social Security Funds; Valuation of public debt: Nominal value. Nominal Value debt valuation is consistent with Eurostat's definition Primary domestic currency: Danish krone Data last updated: 03/2015"
GGR,DJI,Source: Ministry of Finance Latest actual data: 2014 Notes: GGE serie was changed as of July 2011 = current expenditure (before = total expenditure) Fiscal assumptions: Desk projections in absence of projections from authorities. Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government; Valuation of public debt: Nominal value Primary domestic currency: Djibouti franc Data last updated: 03/2015
GGR,DMA,Source: Ministry of Finance Latest actual data: 2013 Start/end months of reporting year: July/June GFS Manual used: 1986 Basis of recording: Cash General government includes: Central Government;. Debt corresponds to nonfinancial public sector (central government and SOEs) Valuation of public debt: Nominal value Primary domestic currency: Eastern Caribbean dollar Data last updated: 03/2015
GGR,DOM,Source: Ministry of Finance Latest actual data: 2014 Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;State Government;Local Government;Social Security Funds; Valuation of public debt: Face value Primary domestic currency: Dominican peso Data last updated: 03/2015
GGR,ECU,Source: Source: Central Bank and Ministry of Finance Latest actual data: 2013 Fiscal assumptions: All the fiscal series are based on 1986 methodology. The authorities have adopted a non-standard accounting methodology for budgetary purposes. Staff does not use this methodology. Start/end months of reporting year: January/December GFS Manual used: 1986 Basis of recording: Cash General government includes: Central Government;State Government;Local Government;Social Security Funds;Nonfinancial Public Corporation Primary domestic currency: U.S. dollar Data last updated: 03/2015
GGR,EGY,"Source: Ministry of Finance Latest actual data: 2013/14. 2013/14 annual for General Government data. January 2015 for Budget Sector data. Fiscal assumptions: The fiscal projections are mainly based on budget sector operations (with trends of main variables discussed with the Ministry of Finance during the April 2012 consultation). Start/end months of reporting year: July/June GFS Manual used: 2001 Basis of recording: Cash General government includes: Central Government;Local Government;Social Security Funds;Other;. Central Government,Local Government,Social Security Funds,Other. General government includes budget sector (central government, local governorates and public service authorities), social insurance fund and national investment bank Valuation of public debt: Nominal value Primary domestic currency: Egyptian pound Data last updated: 03/2015"
GGR,SLV,Source: Ministry of Finance Latest actual data: 2013 Start/end months of reporting year: January/December GFS Manual used: 1986 Basis of recording: Cash General government includes: Central Government;Local Government;Social Security Funds; Valuation of public debt: Current market value Primary domestic currency: U.S. dollar Data last updated: 03/2015
GGR,GNQ,Source: Ministry of Finance and Budget Latest actual data: 2013 Fiscal assumptions: Actual fiscal data and WEO projections Start/end months of reporting year: January/December GFS Manual used: 1986 Basis of recording: Cash General government includes: Central Government;. State/local government and other public institution are not covered due to limited information. Valuation of public debt: Nominal value Primary domestic currency: CFA franc Data last updated: 02/2015
GGR,ERI,Source: Ministry of Finance Latest actual data: 2008 Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Cash General government includes: Central Government Primary domestic currency: Eritrean nakfa Data last updated: 02/2015
GGR,EST,"Source: Ministry of Finance Latest actual data: 2013 Fiscal assumptions: The forecast, which is cash-, not accrual-, based, incorporates the authorities? 2014 budget, adjusted for newly available information and for the staff?s macroeconomic scenario. Start/end months of reporting year: January/December GFS Manual used: Hybrid of 1986 and 2001 manuals used Basis of recording: Cash General government includes: Central Government;Local Government;Social Security Funds; Valuation of public debt: Nominal value. This is the format of data provided by the authorities. Primary domestic currency: Euro Data last updated: 03/2015"
GGR,ETH,Source: Ministry of Finance Latest actual data: 2013/14 Start/end months of reporting year: July/June GFS Manual used: 1986 Basis of recording: Cash General government includes: Central Government;State Government;Local Government;Nonfinancial Public Corporation; Valuation of public debt: Nominal value Primary domestic currency: Ethiopian birr Data last updated: 03/2015
GGR,FJI,Source: Ministry of Finance Latest actual data: 2013 Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Cash General government includes: Central Government; Valuation of public debt: Face value Primary domestic currency: Fiji dollar Data last updated: 02/2015
GGR,FIN,"Source: Ministry of Finance Latest actual data: 2013 Fiscal assumptions: Based on announced policies by the authorities, adjusted for the Staff macroeconomic scenario. Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;Local Government;Social Security Funds; Valuation of public debt: Nominal value. Nominal Value debt valuation is consistent with Eurostat's definition Primary domestic currency: Euro Data last updated: 03/2015"
GGR,FRA,"Source: National Statistical Office Latest actual data: 2013 Fiscal assumptions: Projections for 2015 reflect the budget law. For 2016?17, they are based on the multiyear budget adjusted for differences in assumptions on macro and financial variables, and revenue projections. Historical fiscal data reflect the September 2014 revision by the statistical institute of fiscal accounts and the May 2014 revision of national accounts. Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government;Local Government;Social Security Funds;Other; Valuation of public debt: Face value Primary domestic currency: Euro Data last updated: 03/2015"
GGR,GAB,Source: IMF Staff Latest actual data: 2013 Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Noncash (accrual) General government includes: Central Government; Valuation of public debt: Nominal value Primary domestic currency: CFA franc Data last updated: 03/2015
GGR,GMB,"Source: Ministry of Finance Latest actual data: 2013 Fiscal assumptions: Projections are based on known projects and commitments, macroeconomic projections, and anticipated policy changes. Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Cash General government includes: Central Government; Valuation of public debt: Nominal value Primary domestic currency: Gambian dalasi Data last updated: 03/2015"
GGR,GEO,Source: Ministry of Finance Latest actual data: 2013 Start/end months of reporting year: January/December GFS Manual used: 2001 Basis of recording: Cash General government includes: Central Government;Local Government; Valuation of public debt: Nominal value Primary domestic currency: Georgian lari Data last updated: 03/2015
