weo_subject_code,geo,estimates_start_after
GGSB,AFG,
GGSB,ALB,
GGSB,DZA,
GGSB,AGO,
GGSB,ATG,
GGSB,ARG,2013
GGSB,ARM,
GGSB,AUS,2014
GGSB,AUT,2013
GGSB,AZE,
GGSB,BHS,
GGSB,BHR,
GGSB,BGD,
GGSB,BRB,
GGSB,BLR,
GGSB,BEL,2013
GGSB,BLZ,
GGSB,BEN,
GGSB,BTN,
GGSB,BOL,
GGSB,BIH,2013
GGSB,BWA,2012
GGSB,BRA,2014
GGSB,BRN,
GGSB,BGR,2013
GGSB,BFA,
GGSB,BDI,
GGSB,CPV,
GGSB,KHM,
GGSB,CMR,
GGSB,CAN,2014
GGSB,CAF,
GGSB,TCD,
GGSB,CHL,2013
GGSB,CHN,2014
GGSB,COL,2013
GGSB,COM,
GGSB,COD,
GGSB,COG,
GGSB,CRI,
GGSB,CIV,
GGSB,HRV,2014
GGSB,CYP,
GGSB,CZE,2013
GGSB,DNK,2013
GGSB,DJI,
GGSB,DMA,
GGSB,DOM,2014
GGSB,ECU,2013
GGSB,EGY,2014
GGSB,SLV,
GGSB,GNQ,
GGSB,ERI,
GGSB,EST,
GGSB,ETH,
GGSB,FJI,
GGSB,FIN,2013
GGSB,FRA,2013
GGSB,GAB,
GGSB,GMB,2013
GGSB,GEO,2013
GGSB,DEU,2014
GGSB,GHA,
GGSB,GRC,2013
GGSB,GRD,
GGSB,GTM,
GGSB,GIN,
GGSB,GNB,
GGSB,GUY,2012
GGSB,HTI,2013
GGSB,HND,
GGSB,HKG,2014
GGSB,HUN,2013
GGSB,ISL,2013
GGSB,IND,2013
GGSB,IDN,2014
GGSB,IRN,
GGSB,IRQ,
GGSB,IRL,2014
GGSB,ISR,2013
GGSB,ITA,2013
GGSB,JAM,
GGSB,JPN,2013
GGSB,JOR,2013
GGSB,KAZ,
GGSB,KEN,
GGSB,KIR,
GGSB,KOR,2013
GGSB,UVK,
GGSB,KWT,
GGSB,KGZ,
GGSB,LAO,
GGSB,LVA,2013
GGSB,LBN,2013
GGSB,LSO,
GGSB,LBR,
GGSB,LBY,
GGSB,LTU,2013
GGSB,LUX,2013
GGSB,MKD,
GGSB,MDG,
GGSB,MWI,
GGSB,MYS,2013
GGSB,MDV,
GGSB,MLI,
GGSB,MLT,2013
GGSB,MHL,
GGSB,MRT,
GGSB,MUS,2013
GGSB,MEX,2014
GGSB,FSM,
GGSB,MDA,
GGSB,MNG,
GGSB,MNE,
GGSB,MAR,2014
GGSB,MOZ,
GGSB,MMR,
GGSB,NAM,
GGSB,NPL,
GGSB,NLD,2014
GGSB,NZL,2014
GGSB,NIC,
GGSB,NER,
GGSB,NGA,
GGSB,NOR,2014
GGSB,OMN,
GGSB,PAK,
GGSB,PLW,
GGSB,PAN,2013
GGSB,PNG,
GGSB,PRY,2013
GGSB,PER,2014
GGSB,PHL,2014
GGSB,POL,2013
GGSB,PRT,2013
GGSB,QAT,
GGSB,ROU,2014
GGSB,RUS,2013
GGSB,RWA,
GGSB,WSM,
GGSB,SMR,
GGSB,STP,
GGSB,SAU,
GGSB,SEN,2011
GGSB,SRB,2014
GGSB,SYC,
GGSB,SLE,
GGSB,SGP,2014
GGSB,SVK,2013
GGSB,SVN,2014
GGSB,SLB,
GGSB,ZAF,2014
GGSB,SSD,
GGSB,ESP,2014
GGSB,LKA,
GGSB,KNA,
GGSB,LCA,
GGSB,VCT,
GGSB,SDN,
GGSB,SUR,
GGSB,SWZ,
GGSB,SWE,2012
GGSB,CHE,2012
GGSB,SYR,
GGSB,TWN,2013
GGSB,TJK,
GGSB,TZA,
GGSB,THA,2014
GGSB,TLS,
GGSB,TGO,
GGSB,TON,
GGSB,TTO,
GGSB,TUN,2014
GGSB,TUR,2013
GGSB,TKM,
GGSB,TUV,
GGSB,UGA,
GGSB,UKR,2014
GGSB,ARE,
GGSB,GBR,2014
GGSB,USA,2013
GGSB,URY,2014
GGSB,UZB,
GGSB,VUT,
GGSB,VEN,
GGSB,VNM,2013
GGSB,YEM,
GGSB,ZMB,
GGSB,ZWE,
