weo_subject_code,geo,estimates_start_after
GGSB_NPGDP,AFG,
GGSB_NPGDP,ALB,
GGSB_NPGDP,DZA,
GGSB_NPGDP,AGO,
GGSB_NPGDP,ATG,
GGSB_NPGDP,ARG,2013
GGSB_NPGDP,ARM,
GGSB_NPGDP,AUS,2014
GGSB_NPGDP,AUT,2013
GGSB_NPGDP,AZE,
GGSB_NPGDP,BHS,
GGSB_NPGDP,BHR,
GGSB_NPGDP,BGD,
GGSB_NPGDP,BRB,
GGSB_NPGDP,BLR,
GGSB_NPGDP,BEL,2013
GGSB_NPGDP,BLZ,
GGSB_NPGDP,BEN,
GGSB_NPGDP,BTN,
GGSB_NPGDP,BOL,
GGSB_NPGDP,BIH,2013
GGSB_NPGDP,BWA,
GGSB_NPGDP,BRA,2014
GGSB_NPGDP,BRN,
GGSB_NPGDP,BGR,2013
GGSB_NPGDP,BFA,
GGSB_NPGDP,BDI,
GGSB_NPGDP,CPV,
GGSB_NPGDP,KHM,
GGSB_NPGDP,CMR,
GGSB_NPGDP,CAN,2014
GGSB_NPGDP,CAF,
GGSB_NPGDP,TCD,
GGSB_NPGDP,CHL,2013
GGSB_NPGDP,CHN,2014
GGSB_NPGDP,COL,2013
GGSB_NPGDP,COM,
GGSB_NPGDP,COD,
GGSB_NPGDP,COG,
GGSB_NPGDP,CRI,
GGSB_NPGDP,CIV,
GGSB_NPGDP,HRV,2014
GGSB_NPGDP,CYP,
GGSB_NPGDP,CZE,2013
GGSB_NPGDP,DNK,2013
GGSB_NPGDP,DJI,
GGSB_NPGDP,DMA,
GGSB_NPGDP,DOM,2014
GGSB_NPGDP,ECU,2013
GGSB_NPGDP,EGY,2014
GGSB_NPGDP,SLV,
GGSB_NPGDP,GNQ,
GGSB_NPGDP,ERI,
GGSB_NPGDP,EST,
GGSB_NPGDP,ETH,
GGSB_NPGDP,FJI,
GGSB_NPGDP,FIN,2013
GGSB_NPGDP,FRA,2013
GGSB_NPGDP,GAB,
GGSB_NPGDP,GMB,
GGSB_NPGDP,GEO,2013
GGSB_NPGDP,DEU,2014
GGSB_NPGDP,GHA,
GGSB_NPGDP,GRC,2013
GGSB_NPGDP,GRD,
GGSB_NPGDP,GTM,
GGSB_NPGDP,GIN,
GGSB_NPGDP,GNB,
GGSB_NPGDP,GUY,2012
GGSB_NPGDP,HTI,2013
GGSB_NPGDP,HND,
GGSB_NPGDP,HKG,2014
GGSB_NPGDP,HUN,2013
GGSB_NPGDP,ISL,2013
GGSB_NPGDP,IND,2013
GGSB_NPGDP,IDN,2014
GGSB_NPGDP,IRN,
GGSB_NPGDP,IRQ,
GGSB_NPGDP,IRL,2014
GGSB_NPGDP,ISR,2013
GGSB_NPGDP,ITA,2013
GGSB_NPGDP,JAM,
GGSB_NPGDP,JPN,2013
GGSB_NPGDP,JOR,2013
GGSB_NPGDP,KAZ,
GGSB_NPGDP,KEN,
GGSB_NPGDP,KIR,
GGSB_NPGDP,KOR,2013
GGSB_NPGDP,UVK,
GGSB_NPGDP,KWT,
GGSB_NPGDP,KGZ,
GGSB_NPGDP,LAO,
GGSB_NPGDP,LVA,2013
GGSB_NPGDP,LBN,2013
