weo_subject_code,geo,country_series_specific_notes
GGSB_NPGDP,AFG,
GGSB_NPGDP,ALB,
GGSB_NPGDP,DZA,
GGSB_NPGDP,AGO,
GGSB_NPGDP,ATG,
GGSB_NPGDP,ARG,See notes for:  General government structural balance (National currency).
GGSB_NPGDP,ARM,
GGSB_NPGDP,AUS,See notes for:  General government structural balance (National currency).
GGSB_NPGDP,AUT,See notes for:  General government structural balance (National currency).
GGSB_NPGDP,AZE,
GGSB_NPGDP,BHS,
GGSB_NPGDP,BHR,
GGSB_NPGDP,BGD,
GGSB_NPGDP,BRB,
GGSB_NPGDP,BLR,
GGSB_NPGDP,BEL,See notes for:  General government structural balance (National currency).
GGSB_NPGDP,BLZ,
GGSB_NPGDP,BEN,
GGSB_NPGDP,BTN,
GGSB_NPGDP,BOL,
GGSB_NPGDP,BIH,See notes for:  General government structural balance (National currency).
GGSB_NPGDP,BWA,
GGSB_NPGDP,BRA,See notes for:  General government structural balance (National currency).
GGSB_NPGDP,BRN,
GGSB_NPGDP,BGR,See notes for:  General government structural balance (National currency).
GGSB_NPGDP,BFA,
GGSB_NPGDP,BDI,
GGSB_NPGDP,CPV,
GGSB_NPGDP,KHM,
GGSB_NPGDP,CMR,
GGSB_NPGDP,CAN,See notes for:  General government structural balance (National currency).
GGSB_NPGDP,CAF,
GGSB_NPGDP,TCD,
GGSB_NPGDP,CHL,See notes for:  General government structural balance (National currency).
GGSB_NPGDP,CHN,See notes for:  General government structural balance (National currency).
GGSB_NPGDP,COL,See notes for:  General government structural balance (National currency).
GGSB_NPGDP,COM,
GGSB_NPGDP,COD,
GGSB_NPGDP,COG,
GGSB_NPGDP,CRI,
GGSB_NPGDP,CIV,
GGSB_NPGDP,HRV,See notes for:  General government structural balance (National currency).
GGSB_NPGDP,CYP,
GGSB_NPGDP,CZE,See notes for:  General government structural balance (National currency).
GGSB_NPGDP,DNK,See notes for:  General government structural balance (National currency).
GGSB_NPGDP,DJI,
GGSB_NPGDP,DMA,
GGSB_NPGDP,DOM,See notes for:  General government structural balance (National currency).
GGSB_NPGDP,ECU,See notes for:  General government structural balance (National currency).
GGSB_NPGDP,EGY,See notes for:  General government structural balance (National currency).
GGSB_NPGDP,SLV,
GGSB_NPGDP,GNQ,
GGSB_NPGDP,ERI,
GGSB_NPGDP,EST,
GGSB_NPGDP,ETH,
GGSB_NPGDP,FJI,
GGSB_NPGDP,FIN,See notes for:  General government structural balance (National currency).
GGSB_NPGDP,FRA,See notes for:  General government structural balance (National currency).
GGSB_NPGDP,GAB,
GGSB_NPGDP,GMB,
GGSB_NPGDP,GEO,See notes for:  General government structural balance (National currency).
GGSB_NPGDP,DEU,See notes for:  General government structural balance (National currency).
GGSB_NPGDP,GHA,
GGSB_NPGDP,GRC,See notes for:  General government structural balance (National currency).
GGSB_NPGDP,GRD,
GGSB_NPGDP,GTM,
GGSB_NPGDP,GIN,
GGSB_NPGDP,GNB,
GGSB_NPGDP,GUY,See notes for:  General government structural balance (National currency).
GGSB_NPGDP,HTI,See notes for:  General government structural balance (National currency).
GGSB_NPGDP,HND,
GGSB_NPGDP,HKG,See notes for:  General government structural balance (National currency).
