weo_subject_code,geo,estimates_start_after
GGX,AFG,2013
GGX,ALB,2012
GGX,DZA,2014
GGX,AGO,2013
GGX,ATG,2013
GGX,ARG,2013
GGX,ARM,2013
GGX,AUS,2014
GGX,AUT,2013
GGX,AZE,2012
GGX,BHS,2014
GGX,BHR,2014
GGX,BGD,2014
GGX,BRB,2014
GGX,BLR,2013
GGX,BEL,2013
GGX,BLZ,2014
GGX,BEN,2013
GGX,BTN,2013
GGX,BOL,2013
GGX,BIH,2013
GGX,BWA,2012
GGX,BRA,2014
GGX,BRN,2014
GGX,BGR,2013
GGX,BFA,2014
GGX,BDI,2013
GGX,CPV,2013
GGX,KHM,2013
GGX,CMR,2013
GGX,CAN,2014
GGX,CAF,2014
GGX,TCD,2012
GGX,CHL,2013
GGX,CHN,2014
GGX,COL,2013
GGX,COM,2013
GGX,COD,2013
GGX,COG,2013
GGX,CRI,2013
GGX,CIV,2014
GGX,HRV,2014
GGX,CYP,2014
GGX,CZE,2013
GGX,DNK,2013
GGX,DJI,2014
GGX,DMA,2013
GGX,DOM,2014
GGX,ECU,2013
GGX,EGY,2014
GGX,SLV,2013
GGX,GNQ,2013
GGX,ERI,2008
GGX,EST,2013
GGX,ETH,2014
GGX,FJI,2013
GGX,FIN,2013
GGX,FRA,2013
GGX,GAB,2013
GGX,GMB,2013
GGX,GEO,2013
GGX,DEU,2014
GGX,GHA,2013
GGX,GRC,2013
GGX,GRD,2013
GGX,GTM,2013
GGX,GIN,2014
GGX,GNB,2011
GGX,GUY,2012
GGX,HTI,2013
GGX,HND,2013
GGX,HKG,2014
GGX,HUN,2013
GGX,ISL,2013
GGX,IND,2013
GGX,IDN,2014
GGX,IRN,2013
GGX,IRQ,2014
GGX,IRL,2014
GGX,ISR,2013
GGX,ITA,2013
GGX,JAM,2014
GGX,JPN,2013
GGX,JOR,2013
GGX,KAZ,2013
GGX,KEN,2014
GGX,KIR,2013
GGX,KOR,2013
GGX,UVK,2013
GGX,KWT,2013
GGX,KGZ,2014
GGX,LAO,2013
GGX,LVA,2013
GGX,LBN,2013
GGX,LSO,2013
GGX,LBR,2012
GGX,LBY,2014
GGX,LTU,2013
GGX,LUX,2013
GGX,MKD,2014
GGX,MDG,2013
GGX,MWI,2015
GGX,MYS,2013
GGX,MDV,2012
GGX,MLI,2013
GGX,MLT,2013
GGX,MHL,2013
GGX,MRT,2014
GGX,MUS,2013
GGX,MEX,2014
GGX,FSM,2013
GGX,MDA,2013
GGX,MNG,2013
GGX,MNE,2014
GGX,MAR,2014
GGX,MOZ,2013
GGX,MMR,2014
GGX,NAM,2012
GGX,NPL,2014
GGX,NLD,2014
GGX,NZL,2014
GGX,NIC,2014
GGX,NER,2013
GGX,NGA,2013
GGX,NOR,2014
GGX,OMN,2013
GGX,PAK,2014
GGX,PLW,2013
GGX,PAN,2013
GGX,PNG,2013
GGX,PRY,2013
GGX,PER,2014
GGX,PHL,2014
GGX,POL,2013
GGX,PRT,2013
GGX,QAT,2014
GGX,ROU,2014
GGX,RUS,2013
GGX,RWA,2014
GGX,WSM,2014
GGX,SMR,2013
GGX,STP,2014
GGX,SAU,2014
GGX,SEN,2011
GGX,SRB,2014
GGX,SYC,2013
GGX,SLE,2013
GGX,SGP,2014
GGX,SVK,2013
GGX,SVN,2014
GGX,SLB,2013
GGX,ZAF,2014
GGX,SSD,2014
GGX,ESP,2014
GGX,LKA,2013
GGX,KNA,2013
GGX,LCA,2013
GGX,VCT,2013
GGX,SDN,2013
GGX,SUR,2013
GGX,SWZ,2013
GGX,SWE,2012
GGX,CHE,2012
GGX,SYR,2009
GGX,TWN,2013
GGX,TJK,2013
GGX,TZA,2013
GGX,THA,2014
GGX,TLS,2012
GGX,TGO,2013
GGX,TON,2012
GGX,TTO,2013
GGX,TUN,2014
GGX,TUR,2013
GGX,TKM,2013
GGX,TUV,2013
GGX,UGA,2013
GGX,UKR,2014
GGX,ARE,2013
GGX,GBR,2014
GGX,USA,2013
GGX,URY,2014
GGX,UZB,2012
GGX,VUT,2014
GGX,VEN,2010
GGX,VNM,2013
GGX,YEM,2013
GGX,ZMB,2013
GGX,ZWE,2013
