weo_subject_code,geo,estimates_start_after
GGXCNL,AFG,2013
GGXCNL,ALB,2012
GGXCNL,DZA,2014
GGXCNL,AGO,2013
GGXCNL,ATG,2013
GGXCNL,ARG,2013
GGXCNL,ARM,2013
GGXCNL,AUS,2014
GGXCNL,AUT,2013
GGXCNL,AZE,2012
GGXCNL,BHS,2014
GGXCNL,BHR,2014
GGXCNL,BGD,2014
GGXCNL,BRB,2014
GGXCNL,BLR,2013
GGXCNL,BEL,2013
GGXCNL,BLZ,2014
GGXCNL,BEN,2013
GGXCNL,BTN,2013
GGXCNL,BOL,2013
GGXCNL,BIH,2013
GGXCNL,BWA,2012
GGXCNL,BRA,2014
GGXCNL,BRN,2014
GGXCNL,BGR,2013
GGXCNL,BFA,2014
GGXCNL,BDI,2013
GGXCNL,CPV,2013
GGXCNL,KHM,2013
GGXCNL,CMR,2013
GGXCNL,CAN,2014
GGXCNL,CAF,2014
GGXCNL,TCD,2012
GGXCNL,CHL,2013
GGXCNL,CHN,2014
GGXCNL,COL,2013
GGXCNL,COM,2013
GGXCNL,COD,2013
GGXCNL,COG,2013
GGXCNL,CRI,2013
GGXCNL,CIV,2014
GGXCNL,HRV,2014
GGXCNL,CYP,2014
GGXCNL,CZE,2013
GGXCNL,DNK,2013
GGXCNL,DJI,2014
GGXCNL,DMA,2013
GGXCNL,DOM,2014
GGXCNL,ECU,2013
GGXCNL,EGY,2014
GGXCNL,SLV,2013
GGXCNL,GNQ,2013
GGXCNL,ERI,2008
GGXCNL,EST,2013
GGXCNL,ETH,2014
GGXCNL,FJI,2013
GGXCNL,FIN,2013
GGXCNL,FRA,2013
GGXCNL,GAB,2013
GGXCNL,GMB,2013
GGXCNL,GEO,2013
GGXCNL,DEU,2014
GGXCNL,GHA,2013
GGXCNL,GRC,2013
GGXCNL,GRD,2013
GGXCNL,GTM,2013
GGXCNL,GIN,2014
GGXCNL,GNB,2011
GGXCNL,GUY,2012
GGXCNL,HTI,2013
GGXCNL,HND,2013
GGXCNL,HKG,2014
GGXCNL,HUN,2013
GGXCNL,ISL,2013
GGXCNL,IND,2013
GGXCNL,IDN,2014
GGXCNL,IRN,2013
GGXCNL,IRQ,2014
GGXCNL,IRL,2014
GGXCNL,ISR,2013
GGXCNL,ITA,2013
GGXCNL,JAM,2014
GGXCNL,JPN,2013
GGXCNL,JOR,2013
GGXCNL,KAZ,2013
GGXCNL,KEN,2014
GGXCNL,KIR,2013
GGXCNL,KOR,2013
GGXCNL,UVK,2013
GGXCNL,KWT,2013
GGXCNL,KGZ,2014
GGXCNL,LAO,2013
GGXCNL,LVA,2013
GGXCNL,LBN,2013
GGXCNL,LSO,2013
GGXCNL,LBR,2012
GGXCNL,LBY,2014
GGXCNL,LTU,2013
GGXCNL,LUX,2013
GGXCNL,MKD,2014
GGXCNL,MDG,2013
GGXCNL,MWI,2015
GGXCNL,MYS,2013
GGXCNL,MDV,2012
GGXCNL,MLI,2013
GGXCNL,MLT,2013
GGXCNL,MHL,2013
GGXCNL,MRT,2014
GGXCNL,MUS,2013
GGXCNL,MEX,2014
GGXCNL,FSM,2013
GGXCNL,MDA,2013
GGXCNL,MNG,2013
GGXCNL,MNE,2014
GGXCNL,MAR,2014
GGXCNL,MOZ,2013
GGXCNL,MMR,2014
GGXCNL,NAM,2012
GGXCNL,NPL,2014
GGXCNL,NLD,2014
GGXCNL,NZL,2014
GGXCNL,NIC,2014
GGXCNL,NER,2013
GGXCNL,NGA,2013
GGXCNL,NOR,2014
GGXCNL,OMN,2013
GGXCNL,PAK,2014
GGXCNL,PLW,2013
GGXCNL,PAN,2013
GGXCNL,PNG,2013
GGXCNL,PRY,2013
GGXCNL,PER,2014
GGXCNL,PHL,2014
GGXCNL,POL,2013
GGXCNL,PRT,2013
GGXCNL,QAT,2014
GGXCNL,ROU,2014
GGXCNL,RUS,2013
GGXCNL,RWA,2014
GGXCNL,WSM,2014
GGXCNL,SMR,2013
GGXCNL,STP,2014
GGXCNL,SAU,2014
GGXCNL,SEN,2011
GGXCNL,SRB,2014
GGXCNL,SYC,2013
GGXCNL,SLE,2013
GGXCNL,SGP,2014
GGXCNL,SVK,2013
GGXCNL,SVN,2014
GGXCNL,SLB,2013
GGXCNL,ZAF,2014
GGXCNL,SSD,2014
GGXCNL,ESP,2014
GGXCNL,LKA,2013
GGXCNL,KNA,2013
GGXCNL,LCA,2013
GGXCNL,VCT,2013
GGXCNL,SDN,2013
GGXCNL,SUR,2013
GGXCNL,SWZ,2013
GGXCNL,SWE,2012
GGXCNL,CHE,2012
GGXCNL,SYR,2009
GGXCNL,TWN,2013
GGXCNL,TJK,2013
GGXCNL,TZA,2013
GGXCNL,THA,2014
GGXCNL,TLS,2012
GGXCNL,TGO,2013
GGXCNL,TON,2012
GGXCNL,TTO,2013
GGXCNL,TUN,2014
GGXCNL,TUR,2013
GGXCNL,TKM,2013
GGXCNL,TUV,2013
GGXCNL,UGA,2013
GGXCNL,UKR,2014
GGXCNL,ARE,2013
GGXCNL,GBR,2014
GGXCNL,USA,2013
GGXCNL,URY,2014
GGXCNL,UZB,2012
GGXCNL,VUT,2014
GGXCNL,VEN,2010
GGXCNL,VNM,2013
GGXCNL,YEM,2013
GGXCNL,ZMB,2013
GGXCNL,ZWE,2013
