weo_subject_code,geo,country_series_specific_notes
GGXCNL_NGDP,AFG,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,ALB,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,DZA,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,AGO,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,ATG,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,ARG,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,ARM,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,AUS,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,AUT,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,AZE,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,BHS,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,BHR,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,BGD,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,BRB,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,BLR,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,BEL,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,BLZ,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,BEN,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,BTN,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,BOL,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,BIH,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,BWA,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,BRA,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,BRN,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,BGR,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,BFA,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,BDI,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,CPV,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,KHM,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,CMR,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,CAN,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,CAF,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,TCD,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,CHL,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,CHN,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,COL,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,COM,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,COD,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,COG,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,CRI,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,CIV,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,HRV,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,CYP,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,CZE,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,DNK,See notes for:  General government net lending/borrowing (National currency).
GGXCNL_NGDP,DJI,See notes for:  General government net lending/borrowing (National currency).
