weo_subject_code,geo,estimates_start_after
GGXONLB_NGDP,AFG,2013
GGXONLB_NGDP,ALB,2012
GGXONLB_NGDP,DZA,2014
GGXONLB_NGDP,AGO,2013
GGXONLB_NGDP,ATG,2013
GGXONLB_NGDP,ARG,2013
GGXONLB_NGDP,ARM,2013
GGXONLB_NGDP,AUS,2014
GGXONLB_NGDP,AUT,2013
GGXONLB_NGDP,AZE,2012
GGXONLB_NGDP,BHS,2014
GGXONLB_NGDP,BHR,2014
GGXONLB_NGDP,BGD,2014
GGXONLB_NGDP,BRB,2014
GGXONLB_NGDP,BLR,2013
GGXONLB_NGDP,BEL,2013
GGXONLB_NGDP,BLZ,2014
GGXONLB_NGDP,BEN,2013
GGXONLB_NGDP,BTN,2013
GGXONLB_NGDP,BOL,2013
GGXONLB_NGDP,BIH,2013
GGXONLB_NGDP,BWA,2012
GGXONLB_NGDP,BRA,2014
GGXONLB_NGDP,BRN,2014
GGXONLB_NGDP,BGR,2013
GGXONLB_NGDP,BFA,2014
GGXONLB_NGDP,BDI,2013
GGXONLB_NGDP,CPV,2013
GGXONLB_NGDP,KHM,2013
GGXONLB_NGDP,CMR,2013
GGXONLB_NGDP,CAN,2014
GGXONLB_NGDP,CAF,2014
GGXONLB_NGDP,TCD,2012
GGXONLB_NGDP,CHL,2013
GGXONLB_NGDP,CHN,2014
GGXONLB_NGDP,COL,2013
GGXONLB_NGDP,COM,2013
GGXONLB_NGDP,COD,2013
GGXONLB_NGDP,COG,2013
GGXONLB_NGDP,CRI,2013
GGXONLB_NGDP,CIV,2014
GGXONLB_NGDP,HRV,2014
GGXONLB_NGDP,CYP,2014
GGXONLB_NGDP,CZE,2013
GGXONLB_NGDP,DNK,2013
GGXONLB_NGDP,DJI,2014
GGXONLB_NGDP,DMA,2013
GGXONLB_NGDP,DOM,2014
GGXONLB_NGDP,ECU,2013
GGXONLB_NGDP,EGY,2014
GGXONLB_NGDP,SLV,2013
GGXONLB_NGDP,GNQ,2013
GGXONLB_NGDP,ERI,2008
GGXONLB_NGDP,EST,2013
GGXONLB_NGDP,ETH,2014
GGXONLB_NGDP,FJI,2013
GGXONLB_NGDP,FIN,2013
GGXONLB_NGDP,FRA,2013
GGXONLB_NGDP,GAB,2013
GGXONLB_NGDP,GMB,2013
GGXONLB_NGDP,GEO,2013
GGXONLB_NGDP,DEU,2014
GGXONLB_NGDP,GHA,2013
GGXONLB_NGDP,GRC,2013
GGXONLB_NGDP,GRD,2013
GGXONLB_NGDP,GTM,2013
GGXONLB_NGDP,GIN,2014
GGXONLB_NGDP,GNB,2011
GGXONLB_NGDP,GUY,2012
GGXONLB_NGDP,HTI,2013
GGXONLB_NGDP,HND,2013
GGXONLB_NGDP,HKG,2014
GGXONLB_NGDP,HUN,2013
GGXONLB_NGDP,ISL,2013
GGXONLB_NGDP,IND,2013
GGXONLB_NGDP,IDN,2014
GGXONLB_NGDP,IRN,2013
GGXONLB_NGDP,IRQ,2014
GGXONLB_NGDP,IRL,2014
GGXONLB_NGDP,ISR,2013
GGXONLB_NGDP,ITA,2013
GGXONLB_NGDP,JAM,2014
GGXONLB_NGDP,JPN,2013
GGXONLB_NGDP,JOR,2013
GGXONLB_NGDP,KAZ,2013
GGXONLB_NGDP,KEN,2014
