weo_subject_code,geo,country_series_specific_notes
GGXONLB_NGDP,AFG,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,ALB,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,DZA,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,AGO,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,ATG,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,ARG,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,ARM,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,AUS,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,AUT,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,AZE,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,BHS,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,BHR,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,BGD,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,BRB,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,BLR,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,BEL,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,BLZ,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,BEN,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,BTN,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,BOL,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,BIH,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,BWA,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,BRA,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,BRN,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,BGR,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,BFA,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,BDI,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,CPV,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,KHM,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,CMR,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,CAN,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,CAF,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,TCD,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,CHL,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,CHN,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,COL,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,COM,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,COD,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,COG,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,CRI,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,CIV,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,HRV,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,CYP,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,CZE,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,DNK,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,DJI,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,DMA,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,DOM,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,ECU,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,EGY,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,SLV,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,GNQ,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,ERI,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,EST,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,ETH,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,FJI,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,FIN,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,FRA,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,GAB,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,GMB,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,GEO,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,DEU,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,GHA,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,GRC,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,GRD,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,GTM,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,GIN,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,GNB,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,GUY,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,HTI,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,HND,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,HKG,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,HUN,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,ISL,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,IND,See notes for:  General government primary net lending/borrowing (National currency).
GGXONLB_NGDP,IDN,See notes for:  General government primary net lending/borrowing (National currency).
