weo_subject_code,geo,estimates_start_after
GGXWDG,AFG,
GGXWDG,ALB,2012
GGXWDG,DZA,2014
GGXWDG,AGO,2013
GGXWDG,ATG,2013
GGXWDG,ARG,2013
GGXWDG,ARM,2013
GGXWDG,AUS,2014
GGXWDG,AUT,2013
GGXWDG,AZE,2012
GGXWDG,BHS,2014
GGXWDG,BHR,2014
GGXWDG,BGD,2014
GGXWDG,BRB,2014
GGXWDG,BLR,2013
GGXWDG,BEL,2013
GGXWDG,BLZ,2014
GGXWDG,BEN,2013
GGXWDG,BTN,2013
GGXWDG,BOL,2013
GGXWDG,BIH,2013
GGXWDG,BWA,2012
GGXWDG,BRA,2014
GGXWDG,BRN,2014
GGXWDG,BGR,2013
GGXWDG,BFA,2014
GGXWDG,BDI,2013
GGXWDG,CPV,2013
GGXWDG,KHM,2013
GGXWDG,CMR,2013
GGXWDG,CAN,2014
GGXWDG,CAF,2014
GGXWDG,TCD,2012
GGXWDG,CHL,2013
GGXWDG,CHN,2014
GGXWDG,COL,2013
GGXWDG,COM,2013
GGXWDG,COD,2013
GGXWDG,COG,2013
GGXWDG,CRI,2013
GGXWDG,CIV,2014
GGXWDG,HRV,2014
GGXWDG,CYP,2014
GGXWDG,CZE,2013
GGXWDG,DNK,2013
GGXWDG,DJI,2014
GGXWDG,DMA,2013
GGXWDG,DOM,2014
GGXWDG,ECU,2013
GGXWDG,EGY,2014
GGXWDG,SLV,2013
GGXWDG,GNQ,2013
GGXWDG,ERI,2008
GGXWDG,EST,2013
GGXWDG,ETH,2014
GGXWDG,FJI,2013
GGXWDG,FIN,2013
GGXWDG,FRA,2013
GGXWDG,GAB,2013
GGXWDG,GMB,2013
GGXWDG,GEO,2013
GGXWDG,DEU,2014
GGXWDG,GHA,2013
GGXWDG,GRC,2013
GGXWDG,GRD,2013
GGXWDG,GTM,2013
GGXWDG,GIN,2014
GGXWDG,GNB,2011
GGXWDG,GUY,2012
GGXWDG,HTI,2013
GGXWDG,HND,2013
GGXWDG,HKG,2014
GGXWDG,HUN,2013
GGXWDG,ISL,2013
GGXWDG,IND,2013
GGXWDG,IDN,2014
GGXWDG,IRN,2013
GGXWDG,IRQ,2014
GGXWDG,IRL,2014
GGXWDG,ISR,2013
GGXWDG,ITA,2013
GGXWDG,JAM,2014
GGXWDG,JPN,2013
GGXWDG,JOR,2013
GGXWDG,KAZ,2013
GGXWDG,KEN,2014
GGXWDG,KIR,2013
GGXWDG,KOR,2013
GGXWDG,UVK,2013
GGXWDG,KWT,2013
GGXWDG,KGZ,2014
GGXWDG,LAO,2013
GGXWDG,LVA,2013
GGXWDG,LBN,2013
GGXWDG,LSO,2013
GGXWDG,LBR,2012
GGXWDG,LBY,2014
GGXWDG,LTU,2013
GGXWDG,LUX,2013
GGXWDG,MKD,2014
GGXWDG,MDG,2013
GGXWDG,MWI,2015
GGXWDG,MYS,2013
GGXWDG,MDV,2012
GGXWDG,MLI,2013
GGXWDG,MLT,2013
GGXWDG,MHL,2013
GGXWDG,MRT,2014
GGXWDG,MUS,2013
GGXWDG,MEX,2014
GGXWDG,FSM,2013
GGXWDG,MDA,2013
GGXWDG,MNG,
GGXWDG,MNE,2014
GGXWDG,MAR,2014
GGXWDG,MOZ,2013
GGXWDG,MMR,2014
GGXWDG,NAM,2012
GGXWDG,NPL,2014
GGXWDG,NLD,2014
GGXWDG,NZL,2014
GGXWDG,NIC,2014
GGXWDG,NER,2013
GGXWDG,NGA,2013
GGXWDG,NOR,2014
GGXWDG,OMN,2013
GGXWDG,PAK,2014
GGXWDG,PLW,
GGXWDG,PAN,2013
GGXWDG,PNG,2013
GGXWDG,PRY,2013
GGXWDG,PER,2014
GGXWDG,PHL,2014
GGXWDG,POL,2013
GGXWDG,PRT,2013
GGXWDG,QAT,2014
GGXWDG,ROU,2014
GGXWDG,RUS,2013
GGXWDG,RWA,2014
GGXWDG,WSM,2014
GGXWDG,SMR,2013
GGXWDG,STP,2014
GGXWDG,SAU,2014
GGXWDG,SEN,2011
GGXWDG,SRB,2014
GGXWDG,SYC,2013
GGXWDG,SLE,2013
GGXWDG,SGP,2014
GGXWDG,SVK,2013
GGXWDG,SVN,2014
GGXWDG,SLB,2013
GGXWDG,ZAF,2014
GGXWDG,SSD,2014
GGXWDG,ESP,2014
GGXWDG,LKA,2013
GGXWDG,KNA,2013
GGXWDG,LCA,2013
GGXWDG,VCT,2013
GGXWDG,SDN,2013
GGXWDG,SUR,2013
GGXWDG,SWZ,2013
GGXWDG,SWE,2012
GGXWDG,CHE,2012
GGXWDG,SYR,2009
GGXWDG,TWN,2013
GGXWDG,TJK,2013
GGXWDG,TZA,2013
GGXWDG,THA,2014
GGXWDG,TLS,
GGXWDG,TGO,2013
GGXWDG,TON,
GGXWDG,TTO,2013
GGXWDG,TUN,2014
GGXWDG,TUR,2013
GGXWDG,TKM,2013
GGXWDG,TUV,2013
GGXWDG,UGA,2013
GGXWDG,UKR,2014
GGXWDG,ARE,2013
GGXWDG,GBR,2014
GGXWDG,USA,2013
GGXWDG,URY,2014
GGXWDG,UZB,2012
GGXWDG,VUT,2014
GGXWDG,VEN,2010
GGXWDG,VNM,2013
GGXWDG,YEM,2013
GGXWDG,ZMB,2013
GGXWDG,ZWE,2013
