weo_subject_code,geo,estimates_start_after
GGXWDN,AFG,
GGXWDN,ALB,2012
GGXWDN,DZA,2014
GGXWDN,AGO,
GGXWDN,ATG,2013
GGXWDN,ARG,
GGXWDN,ARM,
GGXWDN,AUS,2014
GGXWDN,AUT,2013
GGXWDN,AZE,
GGXWDN,BHS,2014
GGXWDN,BHR,2014
GGXWDN,BGD,
GGXWDN,BRB,
GGXWDN,BLR,
GGXWDN,BEL,2013
GGXWDN,BLZ,2014
GGXWDN,BEN,
GGXWDN,BTN,
GGXWDN,BOL,2013
GGXWDN,BIH,2013
GGXWDN,BWA,
GGXWDN,BRA,2014
GGXWDN,BRN,
GGXWDN,BGR,2013
GGXWDN,BFA,
GGXWDN,BDI,
GGXWDN,CPV,2013
GGXWDN,KHM,
GGXWDN,CMR,
GGXWDN,CAN,2014
GGXWDN,CAF,
GGXWDN,TCD,
GGXWDN,CHL,2013
GGXWDN,CHN,
GGXWDN,COL,2013
GGXWDN,COM,2013
GGXWDN,COD,
GGXWDN,COG,
GGXWDN,CRI,2013
GGXWDN,CIV,
GGXWDN,HRV,
GGXWDN,CYP,
GGXWDN,CZE,
GGXWDN,DNK,2013
GGXWDN,DJI,
GGXWDN,DMA,2013
GGXWDN,DOM,
GGXWDN,ECU,
GGXWDN,EGY,2014
GGXWDN,SLV,
GGXWDN,GNQ,2013
GGXWDN,ERI,
GGXWDN,EST,2013
GGXWDN,ETH,2014
GGXWDN,FJI,2013
GGXWDN,FIN,2013
GGXWDN,FRA,2013
GGXWDN,GAB,
GGXWDN,GMB,2013
GGXWDN,GEO,
GGXWDN,DEU,2014
GGXWDN,GHA,2013
GGXWDN,GRC,2013
GGXWDN,GRD,2013
GGXWDN,GTM,
GGXWDN,GIN,2014
GGXWDN,GNB,
GGXWDN,GUY,2012
GGXWDN,HTI,
GGXWDN,HND,
GGXWDN,HKG,
GGXWDN,HUN,2013
GGXWDN,ISL,2013
GGXWDN,IND,
GGXWDN,IDN,
GGXWDN,IRN,2013
GGXWDN,IRQ,
GGXWDN,IRL,2014
GGXWDN,ISR,2013
GGXWDN,ITA,2013
GGXWDN,JAM,
GGXWDN,JPN,2013
GGXWDN,JOR,2013
GGXWDN,KAZ,2013
GGXWDN,KEN,2014
GGXWDN,KIR,
GGXWDN,KOR,2013
GGXWDN,UVK,
GGXWDN,KWT,
GGXWDN,KGZ,
GGXWDN,LAO,
GGXWDN,LVA,2013
GGXWDN,LBN,2013
GGXWDN,LSO,2013
GGXWDN,LBR,2012
GGXWDN,LBY,2014
GGXWDN,LTU,2013
GGXWDN,LUX,
GGXWDN,MKD,2014
GGXWDN,MDG,
GGXWDN,MWI,2015
GGXWDN,MYS,
GGXWDN,MDV,2012
GGXWDN,MLI,2013
GGXWDN,MLT,
GGXWDN,MHL,
GGXWDN,MRT,
GGXWDN,MUS,2013
GGXWDN,MEX,2014
GGXWDN,FSM,
GGXWDN,MDA,2013
GGXWDN,MNG,
GGXWDN,MNE,
GGXWDN,MAR,2014
GGXWDN,MOZ,
GGXWDN,MMR,
GGXWDN,NAM,2012
GGXWDN,NPL,
GGXWDN,NLD,2014
GGXWDN,NZL,2014
GGXWDN,NIC,
GGXWDN,NER,2013
GGXWDN,NGA,2013
GGXWDN,NOR,2014
GGXWDN,OMN,
GGXWDN,PAK,2014
GGXWDN,PLW,
GGXWDN,PAN,2013
GGXWDN,PNG,
GGXWDN,PRY,
GGXWDN,PER,2014
GGXWDN,PHL,
GGXWDN,POL,2013
GGXWDN,PRT,2013
GGXWDN,QAT,2014
GGXWDN,ROU,
GGXWDN,RUS,
GGXWDN,RWA,
GGXWDN,WSM,
GGXWDN,SMR,
GGXWDN,STP,
GGXWDN,SAU,2014
GGXWDN,SEN,
GGXWDN,SRB,2014
GGXWDN,SYC,2013
GGXWDN,SLE,2013
GGXWDN,SGP,
GGXWDN,SVK,
GGXWDN,SVN,
GGXWDN,SLB,2013
GGXWDN,ZAF,2014
GGXWDN,SSD,2014
GGXWDN,ESP,2014
GGXWDN,LKA,
GGXWDN,KNA,
GGXWDN,LCA,
GGXWDN,VCT,2013
GGXWDN,SDN,
GGXWDN,SUR,
GGXWDN,SWZ,2013
GGXWDN,SWE,2012
GGXWDN,CHE,2012
GGXWDN,SYR,2009
GGXWDN,TWN,
GGXWDN,TJK,
GGXWDN,TZA,
GGXWDN,THA,
GGXWDN,TLS,
GGXWDN,TGO,
GGXWDN,TON,
GGXWDN,TTO,2013
GGXWDN,TUN,
GGXWDN,TUR,2013
GGXWDN,TKM,
GGXWDN,TUV,
GGXWDN,UGA,
GGXWDN,UKR,2014
GGXWDN,ARE,2013
GGXWDN,GBR,2014
GGXWDN,USA,2013
GGXWDN,URY,2014
GGXWDN,UZB,
GGXWDN,VUT,
GGXWDN,VEN,
GGXWDN,VNM,2013
GGXWDN,YEM,2013
GGXWDN,ZMB,2013
GGXWDN,ZWE,
