weo_subject_code,geo,country_series_specific_notes
GGXWDN_NGDP,AFG,
GGXWDN_NGDP,ALB,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,DZA,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,AGO,
GGXWDN_NGDP,ATG,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,ARG,
GGXWDN_NGDP,ARM,
GGXWDN_NGDP,AUS,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,AUT,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,AZE,
GGXWDN_NGDP,BHS,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,BHR,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,BGD,
GGXWDN_NGDP,BRB,
GGXWDN_NGDP,BLR,
GGXWDN_NGDP,BEL,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,BLZ,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,BEN,
GGXWDN_NGDP,BTN,
GGXWDN_NGDP,BOL,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,BIH,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,BWA,
GGXWDN_NGDP,BRA,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,BRN,
GGXWDN_NGDP,BGR,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,BFA,
GGXWDN_NGDP,BDI,
GGXWDN_NGDP,CPV,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,KHM,
GGXWDN_NGDP,CMR,
GGXWDN_NGDP,CAN,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,CAF,
GGXWDN_NGDP,TCD,
GGXWDN_NGDP,CHL,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,CHN,
GGXWDN_NGDP,COL,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,COM,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,COD,
GGXWDN_NGDP,COG,
GGXWDN_NGDP,CRI,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,CIV,
GGXWDN_NGDP,HRV,
GGXWDN_NGDP,CYP,
GGXWDN_NGDP,CZE,
GGXWDN_NGDP,DNK,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,DJI,
GGXWDN_NGDP,DMA,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,DOM,
GGXWDN_NGDP,ECU,
GGXWDN_NGDP,EGY,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,SLV,
GGXWDN_NGDP,GNQ,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,ERI,
GGXWDN_NGDP,EST,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,ETH,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,FJI,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,FIN,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,FRA,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,GAB,
GGXWDN_NGDP,GMB,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,GEO,
GGXWDN_NGDP,DEU,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,GHA,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,GRC,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,GRD,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,GTM,
GGXWDN_NGDP,GIN,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,GNB,
GGXWDN_NGDP,GUY,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,HTI,
GGXWDN_NGDP,HND,
GGXWDN_NGDP,HKG,
GGXWDN_NGDP,HUN,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,ISL,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,IND,
GGXWDN_NGDP,IDN,
GGXWDN_NGDP,IRN,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,IRQ,
GGXWDN_NGDP,IRL,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,ISR,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,ITA,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,JAM,
GGXWDN_NGDP,JPN,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,JOR,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,KAZ,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,KEN,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,KIR,
GGXWDN_NGDP,KOR,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,UVK,
GGXWDN_NGDP,KWT,
GGXWDN_NGDP,KGZ,
GGXWDN_NGDP,LAO,
GGXWDN_NGDP,LVA,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,LBN,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,LSO,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,LBR,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,LBY,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,LTU,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,LUX,
GGXWDN_NGDP,MKD,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,MDG,
GGXWDN_NGDP,MWI,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,MYS,
GGXWDN_NGDP,MDV,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,MLI,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,MLT,
GGXWDN_NGDP,MHL,
GGXWDN_NGDP,MRT,
GGXWDN_NGDP,MUS,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,MEX,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,FSM,
GGXWDN_NGDP,MDA,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,MNG,
GGXWDN_NGDP,MNE,
GGXWDN_NGDP,MAR,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,MOZ,
GGXWDN_NGDP,MMR,
GGXWDN_NGDP,NAM,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,NPL,
GGXWDN_NGDP,NLD,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,NZL,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,NIC,
GGXWDN_NGDP,NER,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,NGA,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,NOR,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,OMN,
GGXWDN_NGDP,PAK,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,PLW,
GGXWDN_NGDP,PAN,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,PNG,
GGXWDN_NGDP,PRY,
GGXWDN_NGDP,PER,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,PHL,
GGXWDN_NGDP,POL,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,PRT,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,QAT,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,ROU,
GGXWDN_NGDP,RUS,
GGXWDN_NGDP,RWA,
GGXWDN_NGDP,WSM,
GGXWDN_NGDP,SMR,
GGXWDN_NGDP,STP,
GGXWDN_NGDP,SAU,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,SEN,
GGXWDN_NGDP,SRB,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,SYC,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,SLE,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,SGP,
GGXWDN_NGDP,SVK,
GGXWDN_NGDP,SVN,
GGXWDN_NGDP,SLB,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,ZAF,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,SSD,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,ESP,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,LKA,
GGXWDN_NGDP,KNA,
GGXWDN_NGDP,LCA,
GGXWDN_NGDP,VCT,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,SDN,
GGXWDN_NGDP,SUR,
GGXWDN_NGDP,SWZ,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,SWE,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,CHE,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,SYR,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,TWN,
GGXWDN_NGDP,TJK,
GGXWDN_NGDP,TZA,
GGXWDN_NGDP,THA,
GGXWDN_NGDP,TLS,
GGXWDN_NGDP,TGO,
GGXWDN_NGDP,TON,
GGXWDN_NGDP,TTO,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,TUN,
GGXWDN_NGDP,TUR,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,TKM,
GGXWDN_NGDP,TUV,
GGXWDN_NGDP,UGA,
GGXWDN_NGDP,UKR,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,ARE,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,GBR,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,USA,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,URY,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,UZB,
GGXWDN_NGDP,VUT,
GGXWDN_NGDP,VEN,
GGXWDN_NGDP,VNM,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,YEM,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,ZMB,See notes for:  General government net debt (National currency).
GGXWDN_NGDP,ZWE,
