weo_subject_code,geo,estimates_start_after
GGX_NGDP,AFG,2013
GGX_NGDP,ALB,2012
GGX_NGDP,DZA,2014
GGX_NGDP,AGO,2013
GGX_NGDP,ATG,2013
GGX_NGDP,ARG,2013
GGX_NGDP,ARM,2013
GGX_NGDP,AUS,2014
GGX_NGDP,AUT,2013
GGX_NGDP,AZE,2012
GGX_NGDP,BHS,2014
GGX_NGDP,BHR,2014
GGX_NGDP,BGD,2014
GGX_NGDP,BRB,2014
GGX_NGDP,BLR,2013
GGX_NGDP,BEL,2013
GGX_NGDP,BLZ,2014
GGX_NGDP,BEN,2013
GGX_NGDP,BTN,2013
GGX_NGDP,BOL,2013
GGX_NGDP,BIH,2013
GGX_NGDP,BWA,2012
GGX_NGDP,BRA,2014
GGX_NGDP,BRN,2014
GGX_NGDP,BGR,2013
GGX_NGDP,BFA,2014
GGX_NGDP,BDI,2013
GGX_NGDP,CPV,2013
GGX_NGDP,KHM,2013
GGX_NGDP,CMR,2013
GGX_NGDP,CAN,2014
GGX_NGDP,CAF,2014
GGX_NGDP,TCD,2012
GGX_NGDP,CHL,2013
GGX_NGDP,CHN,2014
GGX_NGDP,COL,2013
GGX_NGDP,COM,2013
GGX_NGDP,COD,2013
GGX_NGDP,COG,2013
GGX_NGDP,CRI,2013
GGX_NGDP,CIV,2014
GGX_NGDP,HRV,2014
GGX_NGDP,CYP,2014
GGX_NGDP,CZE,2013
GGX_NGDP,DNK,2013
GGX_NGDP,DJI,2014
GGX_NGDP,DMA,2013
GGX_NGDP,DOM,2014
GGX_NGDP,ECU,2013
GGX_NGDP,EGY,2014
GGX_NGDP,SLV,2013
GGX_NGDP,GNQ,2013
GGX_NGDP,ERI,2008
GGX_NGDP,EST,2013
GGX_NGDP,ETH,2014
GGX_NGDP,FJI,2013
GGX_NGDP,FIN,2013
GGX_NGDP,FRA,2013
GGX_NGDP,GAB,2013
GGX_NGDP,GMB,2013
GGX_NGDP,GEO,2013
GGX_NGDP,DEU,2014
GGX_NGDP,GHA,2013
GGX_NGDP,GRC,2013
GGX_NGDP,GRD,2013
GGX_NGDP,GTM,2013
GGX_NGDP,GIN,2014
GGX_NGDP,GNB,2011
GGX_NGDP,GUY,2012
GGX_NGDP,HTI,2013
GGX_NGDP,HND,2013
GGX_NGDP,HKG,2014
GGX_NGDP,HUN,2013
GGX_NGDP,ISL,2013
GGX_NGDP,IND,2013
GGX_NGDP,IDN,2014
GGX_NGDP,IRN,2013
GGX_NGDP,IRQ,2014
GGX_NGDP,IRL,2014
GGX_NGDP,ISR,2013
GGX_NGDP,ITA,2013
GGX_NGDP,JAM,2014
GGX_NGDP,JPN,2013
GGX_NGDP,JOR,2013
GGX_NGDP,KAZ,2013
GGX_NGDP,KEN,2014
GGX_NGDP,KIR,2013
GGX_NGDP,KOR,2013
GGX_NGDP,UVK,2013
GGX_NGDP,KWT,2013
GGX_NGDP,KGZ,2014
GGX_NGDP,LAO,2013
GGX_NGDP,LVA,2013
GGX_NGDP,LBN,2013
GGX_NGDP,LSO,2013
GGX_NGDP,LBR,2012
GGX_NGDP,LBY,2014
GGX_NGDP,LTU,2013
GGX_NGDP,LUX,2013
GGX_NGDP,MKD,2014
GGX_NGDP,MDG,2013
GGX_NGDP,MWI,2015
GGX_NGDP,MYS,2013
GGX_NGDP,MDV,2012
GGX_NGDP,MLI,2013
GGX_NGDP,MLT,2013
