weo_subject_code,geo,country_series_specific_notes
GGX_NGDP,AFG,See notes for:  General government total expenditure (National currency).
GGX_NGDP,ALB,See notes for:  General government total expenditure (National currency).
GGX_NGDP,DZA,See notes for:  General government total expenditure (National currency).
GGX_NGDP,AGO,See notes for:  General government total expenditure (National currency).
GGX_NGDP,ATG,See notes for:  General government total expenditure (National currency).
GGX_NGDP,ARG,See notes for:  General government total expenditure (National currency).
GGX_NGDP,ARM,See notes for:  General government total expenditure (National currency).
GGX_NGDP,AUS,See notes for:  General government total expenditure (National currency).
GGX_NGDP,AUT,See notes for:  General government total expenditure (National currency).
GGX_NGDP,AZE,See notes for:  General government total expenditure (National currency).
GGX_NGDP,BHS,See notes for:  General government total expenditure (National currency).
GGX_NGDP,BHR,See notes for:  General government total expenditure (National currency).
GGX_NGDP,BGD,See notes for:  General government total expenditure (National currency).
GGX_NGDP,BRB,See notes for:  General government total expenditure (National currency).
GGX_NGDP,BLR,See notes for:  General government total expenditure (National currency).
GGX_NGDP,BEL,See notes for:  General government total expenditure (National currency).
GGX_NGDP,BLZ,See notes for:  General government total expenditure (National currency).
GGX_NGDP,BEN,See notes for:  General government total expenditure (National currency).
GGX_NGDP,BTN,See notes for:  General government total expenditure (National currency).
GGX_NGDP,BOL,See notes for:  General government total expenditure (National currency).
GGX_NGDP,BIH,See notes for:  General government total expenditure (National currency).
GGX_NGDP,BWA,See notes for:  General government total expenditure (National currency).
GGX_NGDP,BRA,See notes for:  General government total expenditure (National currency).
GGX_NGDP,BRN,See notes for:  General government total expenditure (National currency).
GGX_NGDP,BGR,See notes for:  General government total expenditure (National currency).
GGX_NGDP,BFA,See notes for:  General government total expenditure (National currency).
GGX_NGDP,BDI,See notes for:  General government total expenditure (National currency).
GGX_NGDP,CPV,See notes for:  General government total expenditure (National currency).
GGX_NGDP,KHM,See notes for:  General government total expenditure (National currency).
GGX_NGDP,CMR,See notes for:  General government total expenditure (National currency).
GGX_NGDP,CAN,See notes for:  General government total expenditure (National currency).
GGX_NGDP,CAF,See notes for:  General government total expenditure (National currency).
GGX_NGDP,TCD,See notes for:  General government total expenditure (National currency).
GGX_NGDP,CHL,See notes for:  General government total expenditure (National currency).
GGX_NGDP,CHN,See notes for:  General government total expenditure (National currency).
GGX_NGDP,COL,See notes for:  General government total expenditure (National currency).
GGX_NGDP,COM,See notes for:  General government total expenditure (National currency).
GGX_NGDP,COD,See notes for:  General government total expenditure (National currency).
GGX_NGDP,COG,See notes for:  General government total expenditure (National currency).
GGX_NGDP,CRI,See notes for:  General government total expenditure (National currency).
GGX_NGDP,CIV,See notes for:  General government total expenditure (National currency).
GGX_NGDP,HRV,See notes for:  General government total expenditure (National currency).
GGX_NGDP,CYP,See notes for:  General government total expenditure (National currency).
GGX_NGDP,CZE,See notes for:  General government total expenditure (National currency).
GGX_NGDP,DNK,See notes for:  General government total expenditure (National currency).
GGX_NGDP,DJI,See notes for:  General government total expenditure (National currency).
GGX_NGDP,DMA,See notes for:  General government total expenditure (National currency).
GGX_NGDP,DOM,See notes for:  General government total expenditure (National currency).
GGX_NGDP,ECU,See notes for:  General government total expenditure (National currency).
GGX_NGDP,EGY,See notes for:  General government total expenditure (National currency).
GGX_NGDP,SLV,See notes for:  General government total expenditure (National currency).
GGX_NGDP,GNQ,See notes for:  General government total expenditure (National currency).
GGX_NGDP,ERI,See notes for:  General government total expenditure (National currency).
GGX_NGDP,EST,See notes for:  General government total expenditure (National currency).
GGX_NGDP,ETH,See notes for:  General government total expenditure (National currency).
GGX_NGDP,FJI,See notes for:  General government total expenditure (National currency).
GGX_NGDP,FIN,See notes for:  General government total expenditure (National currency).
