weo_subject_code,geo,estimates_start_after
LP,AFG,2013
LP,ALB,2010
LP,DZA,2013
LP,AGO,2014
LP,ATG,2011
LP,ARG,2010
LP,ARM,2011
LP,AUS,2013
LP,AUT,2014
LP,AZE,2011
LP,BHS,2013
LP,BHR,2013
LP,BGD,2013
LP,BRB,2010
LP,BLR,2013
LP,BEL,2014
LP,BLZ,2013
LP,BEN,2011
LP,BTN,2011
LP,BOL,2011
LP,BIH,2012
LP,BWA,2008
LP,BRA,2014
LP,BRN,2013
LP,BGR,2013
LP,BFA,2011
LP,BDI,0
LP,CPV,2013
LP,KHM,2012
LP,CMR,2010
LP,CAN,2013
LP,CAF,2004
LP,TCD,2004
LP,CHL,2002
LP,CHN,2014
LP,COL,2009
LP,COM,2003
LP,COD,1983
LP,COG,2004
LP,CRI,2011
LP,CIV,2012
LP,HRV,2013
LP,CYP,2014
LP,CZE,2013
LP,DNK,2014
LP,DJI,2009
LP,DMA,2011
LP,DOM,2013
LP,ECU,2013
LP,EGY,2014
LP,SLV,2007
LP,GNQ,2010
LP,ERI,2006
LP,EST,2013
LP,ETH,2008
LP,FJI,2013
LP,FIN,2013
LP,FRA,2014
LP,GAB,0
LP,GMB,2010
LP,GEO,2013
LP,DEU,2013
LP,GHA,0
LP,GRC,2014
LP,GRD,2011
LP,GTM,2010
LP,GIN,2009
LP,GNB,2004
LP,GUY,2002
LP,HTI,0
LP,HND,2001
LP,HKG,2014
LP,HUN,2014
LP,ISL,2013
LP,IND,2013
LP,IDN,2010
LP,IRN,2012
LP,IRQ,2013
LP,IRL,2014
LP,ISR,2014
LP,ITA,2014
LP,JAM,2013
LP,JPN,2014
LP,JOR,2013
LP,KAZ,2013
LP,KEN,2013
LP,KIR,2013
LP,KOR,2014
LP,UVK,
LP,KWT,2013
LP,KGZ,2012
LP,LAO,2012
LP,LVA,2013
LP,LBN,2012
LP,LSO,2006
LP,LBR,2009
LP,LBY,2014
LP,LTU,2013
LP,LUX,2013
LP,MKD,2013
LP,MDG,2006
LP,MWI,
LP,MYS,2014
LP,MDV,2006
LP,MLI,2010
LP,MLT,2013
LP,MHL,2013
LP,MRT,2012
LP,MUS,2012
LP,MEX,2014
LP,FSM,2013
LP,MDA,2013
LP,MNG,2013
LP,MNE,2013
LP,MAR,2013
LP,MOZ,2013
LP,MMR,2006
LP,NAM,2008
LP,NPL,2012
LP,NLD,2014
LP,NZL,2014
LP,NIC,2013
LP,NER,2009
LP,NGA,2012
LP,NOR,2014
LP,OMN,2013
LP,PAK,2013
LP,PLW,2013
LP,PAN,2013
LP,PNG,2012
LP,PRY,2013
LP,PER,2010
LP,PHL,2014
LP,POL,2013
LP,PRT,2014
LP,QAT,2014
LP,ROU,2014
LP,RUS,2013
LP,RWA,2012
LP,WSM,2011
LP,SMR,
LP,STP,2011
LP,SAU,2010
LP,SEN,2011
LP,SRB,2013
LP,SYC,2011
LP,SLE,2012
LP,SGP,2014
LP,SVK,2013
LP,SVN,2014
LP,SLB,2010
LP,ZAF,2014
LP,SSD,2008
LP,ESP,2014
LP,LKA,2012
LP,KNA,2003
LP,LCA,2012
LP,VCT,2001
LP,SDN,2011
LP,SUR,2012
LP,SWZ,2009
LP,SWE,2014
LP,CHE,2014
LP,SYR,2010
LP,TWN,2014
LP,TJK,2013
LP,TZA,2012
LP,THA,2014
LP,TLS,2011
LP,TGO,2010
LP,TON,2012
LP,TTO,2012
LP,TUN,2010
LP,TUR,2013
LP,TKM,2004
LP,TUV,2013
LP,UGA,2013
LP,UKR,2013
LP,ARE,2010
LP,GBR,2014
LP,USA,2014
LP,URY,2014
LP,UZB,2010
LP,VUT,2013
LP,VEN,2010
LP,VNM,2012
LP,YEM,2008
LP,ZMB,2010
LP,ZWE,2012
