weo_subject_code,geo,country_series_specific_notes
LUR,AFG,
LUR,ALB,Source: National Statistical Office Latest actual data: 2012 Employment type: National definition Primary domestic currency: Albanian lek Data last updated: 03/2015
LUR,DZA,Source: National Statistical Office Latest actual data: 2014 Employment type: Harmonized ILO definition Primary domestic currency: Algerian dinar Data last updated: 03/2015
LUR,AGO,
LUR,ATG,
LUR,ARG,Source: National Statistical Office Latest actual data: 2012 Employment type: National definition Primary domestic currency: Argentine peso Data last updated: 03/2015
LUR,ARM,Source: ILO Latest actual data: 2011 Primary domestic currency: Armenian dram Data last updated: 03/2015
LUR,AUS,Source: National Statistical Office. Australian Bureau of Statistics (via Time Series Plus & dXdata) Latest actual data: 2013 Employment type: National definition. Data refer to calendar years Primary domestic currency: Australian dollar Data last updated: 03/2015
LUR,AUT,Source: National Statistical Office Latest actual data: 2014 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 03/2015
LUR,AZE,Source: National Statistical Office Latest actual data: 2009 Employment type: Harmonized ILO definition Primary domestic currency: Azerbaijan manat Data last updated: 03/2015
LUR,BHS,Source: National Statistical Office Latest actual data: 2013 Employment type: National definition Primary domestic currency: Bahamian dollar Data last updated: 03/2015
LUR,BHR,Source: Other Latest actual data: 2013 Employment type: National definition Primary domestic currency: Bahrain dinar Data last updated: 03/2015
LUR,BGD,
LUR,BRB,Source: National Statistical Office Latest actual data: 2013 Employment type: National definition Primary domestic currency: Barbados dollar Data last updated: 03/2015
LUR,BLR,"Source: National Statistical Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2013 Employment type: National definition Primary domestic currency: Belarusian rubel Data last updated: 03/2015"
LUR,BEL,Source: Central Bank Latest actual data: 2014 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 03/2015
LUR,BLZ,Source: National Statistical Office Latest actual data: 2013. Data for 2010 and 2011 are staff estimates because there was no labor force survey conducted for those years. Employment type: National definition Primary domestic currency: Belize dollar Data last updated: 03/2015
LUR,BEN,
LUR,BTN,
LUR,BOL,Source: National Statistical Office Latest actual data: 2012 Employment type: National definition Primary domestic currency: Bolivian boliviano Data last updated: 03/2015
LUR,BIH,Source: National Statistical Office. Total population figures are obtained from the CBBH for the period 96-05. Estimates for 06-16 are obtained applying the growth rates published by the International Labour Organization. Latest actual data: 2013 Employment type: National definition Primary domestic currency: Convertible marka Data last updated: 03/2015
LUR,BWA,
LUR,BRA,Source: National Statistical Office Latest actual data: 2013. Employment rate (from survey) times official population estimates  the National Statistical Office (IBGE) Primary domestic currency: Brazilian real Data last updated: 03/2015
LUR,BRN,"Source: National Statistical Office. Department of Economic Planning and Development, Prime Minister's office. Latest actual data: 2011 Employment type: National definition Primary domestic currency: Brunei dollar Data last updated: 03/2015"
LUR,BGR,Source: National Statistical Office Latest actual data: 2013 Employment type: National definition Primary domestic currency: Bulgarian lev Data last updated: 03/2015
LUR,BFA,
LUR,BDI,
LUR,CPV,Source: National Statistical Office Latest actual data: 2013 Primary domestic currency: Cabo Verde escudo Data last updated: 02/2015
LUR,KHM,
LUR,CMR,
LUR,CAN,Source: National Statistical Office Latest actual data: 2014 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 03/2015
LUR,CAF,
LUR,TCD,
LUR,CHL,Source: National Statistical Office Latest actual data: 2013 Employment type: Harmonized OECD definition Primary domestic currency: Chilean peso Data last updated: 03/2015
LUR,CHN,Source: CEIC Latest actual data: 2014 Employment type: National definition Primary domestic currency: Chinese yuan Data last updated: 03/2015
LUR,COL,Source: National Statistical Office Latest actual data: 2014 Primary domestic currency: Colombian peso Data last updated: 03/2015
LUR,COM,
LUR,COD,
LUR,COG,
LUR,CRI,Source: National Statistical Office Latest actual data: 2013. Data as of July for each year Employment type: National definition Primary domestic currency: Costa Rican colón Data last updated: 03/2015
LUR,CIV,
LUR,HRV,"Source: Haver Analytics. Formally, the Central Bureau of Statistics of the Republic of Croatia (CroStat) Latest actual data: 2013. For quarterly data, latest actual is 2014Q2. Employment type: Harmonized ILO definition Primary domestic currency: Croatian kuna Data last updated: 03/2015"
LUR,CYP,"Source: Eurostat, Labor force survey. Latest actual data: 2014 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 03/2015"
LUR,CZE,Source: Haver Analytics Latest actual data: 2013 Employment type: Harmonized ILO definition Primary domestic currency: Czech koruna Data last updated: 03/2015
