weo_subject_code,geo,estimates_start_after
NGDP,AFG,2013
NGDP,ALB,2012
NGDP,DZA,2013
NGDP,AGO,2012
NGDP,ATG,2013
NGDP,ARG,2013
NGDP,ARM,2013
NGDP,AUS,2014
NGDP,AUT,2013
NGDP,AZE,2013
NGDP,BHS,2013
NGDP,BHR,2014
NGDP,BGD,2013
NGDP,BRB,2013
NGDP,BLR,2013
NGDP,BEL,2014
NGDP,BLZ,2013
NGDP,BEN,2012
NGDP,BTN,0
NGDP,BOL,2013
NGDP,BIH,2012
NGDP,BWA,2012
NGDP,BRA,2014
NGDP,BRN,2013
NGDP,BGR,2013
NGDP,BFA,2012
NGDP,BDI,2011
NGDP,CPV,2012
NGDP,KHM,2013
NGDP,CMR,2013
NGDP,CAN,2014
NGDP,CAF,2012
NGDP,TCD,2013
NGDP,CHL,2013
NGDP,CHN,2013
NGDP,COL,2013
NGDP,COM,2013
NGDP,COD,2006
NGDP,COG,2013
NGDP,CRI,2013
NGDP,CIV,2012
NGDP,HRV,2014
NGDP,CYP,2014
NGDP,CZE,2014
NGDP,DNK,2013
NGDP,DJI,2014
NGDP,DMA,2013
NGDP,DOM,2013
NGDP,ECU,2013
NGDP,EGY,2014
NGDP,SLV,2013
NGDP,GNQ,2013
NGDP,ERI,2006
NGDP,EST,2013
NGDP,ETH,2014
NGDP,FJI,2013
NGDP,FIN,2014
NGDP,FRA,2014
NGDP,GAB,2013
NGDP,GMB,2012
NGDP,GEO,2013
NGDP,DEU,2013
NGDP,GHA,2012
NGDP,GRC,2014
NGDP,GRD,2013
NGDP,GTM,2013
NGDP,GIN,2009
NGDP,GNB,2011
NGDP,GUY,2012
NGDP,HTI,2013
NGDP,HND,2013
NGDP,HKG,2014
NGDP,HUN,2013
NGDP,ISL,2013
NGDP,IND,2014
NGDP,IDN,2014
NGDP,IRN,2013
NGDP,IRQ,2014
NGDP,IRL,2014
NGDP,ISR,2014
NGDP,ITA,2014
NGDP,JAM,2013
NGDP,JPN,2014
NGDP,JOR,2013
NGDP,KAZ,2013
NGDP,KEN,2014
NGDP,KIR,2013
NGDP,KOR,2014
NGDP,UVK,2013
NGDP,KWT,2013
NGDP,KGZ,2014
NGDP,LAO,2013
NGDP,LVA,2013
NGDP,LBN,2011
NGDP,LSO,2012
NGDP,LBR,2011
NGDP,LBY,2014
NGDP,LTU,2013
NGDP,LUX,2013
NGDP,MKD,2014
NGDP,MDG,2013
NGDP,MWI,2010
NGDP,MYS,2014
NGDP,MDV,2013
NGDP,MLI,2011
NGDP,MLT,2013
NGDP,MHL,2013
NGDP,MRT,2014
NGDP,MUS,2013
NGDP,MEX,2014
NGDP,FSM,2013
NGDP,MDA,2013
NGDP,MNG,2013
NGDP,MNE,2014
NGDP,MAR,2013
NGDP,MOZ,2013
NGDP,MMR,2014
NGDP,NAM,2011
NGDP,NPL,2014
NGDP,NLD,2014
NGDP,NZL,2013
NGDP,NIC,2013
NGDP,NER,2013
NGDP,NGA,2014
NGDP,NOR,2014
NGDP,OMN,2012
NGDP,PAK,2014
NGDP,PLW,2013
NGDP,PAN,2014
NGDP,PNG,2013
NGDP,PRY,2013
NGDP,PER,2014
NGDP,PHL,2014
NGDP,POL,2013
NGDP,PRT,2014
NGDP,QAT,2013
NGDP,ROU,2014
NGDP,RUS,2013
NGDP,RWA,2014
NGDP,WSM,2014
NGDP,SMR,2013
NGDP,STP,2012
NGDP,SAU,2014
NGDP,SEN,2013
NGDP,SRB,2014
NGDP,SYC,2012
NGDP,SLE,2013
NGDP,SGP,2014
NGDP,SVK,2014
NGDP,SVN,2014
NGDP,SLB,2013
NGDP,ZAF,2014
NGDP,SSD,2014
NGDP,ESP,2014
NGDP,LKA,2012
NGDP,KNA,2013
NGDP,LCA,2013
NGDP,VCT,2013
NGDP,SDN,2013
NGDP,SUR,2011
NGDP,SWZ,2010
NGDP,SWE,2014
NGDP,CHE,2014
NGDP,SYR,2010
NGDP,TWN,2014
NGDP,TJK,2013
NGDP,TZA,2012
NGDP,THA,2014
NGDP,TLS,2012
NGDP,TGO,2009
NGDP,TON,2012
NGDP,TTO,2012
NGDP,TUN,2014
NGDP,TUR,2013
NGDP,TKM,2013
NGDP,TUV,2012
NGDP,UGA,2013
NGDP,UKR,2014
NGDP,ARE,2013
NGDP,GBR,2014
NGDP,USA,2014
NGDP,URY,2014
NGDP,UZB,2012
NGDP,VUT,2013
NGDP,VEN,2013
NGDP,VNM,2013
NGDP,YEM,2008
NGDP,ZMB,2013
NGDP,ZWE,2012
