weo_subject_code,geo,estimates_start_after
NGDPD,AFG,2013
NGDPD,ALB,2012
NGDPD,DZA,2013
NGDPD,AGO,2012
NGDPD,ATG,2013
NGDPD,ARG,2013
NGDPD,ARM,2013
NGDPD,AUS,2014
NGDPD,AUT,2013
NGDPD,AZE,2013
NGDPD,BHS,2013
NGDPD,BHR,2014
NGDPD,BGD,2013
NGDPD,BRB,2013
NGDPD,BLR,2013
NGDPD,BEL,2014
NGDPD,BLZ,2013
NGDPD,BEN,2012
NGDPD,BTN,0
NGDPD,BOL,2013
NGDPD,BIH,2012
NGDPD,BWA,2012
NGDPD,BRA,2014
NGDPD,BRN,2013
NGDPD,BGR,2013
NGDPD,BFA,2012
NGDPD,BDI,2011
NGDPD,CPV,2012
NGDPD,KHM,2013
NGDPD,CMR,2013
NGDPD,CAN,2014
NGDPD,CAF,2012
NGDPD,TCD,2013
NGDPD,CHL,2013
NGDPD,CHN,2013
NGDPD,COL,2013
NGDPD,COM,2013
NGDPD,COD,2006
NGDPD,COG,2013
NGDPD,CRI,2013
NGDPD,CIV,2012
NGDPD,HRV,2014
NGDPD,CYP,2014
NGDPD,CZE,2014
NGDPD,DNK,2013
NGDPD,DJI,2014
NGDPD,DMA,2013
NGDPD,DOM,2013
NGDPD,ECU,2013
NGDPD,EGY,2014
NGDPD,SLV,2013
NGDPD,GNQ,2013
NGDPD,ERI,2006
NGDPD,EST,2013
NGDPD,ETH,2014
NGDPD,FJI,2013
NGDPD,FIN,2014
NGDPD,FRA,2014
NGDPD,GAB,2013
NGDPD,GMB,2012
NGDPD,GEO,2013
NGDPD,DEU,2013
NGDPD,GHA,2012
NGDPD,GRC,2014
NGDPD,GRD,2013
NGDPD,GTM,2013
NGDPD,GIN,2009
NGDPD,GNB,2011
NGDPD,GUY,2012
NGDPD,HTI,2013
NGDPD,HND,2013
NGDPD,HKG,2014
NGDPD,HUN,2013
NGDPD,ISL,2013
NGDPD,IND,2014
NGDPD,IDN,2014
NGDPD,IRN,2013
NGDPD,IRQ,2014
NGDPD,IRL,2014
NGDPD,ISR,2014
NGDPD,ITA,2014
NGDPD,JAM,2013
NGDPD,JPN,2014
NGDPD,JOR,2013
NGDPD,KAZ,2013
NGDPD,KEN,2014
NGDPD,KIR,2013
NGDPD,KOR,2014
NGDPD,UVK,2013
NGDPD,KWT,2013
NGDPD,KGZ,2014
NGDPD,LAO,2013
NGDPD,LVA,2013
NGDPD,LBN,2011
NGDPD,LSO,2012
NGDPD,LBR,2011
NGDPD,LBY,2014
NGDPD,LTU,2013
NGDPD,LUX,2013
NGDPD,MKD,2014
NGDPD,MDG,2013
NGDPD,MWI,2010
NGDPD,MYS,2014
NGDPD,MDV,2013
NGDPD,MLI,2011
NGDPD,MLT,2013
NGDPD,MHL,2013
NGDPD,MRT,2014
NGDPD,MUS,2013
NGDPD,MEX,2014
NGDPD,FSM,2013
NGDPD,MDA,2013
NGDPD,MNG,2013
NGDPD,MNE,2014
NGDPD,MAR,2013
NGDPD,MOZ,2013
NGDPD,MMR,2014
NGDPD,NAM,2011
NGDPD,NPL,2014
NGDPD,NLD,2014
NGDPD,NZL,2013
NGDPD,NIC,2013
NGDPD,NER,2013
NGDPD,NGA,2014
NGDPD,NOR,2014
NGDPD,OMN,2012
NGDPD,PAK,2014
NGDPD,PLW,2013
NGDPD,PAN,2014
NGDPD,PNG,2013
NGDPD,PRY,2013
NGDPD,PER,2014
NGDPD,PHL,2014
NGDPD,POL,2013
NGDPD,PRT,2014
NGDPD,QAT,2013
NGDPD,ROU,2014
NGDPD,RUS,2013
NGDPD,RWA,2014
NGDPD,WSM,2014
NGDPD,SMR,2013
NGDPD,STP,2012
NGDPD,SAU,2014
NGDPD,SEN,2013
NGDPD,SRB,2014
NGDPD,SYC,2012
NGDPD,SLE,2013
NGDPD,SGP,2014
NGDPD,SVK,2014
NGDPD,SVN,2014
NGDPD,SLB,2013
NGDPD,ZAF,2014
NGDPD,SSD,2014
NGDPD,ESP,2014
NGDPD,LKA,2012
NGDPD,KNA,2013
NGDPD,LCA,2013
NGDPD,VCT,2013
NGDPD,SDN,2013
NGDPD,SUR,2011
NGDPD,SWZ,2010
NGDPD,SWE,2014
NGDPD,CHE,2014
NGDPD,SYR,2010
NGDPD,TWN,2014
NGDPD,TJK,2013
NGDPD,TZA,2012
NGDPD,THA,2014
NGDPD,TLS,2012
NGDPD,TGO,2009
NGDPD,TON,2012
NGDPD,TTO,2012
NGDPD,TUN,2014
NGDPD,TUR,2013
NGDPD,TKM,2013
NGDPD,TUV,2012
NGDPD,UGA,2013
NGDPD,UKR,2014
NGDPD,ARE,2013
NGDPD,GBR,2014
NGDPD,USA,2014
NGDPD,URY,2014
NGDPD,UZB,2012
NGDPD,VUT,2013
NGDPD,VEN,2013
NGDPD,VNM,2013
NGDPD,YEM,2008
NGDPD,ZMB,2013
NGDPD,ZWE,2012
