weo_subject_code,geo,country_series_specific_notes
NGDPD,AFG,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,ALB,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,DZA,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,AGO,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,ATG,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,ARG,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,ARM,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,AUS,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,AUT,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,AZE,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,BHS,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,BHR,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,BGD,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,BRB,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,BLR,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,BEL,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,BLZ,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,BEN,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,BTN,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,BOL,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,BIH,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,BWA,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,BRA,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,BRN,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,BGR,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,BFA,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,BDI,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,CPV,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,KHM,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,CMR,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,CAN,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,CAF,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,TCD,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,CHL,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,CHN,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,COL,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,COM,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,COD,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,COG,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,CRI,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,CIV,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,HRV,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,CYP,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,CZE,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,DNK,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,DJI,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,DMA,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,DOM,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,ECU,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,EGY,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,SLV,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,GNQ,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,ERI,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,EST,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,ETH,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,FJI,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,FIN,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,FRA,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,GAB,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,GMB,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,GEO,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,DEU,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,GHA,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,GRC,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,GRD,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,GTM,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,GIN,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,GNB,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,GUY,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,HTI,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,HND,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,HKG,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,HUN,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,ISL,"See notes for:  Gross domestic product, current prices (National currency)."
NGDPD,IND,"See notes for:  Gross domestic product, current prices (National currency)."
