weo_subject_code,geo,estimates_start_after
NGDPDPC,AFG,2013
NGDPDPC,ALB,2010
NGDPDPC,DZA,2013
NGDPDPC,AGO,2012
NGDPDPC,ATG,2011
NGDPDPC,ARG,2010
NGDPDPC,ARM,2011
NGDPDPC,AUS,2013
NGDPDPC,AUT,2013
NGDPDPC,AZE,2011
NGDPDPC,BHS,2013
NGDPDPC,BHR,2013
NGDPDPC,BGD,2013
NGDPDPC,BRB,2010
NGDPDPC,BLR,2013
NGDPDPC,BEL,2014
NGDPDPC,BLZ,2013
NGDPDPC,BEN,2011
NGDPDPC,BTN,0
NGDPDPC,BOL,2011
NGDPDPC,BIH,2012
NGDPDPC,BWA,2008
NGDPDPC,BRA,2014
NGDPDPC,BRN,2013
NGDPDPC,BGR,2013
NGDPDPC,BFA,2011
NGDPDPC,BDI,0
NGDPDPC,CPV,2012
NGDPDPC,KHM,2012
NGDPDPC,CMR,2010
NGDPDPC,CAN,2013
NGDPDPC,CAF,2004
NGDPDPC,TCD,2004
NGDPDPC,CHL,2002
NGDPDPC,CHN,2013
NGDPDPC,COL,2009
NGDPDPC,COM,2003
NGDPDPC,COD,1983
NGDPDPC,COG,2004
NGDPDPC,CRI,2011
NGDPDPC,CIV,2012
NGDPDPC,HRV,2013
NGDPDPC,CYP,2014
NGDPDPC,CZE,2013
NGDPDPC,DNK,2013
NGDPDPC,DJI,2009
NGDPDPC,DMA,2011
NGDPDPC,DOM,2013
NGDPDPC,ECU,2013
NGDPDPC,EGY,2014
NGDPDPC,SLV,2007
NGDPDPC,GNQ,2010
NGDPDPC,ERI,2006
NGDPDPC,EST,2013
NGDPDPC,ETH,2008
NGDPDPC,FJI,2013
NGDPDPC,FIN,2013
NGDPDPC,FRA,2014
NGDPDPC,GAB,0
NGDPDPC,GMB,2010
NGDPDPC,GEO,2013
NGDPDPC,DEU,2013
NGDPDPC,GHA,0
NGDPDPC,GRC,2014
NGDPDPC,GRD,2011
NGDPDPC,GTM,2010
NGDPDPC,GIN,2009
NGDPDPC,GNB,2004
NGDPDPC,GUY,2002
NGDPDPC,HTI,0
NGDPDPC,HND,2001
NGDPDPC,HKG,2014
NGDPDPC,HUN,2013
NGDPDPC,ISL,2013
NGDPDPC,IND,2013
NGDPDPC,IDN,2010
NGDPDPC,IRN,2012
NGDPDPC,IRQ,2013
NGDPDPC,IRL,2014
NGDPDPC,ISR,2014
NGDPDPC,ITA,2014
NGDPDPC,JAM,2013
NGDPDPC,JPN,2014
NGDPDPC,JOR,2013
NGDPDPC,KAZ,2013
NGDPDPC,KEN,2013
NGDPDPC,KIR,2013
NGDPDPC,KOR,2014
NGDPDPC,UVK,
NGDPDPC,KWT,2013
NGDPDPC,KGZ,2012
NGDPDPC,LAO,2012
NGDPDPC,LVA,2013
NGDPDPC,LBN,2011
NGDPDPC,LSO,2006
NGDPDPC,LBR,2009
NGDPDPC,LBY,2014
NGDPDPC,LTU,2013
NGDPDPC,LUX,2013
NGDPDPC,MKD,2013
NGDPDPC,MDG,2006
NGDPDPC,MWI,2010
NGDPDPC,MYS,2014
NGDPDPC,MDV,2006
NGDPDPC,MLI,2010
NGDPDPC,MLT,2013
NGDPDPC,MHL,2013
NGDPDPC,MRT,2012
NGDPDPC,MUS,2012
NGDPDPC,MEX,2014
NGDPDPC,FSM,2013
NGDPDPC,MDA,2013
NGDPDPC,MNG,2013
