weo_subject_code,geo,country_series_specific_notes
NGDPDPC,AFG,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,ALB,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,DZA,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,AGO,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,ATG,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,ARG,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,ARM,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,AUS,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,AUT,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,AZE,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,BHS,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,BHR,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,BGD,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,BRB,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,BLR,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,BEL,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,BLZ,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,BEN,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,BTN,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,BOL,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,BIH,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,BWA,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,BRA,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,BRN,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,BGR,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,BFA,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,BDI,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,CPV,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,KHM,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,CMR,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,CAN,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,CAF,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,TCD,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,CHL,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,CHN,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,COL,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,COM,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,COD,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,COG,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,CRI,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,CIV,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,HRV,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,CYP,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,CZE,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,DNK,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,DJI,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,DMA,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,DOM,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,ECU,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,EGY,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,SLV,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,GNQ,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,ERI,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,EST,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,ETH,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,FJI,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,FIN,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,FRA,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,GAB,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,GMB,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,GEO,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,DEU,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,GHA,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,GRC,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,GRD,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,GTM,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,GIN,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,GNB,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,GUY,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPDPC,HTI,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
