weo_subject_code,geo,country_series_specific_notes
NGDPPC,AFG,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,ALB,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,DZA,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,AGO,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,ATG,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,ARG,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,ARM,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,AUS,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,AUT,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,AZE,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,BHS,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,BHR,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,BGD,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,BRB,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,BLR,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,BEL,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,BLZ,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,BEN,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,BTN,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,BOL,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,BIH,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,BWA,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,BRA,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,BRN,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,BGR,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,BFA,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,BDI,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,CPV,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,KHM,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,CMR,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,CAN,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,CAF,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,TCD,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,CHL,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,CHN,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,COL,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,COM,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,COD,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,COG,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,CRI,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,CIV,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,HRV,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,CYP,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,CZE,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,DNK,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,DJI,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,DMA,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
NGDPPC,DOM,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
