weo_subject_code,geo,country_series_specific_notes
NGDPRPC,AFG,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
NGDPRPC,ALB,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
NGDPRPC,DZA,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
NGDPRPC,AGO,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
NGDPRPC,ATG,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
NGDPRPC,ARG,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
NGDPRPC,ARM,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
NGDPRPC,AUS,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
NGDPRPC,AUT,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
NGDPRPC,AZE,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
NGDPRPC,BHS,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
NGDPRPC,BHR,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
NGDPRPC,BGD,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
NGDPRPC,BRB,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
NGDPRPC,BLR,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
NGDPRPC,BEL,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
NGDPRPC,BLZ,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
NGDPRPC,BEN,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
NGDPRPC,BTN,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
NGDPRPC,BOL,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
NGDPRPC,BIH,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
NGDPRPC,BWA,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
NGDPRPC,BRA,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
NGDPRPC,BRN,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
NGDPRPC,BGR,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
NGDPRPC,BFA,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
NGDPRPC,BDI,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
NGDPRPC,CPV,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
NGDPRPC,KHM,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
NGDPRPC,CMR,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
