weo_subject_code,geo,estimates_start_after
NGDP_D,AFG,2013
NGDP_D,ALB,2012
NGDP_D,DZA,2013
NGDP_D,AGO,2012
NGDP_D,ATG,2013
NGDP_D,ARG,2013
NGDP_D,ARM,2013
NGDP_D,AUS,2014
NGDP_D,AUT,2013
NGDP_D,AZE,2013
NGDP_D,BHS,2013
NGDP_D,BHR,2014
NGDP_D,BGD,2013
NGDP_D,BRB,2013
NGDP_D,BLR,2013
NGDP_D,BEL,2014
NGDP_D,BLZ,2013
NGDP_D,BEN,2012
NGDP_D,BTN,0
NGDP_D,BOL,2013
NGDP_D,BIH,2012
NGDP_D,BWA,2012
NGDP_D,BRA,2014
NGDP_D,BRN,2013
NGDP_D,BGR,2013
NGDP_D,BFA,2012
NGDP_D,BDI,2011
NGDP_D,CPV,2012
NGDP_D,KHM,2013
NGDP_D,CMR,2013
NGDP_D,CAN,2014
NGDP_D,CAF,2012
NGDP_D,TCD,2013
NGDP_D,CHL,2013
NGDP_D,CHN,2013
NGDP_D,COL,2013
NGDP_D,COM,2013
NGDP_D,COD,2006
NGDP_D,COG,2013
NGDP_D,CRI,2013
NGDP_D,CIV,2012
NGDP_D,HRV,2014
NGDP_D,CYP,2014
NGDP_D,CZE,2014
NGDP_D,DNK,2013
NGDP_D,DJI,2014
NGDP_D,DMA,2013
NGDP_D,DOM,2013
NGDP_D,ECU,2013
NGDP_D,EGY,2014
NGDP_D,SLV,2013
NGDP_D,GNQ,2013
NGDP_D,ERI,2006
NGDP_D,EST,2013
NGDP_D,ETH,2014
NGDP_D,FJI,2013
NGDP_D,FIN,2014
NGDP_D,FRA,2014
NGDP_D,GAB,2013
NGDP_D,GMB,2012
NGDP_D,GEO,2013
NGDP_D,DEU,2013
NGDP_D,GHA,2012
NGDP_D,GRC,2014
NGDP_D,GRD,2013
NGDP_D,GTM,2013
NGDP_D,GIN,2009
NGDP_D,GNB,2011
NGDP_D,GUY,2012
NGDP_D,HTI,2013
NGDP_D,HND,2013
NGDP_D,HKG,2014
NGDP_D,HUN,2013
NGDP_D,ISL,2013
NGDP_D,IND,2014
NGDP_D,IDN,2014
NGDP_D,IRN,2013
NGDP_D,IRQ,2014
NGDP_D,IRL,2014
NGDP_D,ISR,2014
NGDP_D,ITA,2014
NGDP_D,JAM,2013
NGDP_D,JPN,2014
NGDP_D,JOR,2013
NGDP_D,KAZ,2013
NGDP_D,KEN,2014
NGDP_D,KIR,2013
NGDP_D,KOR,2014
NGDP_D,UVK,2013
NGDP_D,KWT,2013
NGDP_D,KGZ,2014
NGDP_D,LAO,2013
NGDP_D,LVA,2013
NGDP_D,LBN,2011
NGDP_D,LSO,2012
NGDP_D,LBR,2011
NGDP_D,LBY,2014
NGDP_D,LTU,2013
NGDP_D,LUX,2013
NGDP_D,MKD,2014
NGDP_D,MDG,2013
NGDP_D,MWI,2010
NGDP_D,MYS,2014
NGDP_D,MDV,2013
NGDP_D,MLI,2011
NGDP_D,MLT,2013
NGDP_D,MHL,2013
NGDP_D,MRT,2014
NGDP_D,MUS,2013
NGDP_D,MEX,2014
NGDP_D,FSM,2013
NGDP_D,MDA,2013
NGDP_D,MNG,2013
NGDP_D,MNE,2014
NGDP_D,MAR,2013
NGDP_D,MOZ,2013
NGDP_D,MMR,2014
NGDP_D,NAM,2011
NGDP_D,NPL,2014
NGDP_D,NLD,2014
NGDP_D,NZL,2013
NGDP_D,NIC,2013
NGDP_D,NER,2013
NGDP_D,NGA,2014
NGDP_D,NOR,2014
NGDP_D,OMN,2012
NGDP_D,PAK,2014
NGDP_D,PLW,2013
NGDP_D,PAN,2014
NGDP_D,PNG,2013
NGDP_D,PRY,2013
NGDP_D,PER,2014
NGDP_D,PHL,2014
NGDP_D,POL,2013
NGDP_D,PRT,2014
NGDP_D,QAT,2013
NGDP_D,ROU,2014
NGDP_D,RUS,2013
NGDP_D,RWA,2014
NGDP_D,WSM,2014
NGDP_D,SMR,2013
NGDP_D,STP,2012
NGDP_D,SAU,2014
NGDP_D,SEN,2013
NGDP_D,SRB,2014
NGDP_D,SYC,2012
NGDP_D,SLE,2013
NGDP_D,SGP,2014
NGDP_D,SVK,2014
NGDP_D,SVN,2014
NGDP_D,SLB,2013
NGDP_D,ZAF,2014
NGDP_D,SSD,2014
NGDP_D,ESP,2014
NGDP_D,LKA,2012
NGDP_D,KNA,2013
NGDP_D,LCA,2013
NGDP_D,VCT,2013
NGDP_D,SDN,2013
NGDP_D,SUR,2011
NGDP_D,SWZ,2010
NGDP_D,SWE,2014
NGDP_D,CHE,2014
NGDP_D,SYR,2010
NGDP_D,TWN,2014
NGDP_D,TJK,2013
NGDP_D,TZA,2012
NGDP_D,THA,2014
NGDP_D,TLS,2012
NGDP_D,TGO,2009
NGDP_D,TON,2012
NGDP_D,TTO,2012
NGDP_D,TUN,2014
NGDP_D,TUR,2013
NGDP_D,TKM,2013
NGDP_D,TUV,2012
NGDP_D,UGA,2013
NGDP_D,UKR,2014
NGDP_D,ARE,2013
NGDP_D,GBR,2014
NGDP_D,USA,2014
NGDP_D,URY,2014
NGDP_D,UZB,2012
NGDP_D,VUT,2013
NGDP_D,VEN,2013
NGDP_D,VNM,2013
NGDP_D,YEM,2008
NGDP_D,ZMB,2013
NGDP_D,ZWE,2012
