weo_subject_code,geo,estimates_start_after
NGDP_RPCH,AFG,2013
NGDP_RPCH,ALB,2012
NGDP_RPCH,DZA,2013
NGDP_RPCH,AGO,2012
NGDP_RPCH,ATG,2013
NGDP_RPCH,ARG,2013
NGDP_RPCH,ARM,2013
NGDP_RPCH,AUS,2014
NGDP_RPCH,AUT,2013
NGDP_RPCH,AZE,2013
NGDP_RPCH,BHS,2013
NGDP_RPCH,BHR,2014
NGDP_RPCH,BGD,2013
NGDP_RPCH,BRB,2013
NGDP_RPCH,BLR,2013
NGDP_RPCH,BEL,2014
NGDP_RPCH,BLZ,2013
NGDP_RPCH,BEN,2012
NGDP_RPCH,BTN,0
NGDP_RPCH,BOL,2013
NGDP_RPCH,BIH,2012
NGDP_RPCH,BWA,2012
NGDP_RPCH,BRA,2014
NGDP_RPCH,BRN,2013
NGDP_RPCH,BGR,2013
NGDP_RPCH,BFA,2012
NGDP_RPCH,BDI,2011
NGDP_RPCH,CPV,2012
NGDP_RPCH,KHM,2013
NGDP_RPCH,CMR,2013
NGDP_RPCH,CAN,2014
NGDP_RPCH,CAF,2012
NGDP_RPCH,TCD,2013
NGDP_RPCH,CHL,2013
NGDP_RPCH,CHN,2013
NGDP_RPCH,COL,2013
NGDP_RPCH,COM,2013
NGDP_RPCH,COD,2006
NGDP_RPCH,COG,2013
NGDP_RPCH,CRI,2013
NGDP_RPCH,CIV,2012
NGDP_RPCH,HRV,2014
NGDP_RPCH,CYP,2014
NGDP_RPCH,CZE,2014
NGDP_RPCH,DNK,2013
NGDP_RPCH,DJI,2014
NGDP_RPCH,DMA,2013
NGDP_RPCH,DOM,2013
NGDP_RPCH,ECU,2013
NGDP_RPCH,EGY,2014
NGDP_RPCH,SLV,2013
NGDP_RPCH,GNQ,2013
NGDP_RPCH,ERI,2006
NGDP_RPCH,EST,2013
NGDP_RPCH,ETH,2014
NGDP_RPCH,FJI,2013
NGDP_RPCH,FIN,2014
NGDP_RPCH,FRA,2014
NGDP_RPCH,GAB,2013
NGDP_RPCH,GMB,2012
NGDP_RPCH,GEO,2013
NGDP_RPCH,DEU,2013
NGDP_RPCH,GHA,2012
NGDP_RPCH,GRC,2014
NGDP_RPCH,GRD,2013
NGDP_RPCH,GTM,2013
NGDP_RPCH,GIN,2009
NGDP_RPCH,GNB,2011
NGDP_RPCH,GUY,2012
NGDP_RPCH,HTI,2013
NGDP_RPCH,HND,2013
NGDP_RPCH,HKG,2014
NGDP_RPCH,HUN,2013
NGDP_RPCH,ISL,2013
NGDP_RPCH,IND,2014
NGDP_RPCH,IDN,2014
NGDP_RPCH,IRN,2013
NGDP_RPCH,IRQ,2014
NGDP_RPCH,IRL,2014
NGDP_RPCH,ISR,2014
NGDP_RPCH,ITA,2014
NGDP_RPCH,JAM,2013
NGDP_RPCH,JPN,2014
NGDP_RPCH,JOR,2013
NGDP_RPCH,KAZ,2013
NGDP_RPCH,KEN,2014
NGDP_RPCH,KIR,2013
NGDP_RPCH,KOR,2014
NGDP_RPCH,UVK,2013
NGDP_RPCH,KWT,2013
NGDP_RPCH,KGZ,2014
NGDP_RPCH,LAO,2013
NGDP_RPCH,LVA,2013
NGDP_RPCH,LBN,2011
NGDP_RPCH,LSO,2012
NGDP_RPCH,LBR,2011
NGDP_RPCH,LBY,2014
NGDP_RPCH,LTU,2013
NGDP_RPCH,LUX,2013
NGDP_RPCH,MKD,2014
NGDP_RPCH,MDG,2013
NGDP_RPCH,MWI,2010
NGDP_RPCH,MYS,2014
NGDP_RPCH,MDV,2013
NGDP_RPCH,MLI,2011
NGDP_RPCH,MLT,2013
NGDP_RPCH,MHL,2013
NGDP_RPCH,MRT,2014
NGDP_RPCH,MUS,2013
NGDP_RPCH,MEX,2014
NGDP_RPCH,FSM,2013
NGDP_RPCH,MDA,2013
NGDP_RPCH,MNG,2013
NGDP_RPCH,MNE,2014
NGDP_RPCH,MAR,2013
NGDP_RPCH,MOZ,2013
NGDP_RPCH,MMR,2014
NGDP_RPCH,NAM,2011
NGDP_RPCH,NPL,2014
NGDP_RPCH,NLD,2014
NGDP_RPCH,NZL,2013
NGDP_RPCH,NIC,2013
NGDP_RPCH,NER,2013
NGDP_RPCH,NGA,2014
NGDP_RPCH,NOR,2014
NGDP_RPCH,OMN,2012
NGDP_RPCH,PAK,2014
NGDP_RPCH,PLW,2013
NGDP_RPCH,PAN,2014
NGDP_RPCH,PNG,2013
NGDP_RPCH,PRY,2013
NGDP_RPCH,PER,2014
NGDP_RPCH,PHL,2014
NGDP_RPCH,POL,2013
NGDP_RPCH,PRT,2014
NGDP_RPCH,QAT,2013
NGDP_RPCH,ROU,2014
NGDP_RPCH,RUS,2013
NGDP_RPCH,RWA,2014
NGDP_RPCH,WSM,2014
NGDP_RPCH,SMR,2013
NGDP_RPCH,STP,2012
NGDP_RPCH,SAU,2014
NGDP_RPCH,SEN,2013
NGDP_RPCH,SRB,2014
NGDP_RPCH,SYC,2012
NGDP_RPCH,SLE,2013
NGDP_RPCH,SGP,2014
NGDP_RPCH,SVK,2014
NGDP_RPCH,SVN,2014
NGDP_RPCH,SLB,2013
NGDP_RPCH,ZAF,2014
NGDP_RPCH,SSD,2014
NGDP_RPCH,ESP,2014
