weo_subject_code,geo,estimates_start_after
NGSD_NGDP,AFG,2013
NGSD_NGDP,ALB,2012
NGSD_NGDP,DZA,2013
NGSD_NGDP,AGO,2012
NGSD_NGDP,ATG,2013
NGSD_NGDP,ARG,2013
NGSD_NGDP,ARM,2013
NGSD_NGDP,AUS,2014
NGSD_NGDP,AUT,2013
NGSD_NGDP,AZE,2013
NGSD_NGDP,BHS,2013
NGSD_NGDP,BHR,2014
NGSD_NGDP,BGD,2013
NGSD_NGDP,BRB,2013
NGSD_NGDP,BLR,2013
NGSD_NGDP,BEL,2014
NGSD_NGDP,BLZ,2013
NGSD_NGDP,BEN,2012
NGSD_NGDP,BTN,0
NGSD_NGDP,BOL,2013
NGSD_NGDP,BIH,2012
NGSD_NGDP,BWA,2012
NGSD_NGDP,BRA,2014
NGSD_NGDP,BRN,
NGSD_NGDP,BGR,2013
NGSD_NGDP,BFA,2012
NGSD_NGDP,BDI,2011
NGSD_NGDP,CPV,2012
NGSD_NGDP,KHM,2013
NGSD_NGDP,CMR,2013
NGSD_NGDP,CAN,2014
NGSD_NGDP,CAF,2012
NGSD_NGDP,TCD,2013
NGSD_NGDP,CHL,2013
NGSD_NGDP,CHN,2013
NGSD_NGDP,COL,2013
NGSD_NGDP,COM,2013
NGSD_NGDP,COD,2006
NGSD_NGDP,COG,2013
NGSD_NGDP,CRI,2013
NGSD_NGDP,CIV,2012
NGSD_NGDP,HRV,2014
NGSD_NGDP,CYP,2014
NGSD_NGDP,CZE,2014
NGSD_NGDP,DNK,2013
NGSD_NGDP,DJI,2014
NGSD_NGDP,DMA,2013
NGSD_NGDP,DOM,2013
NGSD_NGDP,ECU,2013
NGSD_NGDP,EGY,2014
NGSD_NGDP,SLV,2013
NGSD_NGDP,GNQ,2013
NGSD_NGDP,ERI,2006
NGSD_NGDP,EST,2013
NGSD_NGDP,ETH,2014
NGSD_NGDP,FJI,
NGSD_NGDP,FIN,2014
NGSD_NGDP,FRA,2014
NGSD_NGDP,GAB,2013
NGSD_NGDP,GMB,2012
NGSD_NGDP,GEO,2013
NGSD_NGDP,DEU,2013
NGSD_NGDP,GHA,2012
NGSD_NGDP,GRC,2014
NGSD_NGDP,GRD,2013
NGSD_NGDP,GTM,2013
NGSD_NGDP,GIN,2009
NGSD_NGDP,GNB,2011
NGSD_NGDP,GUY,2012
NGSD_NGDP,HTI,2013
NGSD_NGDP,HND,2013
NGSD_NGDP,HKG,2014
NGSD_NGDP,HUN,2013
NGSD_NGDP,ISL,2013
NGSD_NGDP,IND,2014
NGSD_NGDP,IDN,2014
NGSD_NGDP,IRN,2013
NGSD_NGDP,IRQ,2014
NGSD_NGDP,IRL,2014
NGSD_NGDP,ISR,2014
NGSD_NGDP,ITA,2014
