weo_subject_code,geo,estimates_start_after
NID_NGDP,AFG,2013
NID_NGDP,ALB,2012
NID_NGDP,DZA,2013
NID_NGDP,AGO,2012
NID_NGDP,ATG,2013
NID_NGDP,ARG,2013
NID_NGDP,ARM,2013
NID_NGDP,AUS,2014
NID_NGDP,AUT,2013
NID_NGDP,AZE,2013
NID_NGDP,BHS,2013
NID_NGDP,BHR,2014
NID_NGDP,BGD,2013
NID_NGDP,BRB,2013
NID_NGDP,BLR,2013
NID_NGDP,BEL,2014
NID_NGDP,BLZ,2013
NID_NGDP,BEN,2012
NID_NGDP,BTN,0
NID_NGDP,BOL,2013
NID_NGDP,BIH,2012
NID_NGDP,BWA,2012
NID_NGDP,BRA,2014
NID_NGDP,BRN,2013
NID_NGDP,BGR,2013
NID_NGDP,BFA,2012
NID_NGDP,BDI,2011
NID_NGDP,CPV,2012
NID_NGDP,KHM,2013
NID_NGDP,CMR,2013
NID_NGDP,CAN,2014
NID_NGDP,CAF,2012
NID_NGDP,TCD,2013
NID_NGDP,CHL,2013
NID_NGDP,CHN,2013
NID_NGDP,COL,2013
NID_NGDP,COM,2013
NID_NGDP,COD,2006
NID_NGDP,COG,2013
NID_NGDP,CRI,2013
NID_NGDP,CIV,2012
NID_NGDP,HRV,2014
NID_NGDP,CYP,2014
NID_NGDP,CZE,2014
NID_NGDP,DNK,2013
NID_NGDP,DJI,2014
NID_NGDP,DMA,2013
NID_NGDP,DOM,2013
NID_NGDP,ECU,2013
NID_NGDP,EGY,2014
NID_NGDP,SLV,2013
NID_NGDP,GNQ,2013
NID_NGDP,ERI,2006
NID_NGDP,EST,2013
NID_NGDP,ETH,2014
NID_NGDP,FJI,2013
NID_NGDP,FIN,2014
NID_NGDP,FRA,2014
NID_NGDP,GAB,2013
NID_NGDP,GMB,2012
NID_NGDP,GEO,2013
NID_NGDP,DEU,2013
NID_NGDP,GHA,2012
NID_NGDP,GRC,2014
NID_NGDP,GRD,2013
NID_NGDP,GTM,2013
NID_NGDP,GIN,2009
NID_NGDP,GNB,2011
NID_NGDP,GUY,2012
NID_NGDP,HTI,2013
NID_NGDP,HND,2013
NID_NGDP,HKG,2014
NID_NGDP,HUN,2013
NID_NGDP,ISL,2013
NID_NGDP,IND,2014
NID_NGDP,IDN,2014
NID_NGDP,IRN,2013
NID_NGDP,IRQ,
NID_NGDP,IRL,2014
NID_NGDP,ISR,2014
NID_NGDP,ITA,2014
NID_NGDP,JAM,2013
NID_NGDP,JPN,2014
NID_NGDP,JOR,2013
NID_NGDP,KAZ,2013
NID_NGDP,KEN,2014
NID_NGDP,KIR,
NID_NGDP,KOR,2014
NID_NGDP,UVK,
NID_NGDP,KWT,2013
NID_NGDP,KGZ,2014
NID_NGDP,LAO,
NID_NGDP,LVA,2013
NID_NGDP,LBN,2011
NID_NGDP,LSO,2012
NID_NGDP,LBR,
NID_NGDP,LBY,2014
NID_NGDP,LTU,2013
NID_NGDP,LUX,2013
NID_NGDP,MKD,
NID_NGDP,MDG,2013
NID_NGDP,MWI,2010
NID_NGDP,MYS,2014
NID_NGDP,MDV,2013
NID_NGDP,MLI,2011
NID_NGDP,MLT,2013
NID_NGDP,MHL,
NID_NGDP,MRT,2014
NID_NGDP,MUS,2013
NID_NGDP,MEX,2014
NID_NGDP,FSM,
