weo_subject_code,geo,country_series_specific_notes
NID_NGDP,AFG,"Source: National Statistical Office Latest actual data: 2013. Latest actual data is for the solar year 2013/14 Notes: National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. Data is converted to calendar years for the purpose of WEO publication. National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December. none Base year: 2002. Base year is the solar year 2002/03 Chain-weighted: No Primary domestic currency: Afghan Afghani Data last updated: 03/2015"
NID_NGDP,ALB,"Source: IMF Staff Latest actual data: 2012. 2012 data is still semi-final. National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996 Primary domestic currency: Albanian lek Data last updated: 03/2015"
NID_NGDP,DZA,"Source: National Statistical Office Latest actual data: 2013 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: Yes, from 2005 Primary domestic currency: Algerian dinar Data last updated: 03/2015"
NID_NGDP,AGO,Source: National Statistical Office Latest actual data: 2012 National accounts manual used: ESA 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2002 Chain-weighted: No Primary domestic currency: Angolan kwanza Data last updated: 03/2015
NID_NGDP,ATG,"Source: Central Bank Latest actual data: 2013. Preliminary National accounts manual used: SNA 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2006. Nominal GDP is measured at market prices and real GDP is measured at factor cost, hence the GDP deflator is not equal to 100. Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 03/2015"
NID_NGDP,ARG,"Source: Ministry of Economy Latest actual data: 2013 Notes: The data for Argentina are officially reported data as revised in May 2014. On February 1, 2013, the IMF issued a declaration of censure, and in December 2013 called on Argentina to implement specified actions to address the quality of its official GDP data according to a specified timetable. On June 6, 2014, the Executive Board recognized the implementation of the specified actions it had called for by end-March 2014 and the initial steps taken by the Argentine authorities to remedy the inaccurate provision of data. The Executive Board will review this issue again as per the calendar specified in December 2013 and in line with the procedures set forth in the Fund?s legal framework. National accounts manual used: SNA 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2004 Chain-weighted: No Primary domestic currency: Argentine peso Data last updated: 03/2015"
NID_NGDP,ARM,Source: National Statistical Office Latest actual data: 2013 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Armenian dram Data last updated: 03/2015
NID_NGDP,AUS,"Source: National Statistical Office. Australian Bureau of Statistics (via Time Series Plus & dXdata) Latest actual data: 2014 National accounts manual used: SNA 2008 GDP valuation: Market prices. Data refer to calendar years Start/end months of reporting year: January/December Base year: 2012/13 Chain-weighted: Yes, from before 1980. Annually-reweighted Primary domestic currency: Australian dollar Data last updated: 03/2015"
NID_NGDP,AUT,"Source: National Statistical Office Latest actual data: 2013 National accounts manual used: ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 03/2015"
NID_NGDP,AZE,"Source: National Statistical Office Latest actual data: 2013 Notes: Data prior to 2005 cannot be confirmed at this time. National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2003 Chain-weighted: Yes, from 1994 Primary domestic currency: Azerbaijan manat Data last updated: 03/2015"
NID_NGDP,BHS,Source: National Statistical Office Latest actual data: 2013 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Bahamian dollar Data last updated: 03/2015
NID_NGDP,BHR,Source: Ministry of Finance Latest actual data: 2014 National accounts manual used: SNA 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Bahrain dinar Data last updated: 03/2015
NID_NGDP,BGD,"Source: Bangladesh Bureau of Statistics Latest actual data: 2013 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December. Authorities report July/June, we report Jan/Dec. Base year: 2005 Chain-weighted: No Primary domestic currency: Bangladesh taka Data last updated: 03/2015"
